rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
1,6049,"Super Mario Sunshine","GameCube",16,11371,11371,11371,148,0,"3D Platforming, Collect-a-thon","","Nintendo","2002-07-19"
2,7693,"Mario Kart: Double Dash!!","GameCube",16,8903,8903,8903,65,0,"Kart Racing","Nintendo","Nintendo","2003-11-07"
3,9190,"The Legend of Zelda: The Wind Waker","GameCube",16,5216,5216,5216,126,0,"Action-Adventure","","Nintendo","2002-12-13"
4,4325,"Luigi's Mansion","GameCube",16,4560,4560,4560,49,0,"Action-Adventure, Horror","Nintendo","Nintendo","2001-09-14"
5,2901,"Animal Crossing","GameCube",16,4480,4480,4480,117,0,"Life Simulation","Nintendo","Nintendo","2001-12-14"
6,4000,"Paper Mario: The Thousand-Year Door","GameCube",16,3948,3948,3948,123,0,"Turn-Based RPG","Intelligent Systems","Nintendo","2004-10-11"
7,6151,"Kirby Air Ride","GameCube",16,3908,3908,3908,203,0,"Kart Racing","HAL Laboratory","Nintendo","2003-07-11"
8,3154,"Metroid Prime","GameCube",16,3528,3528,3528,62,0,"Metroidvania, 3D Platforming, First-Person Shooter","Retro Studios","Nintendo","2002-11-18"
9,7423,"Pokémon Colosseum","GameCube",16,3489,3489,3489,84,0,"","Genius Sonority","","2003-11-21"
10,15540,"Pikmin","GameCube",16,3272,3272,3272,44,0,"Real-Time Strategy","Nintendo","Nintendo","2001-10-26"
11,2199,"The Simpsons: Hit & Run","GameCube",16,2698,2698,2698,80,0,"3D Platforming, Sandbox","Radical Entertainment","Vivendi Universal Games","2003-09-16"
12,28930,"~Hack~ Super Mario Eclipse","GameCube",16,2602,2602,2602,122,0,"3D Platforming, Collect-a-thon","Eclipse Team","Hack - Super Mario Sunshine","2024-08-26"
13,6605,"WarioWare, Inc.: Mega Party Game$!","GameCube",16,2503,2503,2503,43,0,"Minigames","Intelligent Systems, Nintendo","Nintendo","2003-10-17"
14,9699,"F-Zero GX","GameCube",16,2387,2387,2387,147,0,"Arcade Racing","Amusement Vision","Nintendo","2003-08-26"
