rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released,description,icon,boxArt,titleScreen,screenshot,rating
1,668,Pokémon Emerald Version,Game Boy Advance,5,35078,35078,35078,197,0,Turn-Based RPG,Game Freak,Nintendo,2004-09-16,"Pokémon Emerald Version is a 2004 role-playing video game developed by Game Freak and published by The Pokémon Company and Nintendo for the Game Boy Advance. It was first released in Japan in 2004, and was later released internationally in 2005. It is the fifth version, after both Pokémon Ruby and Sapphire and Pokémon FireRed and LeafGreen, and is the final game of the third generation of the Pokémon video game series.",https://media.retroachievements.org/Images/104473.png,https://media.retroachievements.org/Images/014406.png,https://media.retroachievements.org/Images/005442.png,https://media.retroachievements.org/Images/077264.png,5
2,534,Metroid: Zero Mission,Game Boy Advance,5,31244,31244,31244,55,0,Metroidvania,,Nintendo,2004-02-09,"Metroid: Zero Mission is a 2004 action-adventure game developed and published by Nintendo for the Game Boy Advance. It is a remake of the original Metroid (1986), with updated visuals and gameplay.",https://media.retroachievements.org/Images/093574.png,https://media.retroachievements.org/Images/096231.png,https://media.retroachievements.org/Images/000655.png,https://media.retroachievements.org/Images/065313.png,5
3,510,Castlevania: Aria of Sorrow,Game Boy Advance,5,28476,28476,28476,66,0,"2D Platforming, Action RPG, Metroidvania",Konami,Konami,2003-05-06,"Castlevania: Aria of Sorrow is a 2003 action role-playing game developed by Konami Computer Entertainment Tokyo and published by Konami for the Game Boy Advance. It is the 20th main entry in the Castlevania series, as well as the third and final game produced for the system. Producer Koji Igarashi, who had led the production teams for previous Castlevania games, led Aria of Sorrow's development as well. Michiru Yamane returned to compose the music alongside Takashi Yoshida and Soshiro Hokkai. Director Junichi Murakami was new to the Castlevania series.",https://media.retroachievements.org/Images/085857.png,https://media.retroachievements.org/Images/071775.png,https://media.retroachievements.org/Images/071777.png,https://media.retroachievements.org/Images/071776.png,5
4,515,Pokémon FireRed Version,Game Boy Advance,5,25947,25947,25947,61,0,Turn-Based RPG,Game Freak,Nintendo,2004-01-29,"Pokémon FireRed Version and Pokémon LeafGreen Version are 2004 remakes of the 1996 role-playing video games Pokémon Red and Blue. They were developed by Game Freak and published by The Pokémon Company and Nintendo for the Game Boy Advance. FireRed and LeafGreen were first released in Japan in January 2004 and in North America and Europe in September and October 2004, respectively. The games are part of the third generation of the Pokémon video game series and hold the distinction of being the first enhanced remakes of previous games within the franchise.",https://media.retroachievements.org/Images/105044.png,https://media.retroachievements.org/Images/001918.png,https://media.retroachievements.org/Images/001917.png,https://media.retroachievements.org/Images/111883.png,4.9
5,559,The Legend of Zelda: The Minish Cap,Game Boy Advance,5,21579,21579,21579,66,0,Action-Adventure,Capcom,Nintendo,2004-11-04,"The Legend of Zelda: The Minish Cap is a 2004 action-adventure game developed by Capcom and Flagship and published by Nintendo for the Game Boy Advance. The twelfth entry in The Legend of Zelda series, The Minish Cap was released for the Game Boy Advance in Japan and Europe in 2004 and in North America and Australia the following year.",https://media.retroachievements.org/Images/113471.png,https://media.retroachievements.org/Images/000156.png,https://media.retroachievements.org/Images/033839.png,https://media.retroachievements.org/Images/000049.png,4.9
6,770,Kirby: Nightmare in Dream Land,Game Boy Advance,5,19218,19218,19218,70,0,,HAL Laboratory,Nintendo,2002-10-25,"Kirby's Adventure is a 1993 platform game developed by HAL Laboratory and published by Nintendo for the Nintendo Entertainment System (NES). It is the second game in the Kirby series after Kirby's Dream Land (1992) on the Game Boy and the first to include the Copy Ability, which allows the main character Kirby to gain new powers by eating certain enemies. The game centers around Kirby traveling across Dream Land to repair the Star Rod after King Dedede breaks it apart and gives the pieces to his minions.",https://media.retroachievements.org/Images/122187.png,https://media.retroachievements.org/Images/124461.png,https://media.retroachievements.org/Images/033745.png,https://media.retroachievements.org/Images/002594.png,4.9
7,802,"WarioWare, Inc.: Mega Microgame$!",Game Boy Advance,5,18393,18393,18393,47,0,Minigames,,Nintendo,2003-03-21,"WarioWare, Inc.: Mega Microgames!, known as WarioWare, Inc.: Minigame Mania in PAL regions, is a 2003 action game developed and published by Nintendo for the Game Boy Advance. The debut title in the WarioWare series, the game is about rapid completion of ""microgames"", short minigames given to the player consecutively and with increasing speed per each game complete. The game's concept was inspired by the ""Sound Bomber"" mode of Mario Artist: Polygon Studio for the Nintendo 64DD. Many of the music tracks and sound effects were recycled from Wario Land 4. The game was produced by Takehiro Izushi and directed by Hirofumi Matsuoka. Matsuoka was also the director of Polygon Studio. Mega Microgames! was released in 2003; in Japan in March, in North America and Europe in May and in Australia in June.",https://media.retroachievements.org/Images/105321.png,https://media.retroachievements.org/Images/089239.png,https://media.retroachievements.org/Images/109611.png,https://media.retroachievements.org/Images/109612.png,4.8
8,793,Sonic Advance,Game Boy Advance,5,18115,18115,18115,58,0,2D Platforming,"Dimps, Sonic Team","Sega, THQ",2001-12-20,"Sonic Advance is a 2001 platform game developed by Sonic Team and Dimps and published by Sega for the Game Boy Advance. It was one of the first Sonic the Hedgehog games to be released on a Nintendo console along with Sonic Adventure 2: Battle on the GameCube, and was produced in commemoration of the series' tenth anniversary. The story follows Sonic, Tails, Knuckles, and Amy as they journey to stop Doctor Eggman from taking over the world. Controlling a character, players are tasked with completing each level, defeating Eggman and his robot army, and collecting the seven Chaos Emeralds.",https://media.retroachievements.org/Images/044233.png,https://media.retroachievements.org/Images/119088.png,https://media.retroachievements.org/Images/003925.png,https://media.retroachievements.org/Images/064085.png,4.8
10,771,Mario & Luigi: Superstar Saga,Game Boy Advance,5,15368,15368,15368,85,0,Turn-Based RPG,AlphaDream,Nintendo,2003-11-17,"Mario & Luigi: Superstar Saga is a 2003 role-playing video game developed by AlphaDream and published by Nintendo for the Game Boy Advance. It is the first game in the Mario & Luigi series. The story follows Mario and Luigi as they travel to the Beanbean Kingdom in order to combat Cackletta and Fawful, who stole Princess Peach's voice for the purpose of harnessing the power of a special artifact called the Beanstar.",https://media.retroachievements.org/Images/116411.png,https://media.retroachievements.org/Images/014492.png,https://media.retroachievements.org/Images/071816.png,https://media.retroachievements.org/Images/002111.png,4.8
11,745,Castlevania: Circle of the Moon,Game Boy Advance,5,15104,15104,15104,109,0,"2D Platforming, Metroidvania",Konami,Konami,2001-03-21,"Castlevania: Circle of the Moon, titled Castlevania in PAL regions, is a 2001 action role-playing game developed and published by Konami for the Game Boy Advance handheld game console. The game was developed as a stand-alone title in the Castlevania series and as a launch title for the Game Boy Advance.",https://media.retroachievements.org/Images/105343.png,https://media.retroachievements.org/Images/072393.png,https://media.retroachievements.org/Images/071781.png,https://media.retroachievements.org/Images/071782.png,4.8
