rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
1,668,"Pokémon Emerald Version","Game Boy Advance",5,35078,35078,35078,197,0,"Turn-Based RPG","Game Freak","Nintendo","2004-09-16"
2,534,"Metroid: Zero Mission","Game Boy Advance",5,31244,31244,31244,55,0,"Metroidvania","","Nintendo","2004-02-09"
3,510,"Castlevania: Aria of Sorrow","Game Boy Advance",5,28476,28476,28476,66,0,"2D Platforming, Action RPG, Metroidvania","Konami","Konami","2003-05-06"
4,515,"Pokémon FireRed Version","Game Boy Advance",5,25947,25947,25947,61,0,"Turn-Based RPG","Game Freak","Nintendo","2004-01-29"
5,559,"The Legend of Zelda: The Minish Cap","Game Boy Advance",5,21579,21579,21579,66,0,"Action-Adventure","Capcom","Nintendo","2004-11-04"
6,770,"Kirby: Nightmare in Dream Land","Game Boy Advance",5,19218,19218,19218,70,0,"","HAL Laboratory","Nintendo","2002-10-25"
7,802,"WarioWare, Inc.: Mega Microgame$!","Game Boy Advance",5,18393,18393,18393,47,0,"Minigames","","Nintendo","2003-03-21"
8,793,"Sonic Advance","Game Boy Advance",5,18115,18115,18115,58,0,"2D Platforming","Dimps, Sonic Team","Sega, THQ","2001-12-20"
9,17530,"~Hack~ Pokémon Unbound","Game Boy Advance",5,16333,16333,16333,129,0,"Turn-Based RPG","Skeli","","2020-12-01"
10,771,"Mario & Luigi: Superstar Saga","Game Boy Advance",5,15368,15368,15368,85,0,"Turn-Based RPG","AlphaDream","Nintendo","2003-11-17"
11,745,"Castlevania: Circle of the Moon","Game Boy Advance",5,15104,15104,15104,109,0,"2D Platforming, Metroidvania","Konami","Konami","2001-03-21"
12,789,"Pokémon Pinball: Ruby & Sapphire","Game Boy Advance",5,14227,14227,14227,54,0,"Pinball","Jupiter","Nintendo","2003-08-01"
13,769,"Kirby & The Amazing Mirror","Game Boy Advance",5,13512,13512,13512,54,0,"2D Platforming, Metroidvania","HAL Laboratory, Flagship, Dimps","Nintendo","2004-04-15"
14,580,"The Legend of Zelda: A Link to the Past & Four Swords","Game Boy Advance",5,13240,13240,13240,62,0,"Action-Adventure","Capcom","Nintendo","2003-12-02"
15,767,"Golden Sun","Game Boy Advance",5,12203,12203,12203,60,0,"Turn-Based RPG","Camelot Software Planning","Nintendo","2001-11-11"
16,526,"Crash Bandicoot: The Huge Adventure","Game Boy Advance",5,9246,9246,9246,74,0,"2D Platforming","Vicarious Visions","Universal Interactive","2002-02-26"
17,782,"Mega Man Zero","Game Boy Advance",5,8811,8811,8811,44,0,"2D Platforming, Action","Inti Creates","Capcom","2002-04-26"
18,677,"Mother 3","Game Boy Advance",5,8772,8772,8772,132,0,"Turn-Based RPG","Brownie Brown, HAL Laboratory","Nintendo","2006-04-20"
19,5068,"Alien Hominid","Game Boy Advance",5,8472,8472,8472,26,0,"Run & Gun","Tuna Technologies","Zoo Digital Publishing | Zushi Games","2006-02-03"
20,750,"Donkey Kong Country","Game Boy Advance",5,7911,7911,7911,80,0,"2D Platforming","Rare","Nintendo","2003-06-09"
21,2816,"Pokémon Mystery Dungeon: Red Rescue Team","Game Boy Advance",5,7204,7204,7204,128,0,"Roguelike","Chunsoft","Nintendo","2005-11-17"
22,2445,"Mario Pinball Land","Game Boy Advance",5,7195,7195,7195,68,0,"Pinball","Fuse Games | Silverball Studios","Nintendo","2004-08-26"
23,554,"Fire Emblem: The Blazing Blade","Game Boy Advance",5,6965,6965,6965,87,0,"Tactical RPG","Intelligent Systems","Nintendo","2003-11-03"
24,790,"Pokémon Ruby Version","Game Boy Advance",5,6964,6964,6964,49,0,"","","","2002-11-21"
25,1376,"Dragon Ball: Advanced Adventure","Game Boy Advance",5,6669,6669,6669,44,0,"2D Platforming, Beat 'em Up","Dimps","Atari, Bandai, Banpresto","2004-11-18"
26,557,"Sonic Advance 2","Game Boy Advance",5,6456,6456,6456,40,0,"2D Platforming","Dimps, Sonic Team","Sega, THQ","2002-12-19"
27,505,"Super Mario Advance","Game Boy Advance",5,6344,6344,6344,81,0,"2D Platforming","Nintendo","Nintendo, iQue","2001-03-21"
28,762,"Final Fantasy I & II: Dawn of Souls","Game Boy Advance",5,6096,6096,6096,69,0,"","Square Enix","Nintendo, Square Enix","2004-11-29"
29,794,"Sonic Advance 3","Game Boy Advance",5,6054,6054,6054,63,0,"2D Platforming","Dimps, Sonic Team","Sega, THQ","2004-01-01"
30,758,"Dragon Ball Z: The Legacy of Goku","Game Boy Advance",5,5762,5762,5762,39,0,"Action RPG","Webfoot Technologies","Infogrames","2002-05-14"
31,791,"Pokémon Sapphire Version","Game Boy Advance",5,4941,4941,4941,49,0,"","","","2002-11-21"
32,519,"Final Fantasy Tactics Advance","Game Boy Advance",5,4771,4771,4771,138,0,"Tactical RPG","Square Enix","Nintendo","2003-09-08"
33,5081,"Aladdin","Game Boy Advance",5,4662,4662,4662,39,0,"2D Platforming","Disney Interactive Studios","Capcom","2004-09-28"
34,30894,"~Hack~ Pokémon Emerald Seaglass","Game Boy Advance",5,4612,4612,4612,68,0,"","Nemo622","","2024-08-23"
35,30137,"~Hack~ Pokémon Emerald Rogue V2","Game Boy Advance",5,4360,4360,4360,260,0,"Roguelike, Turn-Based RPG","Pokabbie","Hack - Pokemon Emerald Version","2024-07-02"
36,4033,"Rhythm Tengoku","Game Boy Advance",5,4331,4331,4331,36,0,"Rhythm","","Nintendo","2006-08-03"
37,2171,"Mario Tennis: Power Tour","Game Boy Advance",5,4247,4247,4247,58,0,"Sports - Tennis, Role-Playing Game","Camelot Software Planning","Nintendo","2005-12-05"
38,528,"Doom","Game Boy Advance",5,4014,4014,4014,83,0,"First-Person Shooter","id Software, David A. Palmer Productions","Activision","2001-10-28"
39,514,"Metal Slug Advance","Game Boy Advance",5,3911,3911,3911,23,0,"Run & Gun","Noise Factory","SNK","2004-11-12"
40,2188,"Sonic Battle","Game Boy Advance",5,3874,3874,3874,30,0,"Arena Fighting","Sega, Sonic Team","THQ","2003-12-03"
41,5077,"Gunstar Super Heroes","Game Boy Advance",5,3854,3854,3854,57,0,"Run & Gun","Treasure","Sega","2005-10-06"
42,759,"Dragon Ball Z: The Legacy of Goku II","Game Boy Advance",5,3549,3549,3549,57,0,"Action RPG","Webfoot Technologies","Atari","2003-06-17"
43,3706,"Final Fight One","Game Boy Advance",5,3445,3445,3445,28,0,"Beat 'em Up","Capcom","Capcom, Ubisoft","2001-05-25"
44,760,"Drill Dozer","Game Boy Advance",5,3331,3331,3331,56,0,"2D Platforming, Action","Game Freak","Nintendo","2006-02-06"
45,4206,"Sword of Mana","Game Boy Advance",5,3308,3308,3308,101,0,"Action RPG","Brownie Brown, Square Enix","Nintendo, Square Enix","2003-12-01"
46,2588,"Summon Night: Swordcraft Story","Game Boy Advance",5,3187,3187,3187,36,0,"","Flight-Plan","Atlus","2006-07-26"
47,14408,"~Hack~ Pokémon FireRed: Rocket Edition","Game Boy Advance",5,3174,3174,3174,42,0,"Turn-Based RPG","colonelsalt","","2020-04-09"
48,533,"Mario Kart: Super Circuit","Game Boy Advance",5,3107,3107,3107,94,0,"Kart Racing","Intelligent Systems","Nintendo","2001-08-26"
49,1416,"Grand Theft Auto Advance","Game Boy Advance",5,3059,3059,3059,41,0,"Action-Adventure","Digital Eclipse","Rockstar Games","2004-10-26"
50,5255,"Sonic Pinball Party","Game Boy Advance",5,3027,3027,3027,103,0,"Pinball","Sonic Team, Jupiter","Sega","2003-06-03"
51,5234,"Super Mario Advance 3: Yoshi's Island","Game Boy Advance",5,3001,3001,3001,66,0,"2D Platforming","","Nintendo","2002-09-20"
52,787,"Naruto: Ninja Council","Game Boy Advance",5,2967,2967,2967,44,0,"2D Platforming, Beat 'em Up","Aspect","D3 Publisher, Tomy","2006-03-07"
53,764,"Final Fantasy V: Advance","Game Boy Advance",5,2947,2947,2947,172,0,"","TOSE","Nintendo, Square Enix","2006-11-06"
54,5004,"Yu-Gi-Oh! The Eternal Duelist Soul","Game Boy Advance",5,2913,2913,2913,39,0,"Collectible Card Game","Konami","Konami","2002-10-15"
55,16209,"~Homebrew~ Celeste Classic","Game Boy Advance",5,2850,2850,2850,39,0,"2D Platforming","JeffRuLz","JeffRuLz","2019-08-02"
56,5719,"LEGO Star Wars: The Video Game","Game Boy Advance",5,2750,2750,2750,45,0,"Action-Adventure","Griptonite Games","Eidos Interactive, LucasArts | Lucasfilm","2005-03-29"
57,5127,"Crash Nitro Kart","Game Boy Advance",5,2659,2659,2659,68,0,"Kart Racing","Vicarious Visions","Universal Interactive","2003-11-11"
58,2482,"Fire Emblem: The Sacred Stones","Game Boy Advance",5,2626,2626,2626,114,0,"Tactical RPG","Intelligent Systems","Nintendo","2005-11-04"
59,748,"Classic NES Series: The Legend of Zelda","Game Boy Advance",5,2601,2601,2601,97,0,"Action-Adventure","Nintendo","Nintendo","2004-02-14"
60,506,"Advance Wars","Game Boy Advance",5,2584,2584,2584,92,0,"Turn-Based Strategy","Intelligent Systems","Nintendo","2001-09-10"
61,27584,"~Homebrew~ Goodboy Galaxy","Game Boy Advance",5,2513,2513,2513,125,0,"Metroidvania","Goodboy Galaxy","itch.io, First Press Games","2023-11-28"
62,21360,"~Hack~ Pokémon Emerald Rogue","Game Boy Advance",5,2447,2447,2447,83,0,"Roguelike, Turn-Based RPG","Pokabbie","Hack - Pokemon Emerald Version","2022-08-22"
63,754,"Dragon Ball Z: Buu's Fury","Game Boy Advance",5,2413,2413,2413,59,0,"Action RPG","Webfoot Technologies","Atari","2004-09-14"
64,9848,"Action Man: Robot Atak","Game Boy Advance",5,2375,2375,2375,51,0,"Action, 2D Platforming","Magic Pockets","Atari","2004-09-24"
65,33063,"~Hack~ Pokémon Odyssey","Game Boy Advance",5,2346,2346,2346,90,0,"Turn-Based RPG","Yggdrasil Project","Hack - Pokemon FireRed and LeafGreen Versions","2025-06-12"
66,801,"WarioWare: Twisted!","Game Boy Advance",5,2344,2344,2344,50,0,"Minigames","Intelligent Systems","Nintendo","2004-10-14"
67,20277,"Super Mario Advance 4: Super Mario Bros. 3","Game Boy Advance",5,2285,2285,2285,83,0,"","","","2003-07-11"
68,9957,"The Pinball of the Dead","Game Boy Advance",5,2274,2274,2274,44,0,"","","","2002-06-18"
69,4106,"Rayman Advance","Game Boy Advance",5,2253,2253,2253,58,0,"2D Platforming","Digital Eclipse","Ubisoft","2001-06-11"
70,2138,"Double Dragon Advance","Game Boy Advance",5,2188,2188,2188,53,0,"Beat 'em Up","Million, S-NEO, Paon","Atlus","2003-11-14"
71,529,"Mario vs. Donkey Kong","Game Boy Advance",5,2160,2160,2160,34,0,"","","Nintendo","2004-11-19"
72,6946,"Bookworm","Game Boy Advance",5,2099,2099,2099,57,0,"","PopCap Games","Majesco Entertainment, PopCap Games","2004-04-28"
73,5117,"Yu-Gi-Oh! The Sacred Cards","Game Boy Advance",5,2023,2023,2023,64,0,"Collectible Card Game","Konami","Konami","2002-01-01"
74,752,"Donkey Kong Country 3","Game Boy Advance",5,1965,1965,1965,27,0,"2D Platforming","Rare","Nintendo","2005-11-07"
75,4970,"Dr. Mario & Puzzle League","Game Boy Advance",5,1908,1908,1908,63,0,"","TOSE","Nintendo","2005-11-04"
76,2592,"Golden Sun: The Lost Age","Game Boy Advance",5,1903,1903,1903,97,0,"Turn-Based RPG","Camelot Software Planning","Nintendo","2003-04-14"
77,3700,"Who Wants to Be a Millionaire","Game Boy Advance",5,1884,1884,1884,6,0,"Game Show","Hothouse Creations","Zoo Digital Publishing | Zushi Games","2002-10-18"
78,12748,"~Prototype~ Resident Evil 2","Game Boy Advance",5,1832,1832,1832,11,0,"Survival Horror","Raylight Studios","Capcom",""
79,784,"Mega Man Zero 4","Game Boy Advance",5,1827,1827,1827,52,0,"2D Platforming, Action","Inti Creates","Capcom","2005-04-21"
80,548,"Naruto: Ninja Council 2","Game Boy Advance",5,1808,1808,1808,23,0,"2D Platforming, Beat 'em Up","Aspect, Tomy","D3 Publisher, Tomy","2006-10-04"
81,783,"Mega Man Zero 2","Game Boy Advance",5,1765,1765,1765,45,0,"2D Platforming, Action","Inti Creates","Capcom","2003-10-14"
82,6643,"~Hack~ Pokémon Ultra Violet Version","Game Boy Advance",5,1734,1734,1734,29,0,"Turn-Based RPG","LocksmithArmy","","2013-07-02"
83,5245,"~Hack~ Pokémon AshGray Version","Game Boy Advance",5,1720,1720,1720,139,0,"Turn-Based RPG","Metapod23","","2015-03-03"
84,4703,"Shining Soul","Game Boy Advance",5,1716,1716,1716,63,0,"Action RPG","Nex Entertainment, Grasshopper Manufacture","Sega, Atlus","2002-03-28"
85,5520,"Pac-Man Collection","Game Boy Advance",5,1678,1678,1678,71,0,"","Mass Media","Namco","2001-07-12"
86,5987,"Hamtaro: Ham-Ham Heartbreak","Game Boy Advance",5,1649,1649,1649,35,0,"Action","Pax Softnica","Nintendo","2003-04-08"
87,5080,"Tim Burton's The Nightmare Before Christmas: The Pumpkin King","Game Boy Advance",5,1643,1643,1643,71,0,"Metroidvania","TOSE","Buena Vista Games, D3 Publisher","2005-09-08"
88,4879,"Fire Emblem: Fuuin no Tsurugi","Game Boy Advance",5,1637,1637,1637,70,0,"Tactical RPG","Intelligent Systems","Nintendo","2002-03-29"
89,8701,"Classic NES Series: Castlevania","Game Boy Advance",5,1635,1635,1635,26,0,"2D Platforming","Konami","Nintendo","2004-08-10"
