gameId,gameTitle,achievementId,title,description,points,trueRatio,type,author,badgeUrl,numAwarded,numAwardedHardcore,displayOrder,memAddr
5371,The Legend of Zelda: Link's Awakening DX,201713,This Sounds... Familiar,Listen to the secret song on the File Select Screen.,1,2,,adamjohnny5,https://media.retroachievements.org/Badge/223981.png,1914,1443,3,0xH00d369=64_d0xH00d369=1_0xH00db95=2
5371,The Legend of Zelda: Link's Awakening DX,28838,Starting Defensively,Acquire the Level-1 Shield from Tarin.,1,1,,SporyTike,https://media.retroachievements.org/Badge/90724.png,16646,6720,4,0xH00db95=11_d0xH00db95=11_0xH00fff7=16_0xH00fff6=163_0xH00c173=145_0xH00db44=1_d0xH00db44=0
5371,The Legend of Zelda: Link's Awakening DX,28839,Welcome Back Old Friend,Acquire the Level-1 Sword from Toronbo Shores.,5,5,,SporyTike,https://media.retroachievements.org/Badge/90725.png,12761,5672,5,0xH00db95=11_d0xH00db95=11_0xH00fff7=0_0xH00fff6=242_0xQ00d8f2>d0xQ00d8f2
5371,The Legend of Zelda: Link's Awakening DX,201712,The Shroomless Raccoon,"Without ever entering the screen where you acquire the Mushroom, use Magic Powder on the raccoon in the Mysterious Forest.",5,13,missable,adamjohnny5,https://media.retroachievements.org/Badge/223980.png,1800,1318,8,T:0xQ00d851=1_d0xQ00d851=0_0xT00d850=0_0xH00db5f=0_0xH00fff6=81
5371,The Legend of Zelda: Link's Awakening DX,201690,Super... Link?,Find the sleepy mushroom in the Mysterious Forest.,1,1,,adamjohnny5,https://media.retroachievements.org/Badge/223958.png,6475,3126,9,0xH00c173=15_0xH00db4b=1_d0xH00db4b=0_0xH00db95=11_0xH00db5f=0_0xH00db54=80
5371,The Legend of Zelda: Link's Awakening DX,201691,A Witch's Secret,Get Magic Powder for the first time.,1,1,,adamjohnny5,https://media.retroachievements.org/Badge/223959.png,6542,3221,10,0xH00db95=11_0xH00db5f=1_0xH00db11=0_d0xH00db4c=0_0xH00db4c>0S0xH00fff7=15_0xH00fff6=160S0xH00fff7=14_0xH00fff6=162
5371,The Legend of Zelda: Link's Awakening DX,201692,Chattin' with the Cukeman,See all dialogue options available from a transformed Buzz Blob without changing screens.,3,7,,adamjohnny5,https://media.retroachievements.org/Badge/223960.png,1812,1362,11,0xH00c173!=d0xH00c173_N:d0xH00c173!=124_C:0xH00c173=124.1._N:d0xH00c173!=125_C:0xH00c173=125.1._N:d0xH00c173!=126_C:0xH00c173=126.1._N:d0xH00c173!=127_C:0xH00c173=127.1._M:0=1.4._R:0xH00db95<=5_R:0xH00db5f=1_R:0xH00fff6!=d0xH00fff6_P:0xH00db95=7_P:0xH00db95=12
5371,The Legend of Zelda: Link's Awakening DX,201693,Nutty Power Freak,"Pick up either the Guardian Acorn or Triangle of Power, then while one is active, pick up the other.",5,12,,adamjohnny5,https://media.retroachievements.org/Badge/223961.png,2340,1415,12,R:0xH00fff6!=d0xH00fff6_R:0xH00db95<=5_0xK00d47c>d0xK00d47c.1._0xK00d47c=d0xK00d47c_0xH00d47c!=d0xH00d47c
5371,The Legend of Zelda: Link's Awakening DX,201694,Beyond the Mirage,Get the Tail Key.,3,4,,adamjohnny5,https://media.retroachievements.org/Badge/223962.png,6219,3085,13,d0xH00db11=0_0xH00fff6=65_0xH00db95=11_0xH00db5f=0_0xQ00d841>d0xQ00d841
5371,The Legend of Zelda: Link's Awakening DX,201697,As Light as a Feather,Acquire the Roc's Feather.,3,4,,adamjohnny5,https://media.retroachievements.org/Badge/223965.png,5332,2738,14,0xH00db95=11_0xH00fff6=29_0xH00db60=0_0xQ00d91d>d0xQ00d91d
5371,The Legend of Zelda: Link's Awakening DX,28829,Moldorm Mutilator,Defeat Moldorm without being harmed.,10,18,missable,SporyTike,https://media.retroachievements.org/Badge/90714.png,3608,2209,16,N:d0xH00fff6=11_0xH00fff6=6.1._R:0xH00db60!=0_R:0xH00db5a<d0xH00db5a_R:0xH00fff6=26_R:d0xR00d906=1_d0xH00d34d!=124_T:0xH00d34d=124_P:0xU00c150=15_P:0xH00db5a=0
5371,The Legend of Zelda: Link's Awakening DX,28819,Tail Cello,Acquire the Full Moon Cello from the Tail Cave.,10,14,progression,SporyTike,https://media.retroachievements.org/Badge/90704.png,6475,3413,17,0xN00db65>d0xN00db65_0xH00db95=11_0xH00db60=0_0xH00fff6=2
5371,The Legend of Zelda: Link's Awakening DX,201702,"Bombs, You Want Some?",Purchase bombs.,1,1,missable,adamjohnny5,https://media.retroachievements.org/Badge/223970.png,3833,2080,18,d0xH00c173=51_0xH00c173=53_0xH00fff6=161_0xH00db4d>d0xH00db4d_0xH00db5f=1_0xH00db60=14_0xH00db95=11
5371,The Legend of Zelda: Link's Awakening DX,201716,Beetles Are the Bomb!,"In the room left of the entrance inside the Tail Cave, kill the two Hardhat Beetles simultaneously.",1,3,,adamjohnny5,https://media.retroachievements.org/Badge/223984.png,1214,985,20,O:d0xH00fff6=21_N:d0xH00fff6=23_0xH00fff6=22.1._0xH00c281=1_p0xH00c281=5_0xH00c282=1_p0xH00c282=5_R:0xH00db60!=0_R:0xH00db5f!=1_R:0xH00fff6!=22
5371,The Legend of Zelda: Link's Awakening DX,201699,Tail Cave Cartographer,Enter every room in Tail Cave.,10,21,,adamjohnny5,https://media.retroachievements.org/Badge/223967.png,2783,1741,21,0xH00db60=0_A:d0xT00d901_A:d0xT00d902_A:d0xT00d903_A:d0xT00d904_A:d0xT00d905_A:d0xT00d906_A:d0xT00d907_A:d0xT00d908_A:d0xT00d909_A:d0xT00d90a_A:d0xT00d90b_A:d0xT00d90c_A:d0xT00d90d_A:d0xT00d90e_A:d0xT00d90f_A:d0xT00d910_A:d0xT00d911_A:d0xT00d912_A:d0xT00d913_A:d0xT00d914_A:d0xT00d915_A:d0xT00d916_A:d0xT00d917_A:d0xT00d91c_d0xT00d91d=24_A:0xT00d901_A:0xT00d902_A:0xT00d903_A:0xT00d904_A:0xT00d905_A:0xT00d906_A:0xT00d907_A:0xT00d908_A:0xT00d909_A:0xT00d90a_A:0xT00d90b_A:0xT00d90c_A:0xT00d90d_A:0xT00d90e_A:0xT00d90f_A:0xT00d910_A:0xT00d911_A:0xT00d912_A:0xT00d913_A:0xT00d914_A:0xT00d915_A:0xT00d916_A:0xT00d917_A:0xT00d91c_M:0xT00d91d=25_Q:0xH00db95>5
5371,The Legend of Zelda: Link's Awakening DX,201695,Closing Shop For the Day,Get every item from the Trendy Game in one visit and ask the owner for more.,10,28,,adamjohnny5,https://media.retroachievements.org/Badge/223963.png,1642,1239,22,d0xH00c173!=64_0xH00c173=64_0xH00c173=62.1._0xH00c173=59.1._N:0xH00fff7!=15_R:0xH00fff6!=160_R:0xH00db60!=15
5371,The Legend of Zelda: Link's Awakening DX,201696,This Pond's All Fished Out,"Catch every fish in the Fishing Pond in one round, and immediately try to fish anyway without leaving the scene.",5,12,,adamjohnny5,https://media.retroachievements.org/Badge/223964.png,2160,1451,23,R:0xH00fff7!=15_R:0xH00fff6!=177_O:0xH00c173=73_R:0xH00c173=70_d0xH00c173!=75_0xH00c173=75_0xH00d004=5_0xH00d004=4.1._0xH00d004=3.1._0xH00d004=2.1._0xH00d004=1.1.
5371,The Legend of Zelda: Link's Awakening DX,201703,Cuccos Gone Wild,Provoke a Cucco attack.,1,2,,adamjohnny5,https://media.retroachievements.org/Badge/223971.png,2449,1653,24,0xH00db95>5S0xH00c280=5_0xH00c290=2_d0xH00c2b0=34_0xH00c2b0=35S0xH00c281=5_0xH00c291=2_d0xH00c2b1=34_0xH00c2b1=35S0xH00c282=5_0xH00c292=2_d0xH00c2b2=34_0xH00c2b2=35S0xH00c283=5_0xH00c293=2_d0xH00c2b3=34_0xH00c2b3=35S0xH00c284=5_0xH00c294=2_d0xH00c2b4=34_0xH00c2b4=35S0xH00c285=5_0xH00c295=2_d0xH00c2b5=34_0xH00c2b5=35S0xH00c286=5_0xH00c296=2_d0xH00c2b6=34_0xH00c2b6=35S0xH00c287=5_0xH00c297=2_d0xH00c2b7=34_0xH00c2b7=35
