rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
1,5371,"The Legend of Zelda: Link's Awakening DX","Game Boy Color",6,17387,17387,17387,110,0,"Action-Adventure","Nintendo","Nintendo","1998-12-12"
2,810,"Pokémon Crystal Version","Game Boy Color",6,12586,12586,12586,113,0,"Turn-Based RPG","Game Freak","Nintendo","2000-12-14"
3,4939,"Tetris DX","Game Boy Color",6,8775,8775,8775,39,0,"","","Nintendo","1998-10-21"
4,725,"Pokémon Pinball","Game Boy Color",6,7984,7984,7984,78,0,"Pinball","Jupiter","Nintendo","1999-04-14"
5,676,"The Legend of Zelda: Oracle of Seasons","Game Boy Color",6,6826,6826,6826,59,0,"Action-Adventure","Capcom","Nintendo","2001-02-27"
6,727,"Pokémon Trading Card Game","Game Boy Color",6,4752,4752,4752,35,0,"Strategy, Collectible Card Game","Hudson Soft","Media Factory","1998-12-18"
7,520,"Metal Gear Solid: Ghost Babel","Game Boy Color",6,4421,4421,4421,106,0,"Stealth","Konami","Konami","2000-04-27"
8,14221,"Wario Land II","Game Boy Color",6,4188,4188,4188,39,0,"2D Platforming","","Nintendo","1998-10-21"
9,722,"Pokémon Silver Version","Game Boy Color",6,4133,4133,4133,75,0,"","","","1999-11-21"
10,3818,"Dragon Quest I & II","Game Boy Color",6,3846,3846,3846,73,0,"Compilation, Turn-Based RPG","TOSE","Enix","2000-09-23"
11,713,"Mega Man Xtreme","Game Boy Color",6,3434,3434,3434,44,0,"2D Platforming","Capcom","Capcom","2000-10-20"
12,5062,"1942","Game Boy Color",6,3362,3362,3362,18,0,"Shoot 'em Up","","Capcom","2000-05-01"
13,726,"Pokémon Puzzle Challenge","Game Boy Color",6,2641,2641,2641,62,0,"Tile Matching","Intelligent Systems","Nintendo","2000-09-21"
14,741,"Wario Land 3","Game Boy Color",6,2324,2324,2324,106,0,"2D Platforming","","Nintendo","2000-03-21"
15,4129,"Frogger","Game Boy Color",6,1880,1880,1880,12,0,"Arcade","Morning Star Multimedia","Majesco Entertainment","1998-12-31"
16,1403,"Mario Golf","Game Boy Color",6,1759,1759,1759,44,0,"Sports - Golf","Camelot Software Planning","Nintendo","1999-08-10"
17,5043,"Mario Tennis","Game Boy Color",6,1726,1726,1726,70,0,"Sports - Tennis","Camelot Software Planning","Nintendo","2000-11-01"
18,697,"Dragon Quest III","Game Boy Color",6,1699,1699,1699,138,0,"Turn-Based RPG","TOSE","Enix","2000-12-08"
19,8569,"Mr. Driller","Game Boy Color",6,1636,1636,1636,12,0,"Puzzle","Namco","Namco","2000-08-02"
20,7107,"Bomberman Max: Blue Champion","Game Boy Color",6,1558,1558,1558,40,0,"Puzzle","Hudson Soft","Vatical Entertainment","2000-05-14"
21,13389,"~Hack~ Crystal Clear","Game Boy Color",6,1502,1502,1502,195,0,"Turn-Based RPG","ShockSlayer","Hack - Pokemon Crystal Version","2019-08-03"
22,16597,"~Prototype~ Pokémon Picross","Game Boy Color",6,1502,1502,1502,17,0,"Nonogram","Jupiter","Nintendo","1999-01-01"
23,2501,"Astérix & Obélix","Game Boy Color",6,1449,1449,1449,46,0,"2D Platforming","Bit Managers","Infogrames","1999-01-01"
24,3608,"Dragon Quest Monsters","Game Boy Color",6,1435,1435,1435,64,0,"Turn-Based RPG","TOSE","Eidos Interactive","1998-09-25"
25,5185,"10-Pin Bowling","Game Boy Color",6,1405,1405,1405,6,0,"Sports - Bowling","Morning Star Multimedia","Majesco Entertainment","1999-08-01"
26,3607,"Street Fighter Alpha: Warriors' Dreams","Game Boy Color",6,1400,1400,1400,30,0,"2D Fighting","Crawfish Interactive","Capcom","2000-03-24"
27,5133,"Resident Evil: Gaiden","Game Boy Color",6,1233,1233,1233,34,0,"Action-Adventure, Survival Horror","Capcom, M4","Capcom, Virgin Interactive","2001-12-14"
28,14165,"Sesame Street: Elmo's ABCs","Game Boy Color",6,1213,1213,1213,6,0,"Educational","Bonsai Entertainment","NewKidCo","1999-03-01"
29,537,"Rayman","Game Boy Color",6,1207,1207,1207,34,0,"2D Platforming","Ubisoft","Ubisoft","2000-03-29"
30,9725,"Wendy: Every Witch Way","Game Boy Color",6,1205,1205,1205,37,0,"2D Platforming","WayForward","TDK Mediactive","2001-08-28"
31,4912,"Mega Man Xtreme 2","Game Boy Color",6,1155,1155,1155,44,0,"2D Platforming","Capcom","Capcom","2001-07-19"
32,24124,"~Homebrew~ Slender: The 8 Pages","Game Boy Color",6,1150,1150,1150,9,0,"","JWG.LLC","itch.io","2021-11-14"
33,7687,"Caterpillar Construction Zone","Game Boy Color",6,1139,1139,1139,15,0,"Job Simulation","Realtime Associates","Mattel","2000-01-01"
34,13427,"Sesame Street: Elmo's 123s","Game Boy Color",6,1119,1119,1119,6,0,"Educational","Bonsai Entertainment","NewKidCo","1999-03-01"
35,22589,"~Homebrew~ A 20 Second Platformer","Game Boy Color",6,987,987,987,6,0,"2D Platforming","allalonegamez","itch.io","2022-11-24"
36,5065,"Pac-Man: Special Color Edition","Game Boy Color",6,982,982,982,50,0,"Arcade, Maze Chase","Namco","Namco","1999-08-01"
37,6385,"Crystalis","Game Boy Color",6,972,972,972,57,0,"","","Nintendo","2000-06-26"
38,30725,"~Homebrew~ Hatsune Miku Bomb Squad","Game Boy Color",6,970,970,970,6,0,"","birdup","birdup","2024-08-07"
39,16191,"~Hack~ Pokémon Polished Crystal","Game Boy Color",6,966,966,966,173,0,"Turn-Based RPG","Rangi","Hack - Pokemon Crystal Version","2016-09-20"
40,9491,"~Hack~ Pokémon Prism Version","Game Boy Color",6,964,964,964,94,0,"","Koolboyman, RainbowDevs","","2016-12-19"
41,31200,"~Homebrew~ Super Mario Bros. Mini","Game Boy Color",6,934,934,934,75,0,"2D Platforming","Mico27","itch.io","2024-10-26"
42,4893,"Conker's Pocket Tales","Game Boy Color",6,933,933,933,35,0,"Action-Adventure","Rare","Nintendo","1999-06-08"
43,5021,"Donkey Kong Country","Game Boy Color",6,913,913,913,38,0,"2D Platforming","Rare","Nintendo","2000-11-05"
44,4056,"Legend of the River King GBC","Game Boy Color",6,910,910,910,57,0,"Sports - Fishing","Marvelous Interactive","Natsume, Marvelous Interactive","1999-11-01"
45,4933,"Shadowgate Classic","Game Boy Color",6,853,853,853,33,0,"Dungeon Crawl, Point-and-Click Adventure","Infinite Ventures","Nintendo","1999-01-01"
46,2818,"Harry Potter and the Chamber of Secrets","Game Boy Color",6,841,841,841,72,0,"","Griptonite Games","Electronic Arts","2002-11-01"
47,19541,"~Homebrew~ Castlevania: Circle of the Moon - GBC Edition","Game Boy Color",6,832,832,832,7,0,"Metroidvania","Ryan Marcham","Ryan Marcham","2022-04-28"
48,5594,"Dragon Ball Z: Legendary Super Warriors","Game Boy Color",6,793,793,793,81,0,"Card Game, Turn-Based RPG","Flight-Plan","Banpresto, Infogrames","2002-06-28"
49,4871,"Centipede","Game Boy Color",6,735,735,735,17,0,"Arcade, Shoot 'em Up","Accolade","Majesco Entertainment","1998-11-30"
50,5067,"Pong: The Next Level","Game Boy Color",6,728,728,728,18,0,"Arcade","Morning Star Multimedia","Hasbro Interactive","1999-12-01"
51,4126,"WWF Betrayal","Game Boy Color",6,725,725,725,15,0,"Wrestling","WayForward","THQ","2001-08-07"
52,4131,"Sesame Street Sports","Game Boy Color",6,695,695,695,18,0,"2D Platforming","Bonsai Entertainment","NewKidCo","2001-11-15"
53,4928,"SpongeBob SquarePants: Legend of the Lost Spatula","Game Boy Color",6,677,677,677,30,0,"2D Platforming, Action","Vicarious Visions","THQ","2001-03-15"
54,1351,"Scooby-Doo! Classic Creep Capers","Game Boy Color",6,672,672,672,15,0,"Point-and-Click Adventure","Digital Eclipse","THQ","2001-02-12"
55,18962,"~Homebrew~ Opossum Country","Game Boy Color",6,671,671,671,6,0,"Horror","Ben Jelter","Ben Jelter","2020-12-14"
56,4923,"Survival Kids","Game Boy Color",6,647,647,647,39,0,"Action RPG, Survival","Konami","Konami","1999-10-01"
57,11673,"Microsoft: The Best of Entertainment Pack","Game Boy Color",6,632,632,632,27,0,"Minigames","Microsoft, Saffire Corporation, Cryo Interactive","Microsoft","2001-05-30"
58,10659,"Barbie: Ocean Discovery","Game Boy Color",6,611,611,611,21,0,"Puzzle / Action / Exploration","Realtime Associates","Mattel","1999-05-01"
59,5151,"Harvest Moon GBC","Game Boy Color",6,605,605,605,47,0,"Life Simulation","Marvelous Interactive","Natsume","1998-12-31"
60,6494,"Pocket Bomberman","Game Boy Color",6,595,595,595,15,0,"Action","Hudson Soft","Nintendo","1998-12-14"
61,6135,"Beatmania GB","Game Boy Color",6,579,579,579,70,0,"Rhythm","Konami","Konami","1999-03-01"
62,11149,"Hello Kitty no Magical Museum","Game Boy Color",6,579,579,579,9,0,"Puzzle","Atelier Double","Imagineer","1999-04-28"
63,6081,"~Hack~ Pokémon Pinball Generations","Game Boy Color",6,565,565,565,67,0,"Pinball","RainbowDevs","","2019-01-19"
64,3819,"John Romero's Daikatana","Game Boy Color",6,548,548,548,22,0,"Action-Adventure","Will","Kemco","2000-09-29"
65,6080,"Daffy Duck: Fowl Play","Game Boy Color",6,544,544,544,24,0,"2D Platforming","Santaclaus","Sunsoft","1999-12-01"
66,13182,"Top Gear Pocket 2","Game Boy Color",6,541,541,541,86,0,"Racing","Vision Works","Vatical Entertainment","2000-01-01"
67,4193,"Monsters, Inc.","Game Boy Color",6,534,534,534,15,0,"2D Platforming","Vicarious Visions","THQ","2001-10-01"
68,12950,"Hollywood Pinball","Game Boy Color",6,515,515,515,85,0,"Pinball","Tarantula Studios","Take-Two Interactive","1999-01-01"
69,15635,"Super Robot Pinball","Game Boy Color",6,515,515,515,44,0,"Pinball","","Media Factory","2001-02-23"
70,4921,"Asteroids","Game Boy Color",6,506,506,506,34,0,"","Syrox Developments","Activision","1999-09-01"
71,5105,"Dragon Quest Monsters 2","Game Boy Color",6,482,482,482,61,0,"Turn-Based RPG","TOSE","Enix","2001-03-09"
72,8571,"Batman Beyond: Return of the Joker","Game Boy Color",6,479,479,479,10,0,"Beat 'em Up","Kemco","Ubisoft","2000-11-20"
73,22124,"~Homebrew~ Blinky's Revenge","Game Boy Color",6,461,461,461,6,0,"Maze Chase","László Rajcsányi","László Rajcsányi","2022-06-21"
74,5061,"102 Dalmatians: Puppies to the Rescue","Game Boy Color",6,455,455,455,36,0,"2D Platforming","Digital Eclipse","Activision","2000-12-06"
75,7109,"Buffy the Vampire Slayer","Game Boy Color",6,447,447,447,18,0,"","GameBrains","","2000-09-19"
76,4647,"Rayman 2","Game Boy Color",6,443,443,443,54,0,"2D Platforming","Ubisoft","Ubisoft","2002-01-01"
77,6524,"Bionic Commando: Elite Forces","Game Boy Color",6,438,438,438,49,0,"2D Platforming, Metroidvania","Nintendo","Nintendo","2000-01-01"
78,2370,"~Prototype~ Resident Evil","Game Boy Color",6,429,429,429,19,0,"Survival Horror","HotGen Studios","Capcom",""
79,4950,"Antz","Game Boy Color",6,418,418,418,28,0,"2D Platforming","CLCE & Planet","Infogrames","1999-09-24"
80,12804,"Meitantei Conan: Karakuri Jiin Satsujin Jiken","Game Boy Color",6,414,414,414,12,0,"","","","2000-02-25"
