gameId,gameTitle,md5,romName,labels,patchUrl,region,romFile,romSize
5371,The Legend of Zelda: Link's Awakening DX,07c211479386825042efb4ad31bb525f,"Legend of Zelda, The - Link's Awakening DX (USA, Europe) (SGB Enhanced) (GB Compatible).gbc",nointro,,usa,"Legend of Zelda, The - Link's Awakening DX (USA, Europe) (SGB Enhanced) (GB Compatible).zip",496679
810,Pokémon Crystal Version,301899b8087289a6436b0a241fbbb474,"Pokemon - Crystal Version (USA, Europe) (Rev 1).gbc",nointro,,usa,"Pokemon - Crystal Version (USA, Europe) (Rev 1).zip",1029939
4939,Tetris DX,65973d7a1446346294f8ca9d2d1b7e66,Tetris DX (World) (SGB Enhanced) (GB Compatible).gbc,nointro,,world,Tetris DX (World) (SGB Enhanced) (GB Compatible).zip,107377
725,Pokémon Pinball,fbe20570c2e52c937a9395024069ba3c,"Pokemon Pinball (USA, Australia) (Rumble Version) (SGB Enhanced) (GB Compatible).gbc",nointro,,usa,"Pokemon Pinball (USA, Australia) (Rumble Version) (SGB Enhanced) (GB Compatible).zip",315157
676,The Legend of Zelda: Oracle of Seasons,f2dc6c4e093e4f8c6cbea80e8dbd62cb,"Legend of Zelda, The - Oracle of Seasons (USA, Australia).gbc",nointro,,usa,"Legend of Zelda, The - Oracle of Seasons (USA, Australia).zip",674439
727,Pokémon Trading Card Game,219b2cc64e5a052003015d4bd4c622cd,"Pokemon Trading Card Game (USA, Australia) (SGB Enhanced) (GB Compatible).gbc",nointro,,usa,"Pokemon Trading Card Game (USA, Australia) (SGB Enhanced) (GB Compatible).zip",468526
520,Metal Gear Solid: Ghost Babel,f6dd1b1e5747412b9e5f25376c972d5a,Metal Gear Solid (USA).gbc,nointro,,usa,Metal Gear Solid (USA).zip,871258
14221,Wario Land II,b7598a51e0acc0d74ca8f464826371ed,"Wario Land II (USA, Europe) (SGB Enhanced) (GB Compatible).gbc",nointro,,usa,"Wario Land II (USA, Europe) (SGB Enhanced) (GB Compatible).zip",530596
722,Pokémon Silver Version,2ac166169354e84d0e2d7cf4cb40b312,"Pokemon - Silver Version (USA, Europe) (SGB Enhanced) (GB Compatible).gbc",nointro,,usa,"Pokemon - Silver Version (USA, Europe) (SGB Enhanced) (GB Compatible).zip",748101
3818,Dragon Quest I & II,c3987a4d734c37b7d8324f654a45de70,Dragon Warrior I & II (USA) (SGB Enhanced) (GB Compatible).gbc,nointro,,usa,Dragon Warrior I & II (USA) (SGB Enhanced) (GB Compatible).zip,513493
713,Mega Man Xtreme,4681f5b931a2e60ca163facd1adf56ed,"Mega Man Xtreme (USA, Europe) (GB Compatible).gbc",nointro,,usa,"Mega Man Xtreme (USA, Europe) (GB Compatible).zip",505951
5062,1942,a31652b6d1e7fc647c4af7b9dfe05ff5,"1942 (USA, Europe).gbc",nointro,,usa,1942 (USA).zip,59868
726,Pokémon Puzzle Challenge,f9ec4cc3c9df3887dc731ccf53663ffb,"Pokemon Puzzle Challenge (USA, Australia).gbc",nointro,,usa,"Pokemon Puzzle Challenge (USA, Australia).zip",678718
741,Wario Land 3,16bb3fb83e8cbbf2c4c510b9f50cf4ee,"Wario Land 3 (World) (En,Ja).gbc",nointro,,world,"Wario Land 3 (World) (En,Ja).zip",641019
4129,Frogger,7f1830171eec29ac72ae976d4dfdfc65,Frogger (USA) (Rev 2) (GB Compatible).gbc,nointro,,usa,Frogger (USA) (Rev B).zip,30432
1403,Mario Golf,83f791645ce282093a9d59c121ffc49d,Mario Golf (USA).gbc,nointro,,usa,Mario Golf (USA).zip,1090841
5043,Mario Tennis,50af67f7321d84bd052f0e793ee0613c,Mario Tennis (USA).gbc,nointro,,usa,Mario Tennis (USA).zip,794778
697,Dragon Quest III,b74b6132326bafcd75e415ddcd9a2932,Dragon Warrior III (USA).gbc,nointro,,usa,Dragon Warrior III (USA).zip,2006425
8569,Mr. Driller,76fa4014bfbb0ee2b63267af7ac373f2,Mr. Driller (USA).gbc,nointro,,usa,Mr. Driller (USA).zip,172801
7107,Bomberman Max: Blue Champion,c987f711dfb9cba8dc1174219877360f,Bomberman Max - Blue Champion (USA).gbc,nointro,,usa,Bomberman Max - Blue Champion (USA).zip,429123
16597,~Prototype~ Pokémon Picross,35d2e7924408a3460e5c1a770acf3a8a,Pokemon Picross (Japan) (Proto).gbc,nointro,,japan,Pokemon Picross (Japan) (Proto).zip,477224
2501,Astérix & Obélix,6efc4c27d06564f9000667c029ad02a3,"Asterix & Obelix (Europe) (En,Fr,De,Es).gbc",nointro,,europe,"Asterix & Obelix (Europe) (En,Fr,De,Es).zip",297711
3608,Dragon Quest Monsters,1ca6579359f21d8e27b446f865bf6b83,"Dragon Warrior Monsters (USA, Europe) (SGB Enhanced) (GB Compatible).gbc",nointro,,usa,"Dragon Warrior Monsters (USA, Europe) (SGB Enhanced) (GB Compatible).zip",789515
5185,10-Pin Bowling,6b055c6d12e477fbfd7bed1b495d56f7,10-Pin Bowling (USA) (Rumble Version).gbc,nointro,,usa,10-Pin Bowling (USA).zip,60610
3607,Street Fighter Alpha: Warriors' Dreams,db1aeaa7135bd5707dbbccc427808cd7,Street Fighter Alpha - Warriors' Dreams (USA).gbc,nointro,,usa,Street Fighter Alpha - Warriors' Dreams (USA).zip,534087
