rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released,description,icon,boxArt,titleScreen,screenshot,rating
1,11750,Metal Slug: Super Vehicle-001,Arcade,27,13017,13017,13017,32,0,Run & Gun,Nazca,SNK,1996-04-01,"Metal Slug is a 1996 run and gun video game developed by Nazca Corporation and originally released by SNK for the Neo Geo MVS arcade system. Set in 2028, the game follows Peregrine Falcon Strike Force soldiers Marco Rossi and Tarma Roving as they seek to overthrow a coup d'état by the Rebel Army, led by Donald Morden.",https://media.retroachievements.org/Images/049652.png,https://media.retroachievements.org/Images/016022.png,https://media.retroachievements.org/Images/016020.png,https://media.retroachievements.org/Images/016021.png,5
2,11763,Cadillacs and Dinosaurs,Arcade,27,8353,8353,8353,44,0,,Capcom,Capcom,1993-04-01,"Cadillacs and Dinosaurs, released in Japan as Cadillacs Kyouryuu Shinseiki , is a 1993 side-scrolling beat 'em up arcade game by Capcom, based on the comic book series Xenozoic Tales. The game was produced as a tie-in to the short-lived Cadillacs and Dinosaurs animated series which was aired during the same year the game was released. A version for the Capcom Power System Changer was planned and previewed but never released.",https://media.retroachievements.org/Images/101998.png,https://media.retroachievements.org/Images/016000.png,https://media.retroachievements.org/Images/016008.png,https://media.retroachievements.org/Images/016006.png,4.9
3,11795,Street Fighter III: 3rd Strike - Fight for the Future,Arcade,27,6307,6307,6307,46,0,2D Fighting,Capcom,Capcom,1999-05-01,"Street Fighter III: 3rd Strike - Fight for the Future is a 1999 fighting game developed and published by Capcom for arcades. It is the second and final updated version of Street Fighter III, following Street Fighter III: 2nd Impact. Like its predecessors, it runs on the CP System III hardware.",https://media.retroachievements.org/Images/065554.png,https://media.retroachievements.org/Images/016038.png,https://media.retroachievements.org/Images/016036.png,https://media.retroachievements.org/Images/016037.png,4.8
4,11770,Metal Slug X: Super Vehicle-001,Arcade,27,6129,6129,6129,37,0,Run & Gun,SNK,SNK,1999-03-01,"Metal Slug 2 is a run and gun arcade game developed by SNK. It was originally released in 1998 for the Neo-Geo MVS arcade platform as the sequel to the 1996 game Metal Slug. The original version of the game had extensive slowdown and performance issues, eventually leading SNK to release a modified version in 1999, titled Metal Slug X: Super Vehicle-001 (メタルスラッグX). It has been ported to the Neo Geo CD, PlayStation, Virtual Console, iOS and Android, and to the Wii, PlayStation Portable and PlayStation 2. The game added several new features to the gameplay of the original Metal Slug, such as new weapons, vehicles and the ability to transform the character. It received generally positive reviews and was followed by Metal Slug 3, released in 2000.",https://media.retroachievements.org/Images/049658.png,https://media.retroachievements.org/Images/015990.png,https://media.retroachievements.org/Images/015937.png,https://media.retroachievements.org/Images/015938.png,4.8
5,11727,Final Fight,Arcade,27,5945,5945,5945,49,0,Beat 'em Up,Capcom,Capcom,1989-12-01,"Final Fight is a series of beat 'em up video games by Japanese publisher Capcom, which began with the arcade release of Final Fight in 1989. Set in the fictional Metro City, within the Street Fighter universe, the games focus on a group of heroic vigilantes who fight against the control and various threats of criminal gangs, primarily the Mad Gear Gang. The series has sold 3.2 million units worldwide as of June 30, 2023.",https://media.retroachievements.org/Images/106799.png,https://media.retroachievements.org/Images/016661.png,https://media.retroachievements.org/Images/016659.png,https://media.retroachievements.org/Images/062589.png,4.8
6,11825,Metal Slug 2: Super Vehicle-001/II,Arcade,27,5786,5786,5786,36,0,Run & Gun,SNK,SNK,1998-02-01,"Metal Slug 2 is a run and gun arcade game developed by SNK. It was originally released in 1998 for the Neo-Geo MVS arcade platform as the sequel to the 1996 game Metal Slug. The original version of the game had extensive slowdown and performance issues, eventually leading SNK to release a modified version in 1999, titled Metal Slug X: Super Vehicle-001 (メタルスラッグX). It has been ported to the Neo Geo CD, PlayStation, Virtual Console, iOS and Android, and to the Wii, PlayStation Portable and PlayStation 2. The game added several new features to the gameplay of the original Metal Slug, such as new weapons, vehicles and the ability to transform the character. It received generally positive reviews and was followed by Metal Slug 3, released in 2000.",https://media.retroachievements.org/Images/086571.png,https://media.retroachievements.org/Images/016064.png,https://media.retroachievements.org/Images/016062.png,https://media.retroachievements.org/Images/016063.png,4.7
7,11726,Captain Commando,Arcade,27,4501,4501,4501,54,0,Beat 'em Up,Capcom,Capcom,1991-11-01,"Captain Commando is a 1991 beat 'em up game developed and published by Capcom for arcades. It was the seventeenth game produced for the company's CP System hardware. The game stars the titular superhero, who was originally conceived as a fictional spokesman used by Capcom USA in the company's console games during the late 1980s. The game was included in Capcom Beat 'Em Up Bundle compilation title, which was released digitally for Nintendo Switch, PlayStation 4, Xbox One, and Windows in September 2018.",https://media.retroachievements.org/Images/028296.png,https://media.retroachievements.org/Images/028254.png,https://media.retroachievements.org/Images/028256.png,https://media.retroachievements.org/Images/028257.png,4.7
8,11787,The Punisher,Arcade,27,4387,4387,4387,50,0,Beat 'em Up,Capcom,Capcom,1993-01-01,The Punisher is an antihero appearing in American comic books published by Marvel Comics. The character was created by writer Gerry Conway and artists John Romita Sr. and Ross Andru.,https://media.retroachievements.org/Images/016671.png,https://media.retroachievements.org/Images/016637.png,https://media.retroachievements.org/Images/016669.png,https://media.retroachievements.org/Images/016670.png,4.7
9,11820,Alien vs. Predator,Arcade,27,4130,4130,4130,48,0,,Capcom,Capcom,1994-05-20,"Alien vs. Predator is a science fiction action horror media franchise created by comic book writers Randy Stradley and Chris Warner. The series is a crossover between, and part of, the larger Alien and Predator franchises, depicting the two species — Xenomorph (Alien) and Yautja (Predator) — as being in conflict with one another.",https://media.retroachievements.org/Images/018851.png,https://media.retroachievements.org/Images/018884.png,https://media.retroachievements.org/Images/018883.png,https://media.retroachievements.org/Images/018882.png,4.6
10,11943,Donkey Kong,Arcade,27,4063,4063,4063,18,0,"2D Platforming, Arcade",,Nintendo,1981-07-09,"Donkey Kong is a video game series and media franchise created by the Japanese game designer Shigeru Miyamoto for Nintendo. It follows the adventures of Donkey Kong, a large, powerful gorilla, and other members of the Kong family of apes. Donkey Kong games include the original arcade game trilogy by Nintendo R&D1; the Donkey Kong Country series by Rare and Retro Studios; and the Mario vs. Donkey Kong series by Nintendo Software Technology. Various studios have developed spin-offs in genres such as edutainment, puzzle, racing, and rhythm. The franchise also incorporates animation, printed media, theme parks, and merchandise.",https://media.retroachievements.org/Images/122436.png,https://media.retroachievements.org/Images/036163.png,https://media.retroachievements.org/Images/036164.png,https://media.retroachievements.org/Images/036165.png,4.6
11,11771,Metal Slug 3,Arcade,27,3763,3763,3763,71,0,Run & Gun,SNK,SNK,2000-05-01,Metal Slug 3 is a run and gun video game developed by SNK. It was originally released in 2000 for the Neo-Geo MVS arcade platform as the sequel to Metal Slug 2/Metal Slug X. The music of the game was developed by Noise Factory.,https://media.retroachievements.org/Images/049654.png,https://media.retroachievements.org/Images/021974.png,https://media.retroachievements.org/Images/016013.png,https://media.retroachievements.org/Images/016012.png,4.6
