rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
1,11750,"Metal Slug: Super Vehicle-001","Arcade",27,13017,13017,13017,32,0,"Run & Gun","Nazca","SNK","1996-04-01"
2,11763,"Cadillacs and Dinosaurs","Arcade",27,8353,8353,8353,44,0,"","Capcom","Capcom","1993-04-01"
3,11795,"Street Fighter III: 3rd Strike - Fight for the Future","Arcade",27,6307,6307,6307,46,0,"2D Fighting","Capcom","Capcom","1999-05-01"
4,11770,"Metal Slug X: Super Vehicle-001","Arcade",27,6129,6129,6129,37,0,"Run & Gun","SNK","SNK","1999-03-01"
5,11727,"Final Fight","Arcade",27,5945,5945,5945,49,0,"Beat 'em Up","Capcom","Capcom","1989-12-01"
6,11825,"Metal Slug 2: Super Vehicle-001/II","Arcade",27,5786,5786,5786,36,0,"Run & Gun","SNK","SNK","1998-02-01"
7,11726,"Captain Commando","Arcade",27,4501,4501,4501,54,0,"Beat 'em Up","Capcom","Capcom","1991-11-01"
8,11787,"The Punisher","Arcade",27,4387,4387,4387,50,0,"Beat 'em Up","Capcom","Capcom","1993-01-01"
9,11820,"Alien vs. Predator","Arcade",27,4130,4130,4130,48,0,"","Capcom","Capcom","1994-05-20"
10,11943,"Donkey Kong","Arcade",27,4063,4063,4063,18,0,"2D Platforming, Arcade","","Nintendo","1981-07-09"
11,11771,"Metal Slug 3","Arcade",27,3763,3763,3763,71,0,"Run & Gun","SNK","SNK","2000-05-01"
12,11757,"The King of Fighters '98: The Slugfest","Arcade",27,3633,3633,3633,97,0,"2D Fighting","SNK","SNK","1998-07-01"
13,12026,"Metal Slug 4","Arcade",27,3578,3578,3578,65,0,"Run & Gun","Mega Enterprise","SNK","2002-03-01"
14,12192,"Pac-Man","Arcade",27,3413,3413,3413,21,0,"Maze Chase","Namco","Namco, Midway","1980-05-22"
15,11975,"Altered Beast","Arcade",27,3312,3312,3312,25,0,"","Sega","Sega","1988-08-01"
16,11903,"Ghouls 'n Ghosts","Arcade",27,3194,3194,3194,55,0,"","Capcom","Capcom","1988-12-01"
17,14976,"Mortal Kombat","Arcade",27,3026,3026,3026,35,0,"2D Fighting","Midway","Midway","1992-10-08"
