rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released,description,icon,boxArt,titleScreen,screenshot,rating
1,10003,Super Mario 64,Nintendo 64,2,48917,48917,48917,114,0,"3D Platforming, Collect-a-thon",,Nintendo,1996-06-23,"Super Mario 64 is a 1996 platform game developed and published by Nintendo for the Nintendo 64. It is the first Super Mario game to feature 3D gameplay, combining traditional Super Mario gameplay, visual style, and characters in a large open world. In the game, Bowser invades Princess Peach's castle, kidnaps her, and hides the castle's sources of protection, the Power Stars, in many different worlds inside magical paintings. As Mario, the player traverses levels and collects Power Stars to unlock areas of Princess Peach's castle, to reach Bowser and rescue Princess Peach.",https://media.retroachievements.org/Images/112471.png,https://media.retroachievements.org/Images/048358.png,https://media.retroachievements.org/Images/048653.png,https://media.retroachievements.org/Images/048652.png,5
2,10082,Super Smash Bros.,Nintendo 64,2,19010,19010,19010,59,0,Platform Fighting,HAL Laboratory,Nintendo,1999-01-21,"Super Smash Bros. is a series of platform fighting video games published by Nintendo. Created by Masahiro Sakurai, the Super Smash Bros. series is a crossover featuring many characters from other video game series created by Nintendo and other developers. Its gameplay is distinct from traditional fighting games, with players aiming to knock each other off of stages after accumulating damage with numerous attacks. The games have also featured a variety of side modes, including single-player story modes.",https://media.retroachievements.org/Images/121474.png,https://media.retroachievements.org/Images/091209.png,https://media.retroachievements.org/Images/010637.png,https://media.retroachievements.org/Images/010638.png,4.8
3,10113,The Legend of Zelda: Ocarina of Time,Nintendo 64,2,11045,11045,11045,97,0,Action-Adventure,,Nintendo,1998-11-21,The Legend of Zelda: Ocarina of Time is a 1998 action-adventure game developed and published by Nintendo for the Nintendo 64. It was the first Legend of Zelda game with 3D graphics. It was released in Japan and North America in November 1998 and in PAL regions the following month.,https://media.retroachievements.org/Images/022051.png,https://media.retroachievements.org/Images/048366.png,https://media.retroachievements.org/Images/010929.png,https://media.retroachievements.org/Images/010930.png,4.7
4,10210,Banjo-Kazooie,Nintendo 64,2,9477,9477,9477,60,0,"3D Platforming, Collect-a-thon",Rare,Nintendo,1998-06-29,"Banjo-Kazooie is a platform game series developed by the British studio Rare. The games focus on the two title characters―Banjo, a male brown bear; and Kazooie, a large female breegull who is typically seen riding in Banjo's backpack―both of whom are controlled by the player. The games generally involve the pair in conflict with the evil witch Gruntilda Winkybunion. The eponymous first game in the series was released in 1998 to critical acclaim and was followed by Banjo-Tooie (2000), Banjo-Kazooie: Nuts & Bolts (2008), Banjo-Kazooie: Grunty's Revenge (2003), and Banjo-Pilot (2005), a spinoff kart racing game.",https://media.retroachievements.org/Images/091553.png,https://media.retroachievements.org/Images/065117.png,https://media.retroachievements.org/Images/011034.png,https://media.retroachievements.org/Images/011031.png,4.7
5,10679,The Legend of Zelda: Majora's Mask,Nintendo 64,2,9144,9144,9144,96,0,Action-Adventure,Nintendo,Nintendo,2000-10-26,"The Legend of Zelda: Majora's Mask is a 2000 action-adventure game developed and published by Nintendo for the Nintendo 64. It is the second game in The Legend of Zelda series to use 3D graphics, following Ocarina of Time (1998). Designed by a creative team led by Eiji Aonuma, Yoshiaki Koizumi, and Shigeru Miyamoto, Majora's Mask was completed in less than two years. It features enhanced graphics and several gameplay changes, but reuses elements and character models from Ocarina of Time, a creative decision made necessary by time constraints.",https://media.retroachievements.org/Images/045842.png,https://media.retroachievements.org/Images/048359.png,https://media.retroachievements.org/Images/015426.png,https://media.retroachievements.org/Images/015427.png,4.7
6,10075,Donkey Kong 64,Nintendo 64,2,8934,8934,8934,128,0,"3D Platforming, Collect-a-thon",Rare,Nintendo,1999-11-24,"Donkey Kong 64 is a 1999 platform game developed by Rare and published by Nintendo for the Nintendo 64. It is the first Donkey Kong game to feature 3D gameplay. As the gorilla Donkey Kong, the player explores themed levels to collect items and rescue his kidnapped family members from King K. Rool. The player completes minigames and puzzles as five playable Kong characters—each with their own special abilities—to receive bananas and other collectibles. In multiplayer modes, up to four players can compete in deathmatch and last man standing games.",https://media.retroachievements.org/Images/110715.png,https://media.retroachievements.org/Images/070527.png,https://media.retroachievements.org/Images/024244.png,https://media.retroachievements.org/Images/024245.png,4.7
7,10246,Kirby 64: The Crystal Shards,Nintendo 64,2,7951,7951,7951,38,0,2.5D Platforming,HAL Laboratory,Nintendo,2000-03-24,"Kirby 64: The Crystal Shards is a 2000 platform game developed by HAL Laboratory and published by Nintendo for the Nintendo 64 (N64). It is the first Kirby game to feature 3D computer graphics and follows Kirby as he attempts to reassemble a sacred crystal shattered by Dark Matter. Gameplay is viewed from a 2.5D perspective and is similar to previous Kirby titles; the player traverses levels and obtains powers by eating enemies. Kirby 64 introduces Power Combos, the ability to mix powers to create more powerful ones. In a multiplayer mode, up to four players can compete in three minigames.",https://media.retroachievements.org/Images/073571.png,https://media.retroachievements.org/Images/048365.png,https://media.retroachievements.org/Images/011126.png,https://media.retroachievements.org/Images/011127.png,4.7
8,10202,Diddy Kong Racing,Nintendo 64,2,7471,7471,7471,94,0,"Collect-a-thon, Kart Racing",Rare,Nintendo,1997-11-24,"Diddy Kong Racing is a 1997 kart racing game developed and published by Rare for the Nintendo 64. The game revolves around Diddy Kong and his friends' attempt to defeat the intergalactic antagonist, a wizard pig named Wizpig, through winning a series of races. The player takes control of any of the featured characters throughout the game. Diddy Kong Racing features five worlds with four racetracks each, and the ability to drive a car, hovercraft, or pilot an aeroplane.",https://media.retroachievements.org/Images/040625.png,https://media.retroachievements.org/Images/040626.png,https://media.retroachievements.org/Images/011105.png,https://media.retroachievements.org/Images/011106.png,4.7
9,10073,GoldenEye 007,Nintendo 64,2,7292,7292,7292,141,0,First-Person Shooter,Rare,Nintendo,1997-08-25,"GoldenEye 007 is a 1997 first-person shooter game developed by Rare and published by Nintendo for the Nintendo 64. It is based on the 1995 James Bond film GoldenEye, with the player controlling the secret agent James Bond to prevent a criminal syndicate from using a satellite weapon. They navigate a series of levels to complete objectives, such as recovering or destroying objects, while shooting enemies. In a multiplayer mode, up to four players compete in several deathmatch scenarios via split-screen.",https://media.retroachievements.org/Images/022585.png,https://media.retroachievements.org/Images/066357.png,https://media.retroachievements.org/Images/011101.png,https://media.retroachievements.org/Images/011103.png,4.7
10,10248,Star Fox 64,Nintendo 64,2,5351,5351,5351,50,0,Rail Shooter,,Nintendo,1997-07-01,"Star Fox 64, known as Lylat Wars in the PAL regions, is a 1997 rail shooter game developed and published by Nintendo for the Nintendo 64. It is the second installment in the Star Fox series and a reboot of the original Star Fox for the Super Nintendo Entertainment System.",https://media.retroachievements.org/Images/093951.png,https://media.retroachievements.org/Images/048362.png,https://media.retroachievements.org/Images/014375.png,https://media.retroachievements.org/Images/014379.png,4.6
