gameId,gameTitle,md5,romName,labels,patchUrl,region,romFile,romSize
10003,Super Mario 64,20b854b239203baf6c961b850a4a51a2,Super Mario 64 (USA).z64,nointro,,usa,Super Mario 64 (USA).zip,6236285
10082,Super Smash Bros.,F7C52568A31AADF26E14DC2B6416B2ED,Super Smash Bros. (USA).z64,nointro,,usa,Super Smash Bros. (USA).zip,12528904
10113,The Legend of Zelda: Ocarina of Time,5BD1FE107BF8106B2AB6650ABECD54D6,"Legend of Zelda, The - Ocarina of Time (USA).z64",nointro,,usa,"Legend of Zelda, The - Ocarina of Time (USA).zip",26564897
10210,Banjo-Kazooie,B29599651A13F681C9923D69354BF4A3,Banjo-Kazooie (USA).z64,nointro,,usa,Banjo-Kazooie (USA).zip,16308115
10679,The Legend of Zelda: Majora's Mask,2A0A8ACB61538235BC1094D297FB6556,"Legend of Zelda, The - Majora's Mask (USA).z64",nointro,,usa,"Legend of Zelda, The - Majora's Mask (USA).zip",27522119
10075,Donkey Kong 64,9ec41abf2519fc386cadd0731f6e868c,Donkey Kong 64 (USA).z64,nointro,,usa,Donkey Kong 64 (USA).zip,27715023
10246,Kirby 64: The Crystal Shards,D33E4254336383A17FF4728360562ADA,Kirby 64 - The Crystal Shards (USA).z64,nointro,,usa,Kirby 64 - The Crystal Shards (USA).zip,12214027
10202,Diddy Kong Racing,4F0E07F0EEAC7E5D7CE3A75461888D03,"Diddy Kong Racing (USA) (En,Fr).z64",nointro,,usa,"Diddy Kong Racing (USA) (En,Fr).zip",9941186
10073,GoldenEye 007,70C525880240C1E838B8B1BE35666C3B,GoldenEye 007 (USA).z64,nointro,,usa,GoldenEye 007 (USA).zip,10773748
10248,Star Fox 64,caf9a78db13ee00002ff63a3c0c5eabb,Star Fox 64 (USA).z64,nointro,,usa,Star Fox 64 (USA).zip,10608784
10173,Yoshi's Story,586A092E22604840973B82DFACEAC77A,"Yoshi's Story (USA) (En,Ja).z64",nointro,,usa,"Yoshi's Story (USA) (En,Ja).zip",9606291
10263,Mario Party,8BC2712139FBF0C56C8EA835802C52DC,Mario Party (USA).z64,nointro,,usa,Mario Party (USA).zip,21533197
10617,Wave Race 64,2048a640c12d1cf2052ba1629937d2ff,Wave Race 64 - Kawasaki Jet Ski (USA) (Rev 1).z64,nointro,,usa,Wave Race 64 - Kawasaki Jet Ski (USA) (Rev 1).zip,6155852
10667,Castlevania,06B58673F7D31C56F8FE8186E86F6BD6,Castlevania (USA) (Rev 2).z64,nointro,,usa,Castlevania (USA) (Rev 2).zip,9784882
10133,F-Zero X,753437D0D8ADA1D12F3F9CF0F0A5171F,F-Zero X (USA).z64,nointro,,usa,F-Zero X (USA).zip,12953815
10211,Banjo-Tooie,40E98FAA24AC3EBE1D25CB5E5DDF49E4,Banjo-Tooie (USA).z64,nointro,,usa,Banjo-Tooie (USA).zip,32775626
10181,Pokémon Stadium,ED1378BC12115F71209A77844965BA50,Pokemon Stadium (USA).z64,nointro,,usa,Pokemon Stadium (USA).zip,27664145
10270,Pokémon Puzzle League,E722576A15182CFED6782379CE4BC8BE,Pokemon Puzzle League (USA).z64,nointro,,usa,Pokemon Puzzle League (USA).zip,22610884
10648,Star Wars: Rogue Squadron,2E458D7CC355D7918493B0E0362C9A20,Star Wars - Rogue Squadron (USA) (Rev 1).z64,nointro,,usa,Star Wars - Rogue Squadron (USA) (Rev 1).zip,14430639
10259,Mario Golf,903E6929666531D72D05D1E4C522E305,Mario Golf (USA).z64,nointro,,usa,Mario Golf (USA).zip,17314913
10110,Perfect Dark,7F4171B0C8D17815BE37913F535E4E93,Perfect Dark (USA).z64,nointro,,usa,,
10264,Mario Party 2,04840612A35ECE222AFDB2DFBF926409,Mario Party 2 (USA).z64,nointro,,usa,Mario Party 2 (USA).zip,24939478
10162,Blast Corps,5875FC73069077C93E214233B60F0BDC,Blast Corps (USA) (Rev 1).z64,nointro,,usa,Blast Corps (USA) (Rev 1).zip,7227718
10108,Mario Party 3,76A8BBC81BC2060EC99C9645867237CC,Mario Party 3 (USA).z64,nointro,,usa,Mario Party 3 (USA).zip,25479420
10153,Star Wars: Shadows of the Empire,C7B40352AAD8D863D88D51672F9A0087,Star Wars - Shadows of the Empire (USA) (Rev 2).z64,nointro,,usa,Star Wars - Shadows of the Empire (USA) (Rev 2).zip,11819032
12984,The New Tetris,7a28179b00734c9aa0f0609fafaafd5f,"New Tetris, The (USA).z64",nointro,,usa,"New Tetris, The (USA).zip",10187499
10238,Road Rash 64,28C2373F6D831EEC81F6146A809E701B,Road Rash 64 (USA).z64,nointro,,usa,Road_Rash_64.zip,19044212
10258,Pokémon Stadium 2,1561C75D11CEDF356A8DDB1A4A5F9D5D,Pokemon Stadium 2 (USA).z64,nointro,,usa,Pokemon Stadium 2 (USA).zip,48975651
10077,Resident Evil 2,1add2c0217662b307cdfd876b35fbf7a,Resident Evil 2 (USA) (Rev 1).z64,nointro,,usa,Resident_Evil_2_(Biohazard_2).zip,65160025
10085,Cruis'n USA,00A3E885F8D899646228A21D946B2102,Cruis'n USA (USA).z64,nointro,,usa,Cruis'n USA (USA).zip,4582207
10116,Mortal Kombat 4,C70B91430866300CE38B49098019EF9D,Mortal Kombat 4 (USA).z64,nointro,,usa,Mortal_Kombat_4.zip,13674259
10148,Army Men: Sarge's Heroes,B8085C2EDB1C6D23E52ED8C06D92B4F8,Army Men - Sarge's Heroes (USA).z64,nointro,,usa,,
10256,Mickey's Speedway USA,0BF64427CF68E49C70E9EC2C9D815209,Mickey's Speedway USA (USA).z64,nointro,,usa,,
10309,Glover,87aa5740dff79291ee97832da1f86205,Glover (USA).z64,nointro,,usa,Glover (USA).zip,5837142
10120,Bomberman 64,093058ECE14C8CC1A887B2087EB5CFE9,Bomberman 64 (USA).z64,nointro,,usa,Bomberman 64 (USA).zip,5338172
10328,South Park,1730119B0455EF89C4E495DEC8E950A5,South Park (USA).z64,nointro,,usa,South_Park.zip,14062615
10157,Harvest Moon 64,6DA848A70D83ECE130D274124760928E,Harvest Moon 64 (USA).z64,nointro,,usa,Harvest Moon 64 (USA).zip,6561688
10093,Hexen,EB98F1B8C6898AF7417F6882946DA9B3,Hexen (USA).z64,nointro,,usa,Hexen.zip,7834582
16231,Donald Duck: Goin' Quackers,56bcdfc8f0b41bf60e6a54bc60144251,"Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It).z64",nointro,,usa,,
10080,Doom 64,B67748B64A2CC7EFD2F3AD4504561E0E,Doom 64 (USA).z64,nointro,,usa,Doom 64 (USA).zip,7306335
10166,Cruis'n World,aada4cbd938e58a447b399a1d46f03e6,Cruis'n World (USA).z64,nointro,,usa,,
10081,Mystical Ninja Starring Goemon,643CCE1AB06F97E9590241D27E5C2363,Mystical Ninja Starring Goemon (USA).z64,nointro,,usa,Mystical Ninja Starring Goemon (USA).zip,13318408
30,Jet Force Gemini,772CC6EAB2620D2D3CDC17BBC26C4F68,Jet Force Gemini (USA).z64,nointro,,usa,Jet Force Gemini (USA).zip,29786319
10912,Hot Wheels: Turbo Racing,4311A1AEF1898678331F7E3486055307,Hot Wheels - Turbo Racing (USA).z64,nointro,,usa,,
10331,WWF No Mercy,66b8ec24557a50514a814f15429bd559,WWF No Mercy (USA) (Rev 1).z64,nointro,,usa,WWF No Mercy (USA) (Rev 1).zip,25911528
10135,007: The World Is Not Enough,9d58996a8aa91263b5cd45c385f45fe4,007 - The World Is Not Enough (USA).z64,nointro,,usa,007 - The World Is Not Enough (USA).zip,26574277
10329,Rampage 2: Universal Tour,8113D0EA2008402D4631F241F625D16B,Rampage 2 - Universal Tour (USA).z64,nointro,,usa,Rampage_2_–_Universal_Tour.zip,10954559
10871,Magical Tetris Challenge,79FCC98002D1F4C79DEAF55784222DF8,Magical Tetris Challenge (USA).z64,nointro,,usa,Magical Tetris Challenge (USA).zip,11432575
10199,Snowboard Kids,EB31F4F9C1FE26A3A663F74E9790516E,Snowboard Kids (USA).z64,nointro,,usa,Snowboard Kids (USA).zip,4795442
10448,WCW/nWo Revenge,C1384F3637D7A381B29341FED3EF3CEB,WCW-nWo Revenge (USA).z64,nointro,,usa,WCW-nWo_Revenge.zip,12072504
10298,Tarzan,EAE7E0EE5328ED9F13B9CF9990189928,Tarzan (USA).z64,nointro,,usa,Tarzan.zip,14755850
10115,Mega Man 64,3620674ACB51E436D5150738AC1C0969,Mega Man 64 (USA).z64,nointro,,usa,Mega Man 64 (USA).zip,28139096
10118,Toy Story 2: Buzz Lightyear to the Rescue!,B44E9C2D9D2F2DE3AF4793B824CCF936,Toy Story 2 - Buzz Lightyear to the Rescue! (USA).z64,nointro,,usa,,
10285,Bomberman Hero,EF2453BFF7AD0C4BFA9AB0BD6324EBF3,Bomberman Hero (USA).z64,nointro,,usa,Bomberman_Hero.zip,9792140
10182,Turok: Dinosaur Hunter,AE5107EFDD3C210E1EDD4ACD9B3CAC31,Turok - Dinosaur Hunter (USA).z64,nointro,,usa,,
10337,Spider-Man,7F1991B8861E7E532EC21ECF2AF82191,Spider-Man (USA).z64,nointro,,usa,Spider-Man (USA).zip,28795082
10136,1080° Snowboarding,FA27089C425DBAB99F19245C5C997613,"1080 Snowboarding (Japan, USA) (En,Ja).z64",nointro,,usa,"1080 Snowboarding (Japan, USA) (En,Ja).zip",11827167
10129,Fighting Force 64,E7008D17FD71D9C2BDA1362C885388B2,Fighting Force 64 (USA).z64,nointro,,usa,Fighting_Force_64.zip,10268053
10124,Tony Hawk's Pro Skater,aff424a1883dc7bb92c7b2ebe9342f85,Tony Hawk's Pro Skater (USA) (Rev 1).z64,nointro,,usa,Tony_Hawk’s_Pro_Skater.zip,12047738
10269,Rayman 2: The Great Escape,5dbbfd5ace8222fa8fe51be113453c13,"Rayman 2 - The Great Escape (Europe) (En,Fr,De,Es,It).z64",nointro,,europe,,
10347,Quake 64,097605021951024C3ECB2D502C0C2A9F,Quake (USA).z64,nointro,,usa,,
10216,Quest 64,EA552E33973468233A0712C251ABDB6B,Quest 64 (USA).z64,nointro,,usa,Quest 64 (USA).zip,6999927
10168,LEGO Racers,26B5EAA13DC5B5E35307FE8C0CF5B6BA,"LEGO Racers (USA) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi).z64",nointro,,usa,LEGO_Racers.zip,10487976
10685,Sesame Street: Elmo's Letter Adventure,15df97a59b2354b130dec3fb86bba513,Sesame Street - Elmo's Letter Adventure (USA).z64,nointro,,usa,,
