rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
1,10003,"Super Mario 64","Nintendo 64",2,48917,48917,48917,114,0,"3D Platforming, Collect-a-thon","","Nintendo","1996-06-23"
2,10082,"Super Smash Bros.","Nintendo 64",2,19010,19010,19010,59,0,"Platform Fighting","HAL Laboratory","Nintendo","1999-01-21"
3,10113,"The Legend of Zelda: Ocarina of Time","Nintendo 64",2,11045,11045,11045,97,0,"Action-Adventure","","Nintendo","1998-11-21"
4,10210,"Banjo-Kazooie","Nintendo 64",2,9477,9477,9477,60,0,"3D Platforming, Collect-a-thon","Rare","Nintendo","1998-06-29"
5,10679,"The Legend of Zelda: Majora's Mask","Nintendo 64",2,9144,9144,9144,96,0,"Action-Adventure","Nintendo","Nintendo","2000-10-26"
6,10075,"Donkey Kong 64","Nintendo 64",2,8934,8934,8934,128,0,"3D Platforming, Collect-a-thon","Rare","Nintendo","1999-11-24"
7,10246,"Kirby 64: The Crystal Shards","Nintendo 64",2,7951,7951,7951,38,0,"2.5D Platforming","HAL Laboratory","Nintendo","2000-03-24"
8,10202,"Diddy Kong Racing","Nintendo 64",2,7471,7471,7471,94,0,"Collect-a-thon, Kart Racing","Rare","Nintendo","1997-11-24"
9,10073,"GoldenEye 007","Nintendo 64",2,7292,7292,7292,141,0,"First-Person Shooter","Rare","Nintendo","1997-08-25"
10,10248,"Star Fox 64","Nintendo 64",2,5351,5351,5351,50,0,"Rail Shooter","","Nintendo","1997-07-01"
11,10173,"Yoshi's Story","Nintendo 64",2,4703,4703,4703,93,0,"2D Platforming, Collect-a-thon","Nintendo","Nintendo","1998-03-01"
12,10263,"Mario Party","Nintendo 64",2,3481,3481,3481,56,0,"Board Game, Party","Hudson Soft","Nintendo","1998-12-18"
13,10617,"Wave Race 64","Nintendo 64",2,3228,3228,3228,73,0,"Racing","","Nintendo","1996-09-27"
14,10667,"Castlevania","Nintendo 64",2,3024,3024,3024,52,0,"Action-Adventure, 3D Platforming","Konami","Konami","1999-01-26"
15,10133,"F-Zero X","Nintendo 64",2,2892,2892,2892,74,0,"Arcade Racing","","Nintendo","1998-07-14"
16,10211,"Banjo-Tooie","Nintendo 64",2,2874,2874,2874,110,0,"3D Platforming, Collect-a-thon","Rare","Nintendo","2000-11-20"
17,10181,"Pokémon Stadium","Nintendo 64",2,2700,2700,2700,72,0,"Turn-Based Strategy","HAL Laboratory","Nintendo","1999-04-30"
18,10270,"Pokémon Puzzle League","Nintendo 64",2,2677,2677,2677,52,0,"","","Nintendo","2000-09-25"
19,10648,"Star Wars: Rogue Squadron","Nintendo 64",2,2516,2516,2516,49,0,"Action, Shooter","Factor 5, LucasArts | Lucasfilm","LucasArts | Lucasfilm","1998-12-07"
20,10259,"Mario Golf","Nintendo 64",2,2026,2026,2026,115,0,"Sports - Golf","Camelot Software Planning","Nintendo","1999-06-30"
21,10110,"Perfect Dark","Nintendo 64",2,1996,1996,1996,130,0,"First-Person Shooter, Stealth","Rare","Rare","2000-05-22"
22,10264,"Mario Party 2","Nintendo 64",2,1967,1967,1967,45,0,"Board Game, Party","Hudson Soft","Nintendo","1999-12-17"
23,10162,"Blast Corps","Nintendo 64",2,1957,1957,1957,24,0,"Action, Puzzle","Rare","Nintendo","1997-02-28"
24,17500,"~Hack~ B3313","Nintendo 64",2,1880,1880,1880,298,0,"3D Platforming, Collect-a-thon","chrisrlillo","Hack - Super Mario 64","2021-04-26"
25,15964,"~Hack~ Smash Remix","Nintendo 64",2,1775,1775,1775,201,0,"Platform Fighting","Smash Remix Team","Hack - Super Smash Bros.","2020-12-18"
26,10108,"Mario Party 3","Nintendo 64",2,1722,1722,1722,72,0,"Board Game, Party","Hudson Soft","Nintendo","2000-12-07"
27,10153,"Star Wars: Shadows of the Empire","Nintendo 64",2,1663,1663,1663,38,0,"Action","LucasArts | Lucasfilm","Nintendo, LucasArts | Lucasfilm","1996-12-03"
28,12984,"The New Tetris","Nintendo 64",2,1654,1654,1654,27,0,"Falling Block Puzzle","H2O Entertainment","Nintendo","1999-07-31"
29,10238,"Road Rash 64","Nintendo 64",2,1648,1648,1648,52,0,"Racing","Pacific Coast Power and Light","THQ","1999-01-01"
30,10258,"Pokémon Stadium 2","Nintendo 64",2,1617,1617,1617,109,0,"Turn-Based Strategy","HAL Laboratory","Nintendo","2000-12-14"
31,10077,"Resident Evil 2","Nintendo 64",2,1460,1460,1460,120,0,"Survival Horror","Capcom","Capcom","1999-11-16"
32,27577,"~Hack~ Shotgun Mario 64","Nintendo 64",2,1387,1387,1387,64,0,"3D Platforming","Dan_GPTV","Hack - Super Mario 64","2023-10-22"
33,10085,"Cruis'n USA","Nintendo 64",2,1361,1361,1361,43,0,"Arcade Racing","Williams","Nintendo","1996-10-31"
34,10116,"Mortal Kombat 4","Nintendo 64",2,1354,1354,1354,130,0,"3D Fighting","Eurocom","Midway","1998-06-23"
35,10148,"Army Men: Sarge's Heroes","Nintendo 64",2,1337,1337,1337,65,0,"Third-Person Shooter","The 3DO Company","The 3DO Company","1999-09-28"
36,10256,"Mickey's Speedway USA","Nintendo 64",2,1308,1308,1308,72,0,"Kart Racing","Rare","Nintendo","2000-11-13"
37,10309,"Glover","Nintendo 64",2,1287,1287,1287,49,0,"3D Platforming, Collect-a-thon","Blitz Games","Hasbro Interactive","1998-11-16"
