gameId,gameTitle,achievementId,title,description,points,trueRatio,type,author,badgeUrl,numAwarded,numAwardedHardcore,displayOrder,memAddr
7212,Pokémon HeartGold Version | Pokémon SoulSilver Version,124887,The Wind Wasn't with Him,Defeat Falkner for the Zephyr Badge.,5,5,progression,DanielARP,https://media.retroachievements.org/Badge/138728.png,8814,4048,1,I:0xW000ba8=0xH000000_I:0xW000020=0xH000000_0x 001244=135_I:d0xW000ba8=0xH000000_I:d0xW000020=0xH000000_d0x 001244=135_I:0xW000ba8=0xH000000_I:0xW000020=0xH000000_0xM00008e=1_I:d0xW000ba8=0xH000000_I:d0xW000020=0xH000000_d0xM00008e=0
7212,Pokémon HeartGold Version | Pokémon SoulSilver Version,119420,Strong Gusts from the East,Defeat Falkner in his gym without using super effective attacks or using Pokémon above Level 13. [Option: Set Mode],5,7,missable,SporyTike,https://media.retroachievements.org/Badge/138729.png,2583,2065,2,I:0xW00000ba8_I:0xW00000020_T:0xM0000008e=1_I:d0xW00000ba8_I:d0xW00000020_d0xM0000008e=0_I:0x 00000ba8_N:0x 00244eaa=10240.1._I:d0xW00000ba8_I:d0xW000bfd40_N:d0x 000003c6!=66_I:0xW00000ba8_I:0xW000bfd40_N:0x 000003c6=66_I:0x 00000ba8_0x 00244eaa=8449.1._I:0x 00000ba8_N:0x 00244eaa=8449_I:0xW00000ba8_I:0xW00000020_N:0xH00049240=2_I:0xW00000ba8_I:0xW00000020_N:0x 00049ed4=d0x 00049ed4_I:0xW00000ba8_I:0xW00000020_N:0xH00047138=0_I:0xW00000ba8_I:0xW00000020_R:0x 00049f20<d0x 00049f20_I:0xW00000ba8_I:0xW00000020_R:0xS00000070=0_I:0xW00000ba8_I:0xW00000020_R:0x 00001244!=d0x 00001244_I:0x 00000ba8_N:0x 00244eaa=8449.300._I:0x 00000ba8_N:0x 00244eaa=8449_I:0xW00000ba8_I:0xW00000020_N:0x 00049e14<=493_I:0xW00000ba8_I:0xW00000020_N:0xH00049e48<=100_I:0xW00000ba8_I:0xW00000020_R:0xH00049e48>13_I:0xW00000ba8_I:0xW00000020_R:0x 0000124c!=d0x 0000124c_I:0xW00000ba8_I:0xW00000020_R:0x 00001250!=d0x 00001250
7212,Pokémon HeartGold Version | Pokémon SoulSilver Version,124888,His Bugs Aren't That Tough,Defeat Bugsy for the Hive Badge.,5,5,progression,DanielARP,https://media.retroachievements.org/Badge/138730.png,6756,3144,3,I:0xW000ba8=0xH000000_I:0xW000020=0xH000000_0x 001244=180_I:d0xW000ba8=0xH000000_I:d0xW000020=0xH000000_d0x 001244=180_I:0xW000ba8=0xH000000_I:0xW000020=0xH000000_0xN00008e=1_I:d0xW000ba8=0xH000000_I:d0xW000020=0xH000000_d0xN00008e=0
7212,Pokémon HeartGold Version | Pokémon SoulSilver Version,119438,Breaking the Hive,Defeat Bugsy in his gym without using super effective attacks or using Pokémon above Level 17. [Option: Set Mode],5,8,missable,SporyTike,https://media.retroachievements.org/Badge/138731.png,1956,1626,4,I:0xW00000ba8_I:0xW00000020_T:0xN0000008e=1_I:d0xW00000ba8_I:d0xW00000020_d0xN0000008e=0_I:0x 00000ba8_N:0x 00244eaa=10240.1._I:d0xW00000ba8_I:d0xW000bfd40_N:d0x 000003c6!=67_I:0xW00000ba8_I:0xW000bfd40_N:0x 000003c6=67_I:0x 00000ba8_0x 00244eaa=8449.1._I:0x 00000ba8_N:0x 00244eaa=8449_I:0xW00000ba8_I:0xW00000020_N:0xH00049240=2_I:0xW00000ba8_I:0xW00000020_N:0x 00049ed4=d0x 00049ed4_I:0xW00000ba8_I:0xW00000020_N:0xH00047138=0_I:0xW00000ba8_I:0xW00000020_R:0x 00049f20<d0x 00049f20_I:0xW00000ba8_I:0xW00000020_R:0xS00000070=0_I:0xW00000ba8_I:0xW00000020_R:0x 00001244!=d0x 00001244_I:0x 00000ba8_N:0x 00244eaa=8449.300._I:0x 00000ba8_N:0x 00244eaa=8449_I:0xW00000ba8_I:0xW00000020_N:0x 00049e14<=493_I:0xW00000ba8_I:0xW00000020_N:0xH00049e48<=100_I:0xW00000ba8_I:0xW00000020_R:0xH00049e48>17_I:0xW00000ba8_I:0xW00000020_R:0x 0000124c!=d0x 0000124c_I:0xW00000ba8_I:0xW00000020_R:0x 00001250!=d0x 00001250
7212,Pokémon HeartGold Version | Pokémon SoulSilver Version,124889,"She Just Lost, You Hear?",Defeat Whitney for the Plain Badge.,5,6,progression,DanielARP,https://media.retroachievements.org/Badge/138732.png,5547,2608,5,I:0xW000ba8_I:0xW000020_0x 001244=137_I:0xW000ba8_I:0xW000020_d0x 001244=137_I:0xW000ba8_I:0xW000020_0xM001008=1_I:0xW000ba8_I:0xW000020_d0xM001008=0
7212,Pokémon HeartGold Version | Pokémon SoulSilver Version,120238,Rolled Too Far,Defeat Whitney in her gym without using super effective attacks or using Pokémon above Level 19. [Option: Set Mode],5,8,missable,SporyTike,https://media.retroachievements.org/Badge/138733.png,1821,1489,6,I:0xW00000ba8_I:0xW00000020_T:0xM00001008=1_I:d0xW00000ba8_I:d0xW00000020_d0xM00001008=0_I:0x 00000ba8_N:0x 00244eaa=10240.1._I:d0xW00000ba8_I:d0xW000bfd40_N:d0x 000003c6!=70_I:0xW00000ba8_I:0xW000bfd40_N:0x 000003c6=70_I:0x 00000ba8_0x 00244eaa=8449.1._I:0x 00000ba8_N:0x 00244eaa=8449_I:0xW00000ba8_I:0xW00000020_N:0xH00049240=2_I:0xW00000ba8_I:0xW00000020_N:0x 00049ed4=d0x 00049ed4_I:0xW00000ba8_I:0xW00000020_N:0xH00047138=0_I:0xW00000ba8_I:0xW00000020_R:0x 00049f20<d0x 00049f20_I:0xW00000ba8_I:0xW00000020_R:0xS00000070=0_I:0xW00000ba8_I:0xW00000020_R:0x 00001244!=d0x 00001244_I:0x 00000ba8_N:0x 00244eaa=8449.300._I:0x 00000ba8_N:0x 00244eaa=8449_I:0xW00000ba8_I:0xW00000020_N:0x 00049e14<=493_I:0xW00000ba8_I:0xW00000020_N:0xH00049e48<=100_I:0xW00000ba8_I:0xW00000020_R:0xH00049e48>19_I:0xW00000ba8_I:0xW00000020_R:0x 0000124c!=d0x 0000124c_I:0xW00000ba8_I:0xW00000020_R:0x 00001250!=d0x 00001250
7212,Pokémon HeartGold Version | Pokémon SoulSilver Version,124890,Does He Believe in Ghosts?,Defeat Morty for the Fog Badge.,5,7,progression,DanielARP,https://media.retroachievements.org/Badge/138734.png,4544,2137,7,I:0xW000ba8=0xH000000_I:0xW000020=0xH000000_0x 001244=80_I:d0xW000ba8=0xH000000_I:d0xW000020=0xH000000_d0x 001244=80_I:0xW000ba8=0xH000000_I:0xW000020=0xH000000_0xP00008e=1_I:d0xW000ba8=0xH000000_I:d0xW000020=0xH000000_d0xP00008e=0
7212,Pokémon HeartGold Version | Pokémon SoulSilver Version,120382,Cursed Forever,Defeat Morty in his gym without using super effective attacks or using Pokémon above Level 25. [Option: Set Mode],5,10,missable,SporyTike,https://media.retroachievements.org/Badge/138735.png,1497,1243,8,I:0xW00000ba8_I:0xW00000020_T:0xP0000008e=1_I:d0xW00000ba8_I:d0xW00000020_d0xP0000008e=0_I:0x 00000ba8_N:0x 00244eaa=10240.1._I:d0xW00000ba8_I:d0xW000bfd40_N:d0x 000003c6!=72_I:0xW00000ba8_I:0xW000bfd40_N:0x 000003c6=72_I:0x 00000ba8_0x 00244eaa=8449.1._I:0x 00000ba8_N:0x 00244eaa=8449_I:0xW00000ba8_I:0xW00000020_N:0xH00049240=2_I:0xW00000ba8_I:0xW00000020_N:0x 00049ed4=d0x 00049ed4_I:0xW00000ba8_I:0xW00000020_N:0xH00047138=0_I:0xW00000ba8_I:0xW00000020_R:0x 00049f20<d0x 00049f20_I:0xW00000ba8_I:0xW00000020_R:0xS00000070=0_I:0xW00000ba8_I:0xW00000020_R:0x 00001244!=d0x 00001244_I:0x 00000ba8_N:0x 00244eaa=8449.300._I:0x 00000ba8_N:0x 00244eaa=8449_I:0xW00000ba8_I:0xW00000020_N:0x 00049e14<=493_I:0xW00000ba8_I:0xW00000020_N:0xH00049e48<=100_I:0xW00000ba8_I:0xW00000020_R:0xH00049e48>25_I:0xW00000ba8_I:0xW00000020_R:0x 0000124c!=d0x 0000124c_I:0xW00000ba8_I:0xW00000020_R:0x 00001250!=d0x 00001250
7212,Pokémon HeartGold Version | Pokémon SoulSilver Version,124891,The Pounding Waterfall,Defeat Chuck for the Storm Badge.,5,7,progression,DanielARP,https://media.retroachievements.org/Badge/138736.png,3905,1882,9,I:0xW000ba8=0xH000000_I:0xW000020=0xH000000_0x 001244=139_I:d0xW000ba8=0xH000000_I:d0xW000020=0xH000000_d0x 001244=139_I:0xW000ba8=0xH000000_I:0xW000020=0xH000000_0xQ00008e=1_I:d0xW000ba8=0xH000000_I:d0xW000020=0xH000000_d0xQ00008e=0
7212,Pokémon HeartGold Version | Pokémon SoulSilver Version,120389,Getting an Uppercut,Defeat Chuck in his gym without using super effective attacks or using Pokémon above Level 31. [Option: Set Mode],5,10,missable,SporyTike,https://media.retroachievements.org/Badge/138737.png,1340,1113,10,I:0xW00000ba8_I:0xW00000020_T:0xQ0000008e=1_I:d0xW00000ba8_I:d0xW00000020_d0xQ0000008e=0_I:0x 00000ba8_N:0x 00244eaa=10240.1._I:d0xW00000ba8_I:d0xW000bfd40_N:d0x 000003c6!=75_I:0xW00000ba8_I:0xW000bfd40_N:0x 000003c6=75_I:0x 00000ba8_0x 00244eaa=8449.1._I:0x 00000ba8_N:0x 00244eaa=8449_I:0xW00000ba8_I:0xW00000020_N:0xH00049240=2_I:0xW00000ba8_I:0xW00000020_N:0x 00049ed4=d0x 00049ed4_I:0xW00000ba8_I:0xW00000020_N:0xH00047138=0_I:0xW00000ba8_I:0xW00000020_R:0x 00049f20<d0x 00049f20_I:0xW00000ba8_I:0xW00000020_R:0xS00000070=0_I:0xW00000ba8_I:0xW00000020_R:0x 00001244!=d0x 00001244_I:0x 00000ba8_N:0x 00244eaa=8449.300._I:0x 00000ba8_N:0x 00244eaa=8449_I:0xW00000ba8_I:0xW00000020_N:0x 00049e14<=493_I:0xW00000ba8_I:0xW00000020_N:0xH00049e48<=100_I:0xW00000ba8_I:0xW00000020_R:0xH00049e48>31_I:0xW00000ba8_I:0xW00000020_R:0x 0000124c!=d0x 0000124c_I:0xW00000ba8_I:0xW00000020_R:0x 00001250!=d0x 00001250
