rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
1,7212,"Pokémon HeartGold Version | Pokémon SoulSilver Version","Nintendo DS",18,10107,10107,10107,136,0,"Turn-Based RPG","Game Freak","Nintendo","2009-09-12"
2,5522,"Castlevania: Dawn of Sorrow","Nintendo DS",18,7727,7727,7727,68,0,"Metroidvania, 2D Platforming","Konami","Konami","2005-08-25"
3,14806,"Sonic Rush","Nintendo DS",18,6027,6027,6027,34,0,"2D Platforming","Sega, Dimps, Sonic Team","Sega","2005-11-15"
4,14763,"Kirby Super Star Ultra","Nintendo DS",18,5744,5744,5744,50,0,"2D Platforming","HAL Laboratory","Nintendo","2008-09-22"
5,11732,"Pokémon Platinum Version","Nintendo DS",18,5548,5548,5548,101,0,"","","","2008-09-13"
6,9983,"Super Mario 64 DS","Nintendo DS",18,5352,5352,5352,191,0,"3D Platforming, Collect-a-thon","","Nintendo","2004-11-21"
7,9878,"Tetris DS","Nintendo DS",18,5061,5061,5061,102,0,"","","Nintendo","2006-03-20"
8,16211,"Pokémon White Version","Nintendo DS",18,4188,4188,4188,73,0,"","","","2010-09-18"
9,12711,"Mario Kart DS","Nintendo DS",18,4183,4183,4183,100,0,"Kart Racing","","Nintendo","2005-11-14"
10,12747,"Phoenix Wright: Ace Attorney","Nintendo DS",18,3283,3283,3283,83,0,"Visual Novel","Capcom","Capcom","2005-10-12"
11,14700,"Kirby: Squeak Squad","Nintendo DS",18,3187,3187,3187,86,0,"2D Platforming","Flagship, HAL Laboratory","Nintendo","2006-11-02"
12,14853,"Pokémon Mystery Dungeon: Explorers of Sky","Nintendo DS",18,2933,2933,2933,128,0,"Roguelike","Chunsoft","Nintendo","2009-04-18"
13,9407,"Castlevania: Portrait of Ruin","Nintendo DS",18,2873,2873,2873,88,0,"Metroidvania, 2D Platforming","Konami","Konami","2006-12-05"
14,9518,"Professor Layton and the Curious Village","Nintendo DS",18,2838,2838,2838,42,0,"","","","2007-02-15"
15,7010,"Castlevania: Order of Ecclesia","Nintendo DS",18,2747,2747,2747,94,0,"Metroidvania, 2D Platforming","Konami","Konami","2008-10-21"
16,12718,"Plants vs. Zombies","Nintendo DS",18,2652,2652,2652,64,0,"Tower Defense","TOSE, PopCap Games","PopCap Games","2011-01-18"
17,5323,"Mario & Luigi: Bowser's Inside Story","Nintendo DS",18,2410,2410,2410,109,0,"Turn-Based RPG","AlphaDream","Nintendo","2009-02-11"
18,5853,"Pokémon Black Version 2","Nintendo DS",18,2391,2391,2391,187,0,"Turn-Based RPG","Game Freak","Nintendo, The Pokémon Company","2012-06-23"
19,9594,"Animal Crossing: Wild World","Nintendo DS",18,2175,2175,2175,157,0,"Life Simulation","","Nintendo","2005-11-23"
20,14811,"Sonic & Sega All-Stars Racing","Nintendo DS",18,2130,2130,2130,99,0,"Kart Racing","Sumo Digital","Sega","2010-02-23"
21,14323,"The Legend of Zelda: Phantom Hourglass","Nintendo DS",18,2048,2048,2048,67,0,"Action-Adventure","","Nintendo","2007-06-23"
22,9852,"Pokémon Diamond Version","Nintendo DS",18,1902,1902,1902,121,0,"","","","2006-09-28"
23,14808,"Sonic Colors","Nintendo DS",18,1896,1896,1896,42,0,"2D Platforming","Sega, Dimps, Sonic Team","Sega","2010-11-11"
24,16197,"Pokémon White Version 2","Nintendo DS",18,1863,1863,1863,151,0,"","","","2012-06-23"
25,1199,"WarioWare: Touched!","Nintendo DS",18,1828,1828,1828,45,0,"Minigames","Intelligent Systems","Nintendo","2004-12-02"
26,16298,"Ace Attorney Investigations: Miles Edgeworth","Nintendo DS",18,1766,1766,1766,91,0,"Visual Novel","Capcom","Capcom","2009-05-28"
27,16196,"~Hack~ Pokémon Renegade Platinum","Nintendo DS",18,1699,1699,1699,109,0,"Turn-Based RPG","Hacker - Drayano","Hack - Pokemon Platinum Version","2019-04-18"
28,16274,"Resident Evil: Deadly Silence","Nintendo DS",18,1676,1676,1676,150,0,"Survival Horror","Capcom","Capcom","2006-01-19"
29,17492,"Pokémon Mystery Dungeon: Blue Rescue Team","Nintendo DS",18,1474,1474,1474,149,0,"Roguelike","Chunsoft","Nintendo, The Pokémon Company","2005-11-17"
30,9093,"Dragon Quest IX: Sentinels of the Starry Skies","Nintendo DS",18,1425,1425,1425,161,0,"Turn-Based RPG","Level-5","Nintendo","2009-07-11"
31,17565,"Drawn To Life: SpongeBob SquarePants Edition","Nintendo DS",18,1422,1422,1422,42,0,"2D Platforming, Sandbox","Altron","THQ","2008-09-15"
32,14807,"Sonic Rush Adventure","Nintendo DS",18,1390,1390,1390,48,0,"2D Platforming","Sega, Dimps, Sonic Team","Sega","2007-09-13"
33,16153,"Digimon World DS","Nintendo DS",18,1372,1372,1372,49,0,"","BEC","Bandai Namco","2006-06-15"
34,14860,"Pokémon Conquest","Nintendo DS",18,1188,1188,1188,61,0,"Tactical RPG","Koei","The Pokémon Company","2012-03-17"
35,9252,"Super Princess Peach","Nintendo DS",18,1151,1151,1151,61,0,"2D Platforming","TOSE","Nintendo","2005-10-20"
36,9770,"Dragon Quest IV: Chapters of the Chosen","Nintendo DS",18,1147,1147,1147,80,0,"Turn-Based RPG","ArtePiazza","Square Enix","2008-09-16"
37,9232,"Elite Beat Agents","Nintendo DS",18,1125,1125,1125,86,0,"Rhythm","iNiS","Nintendo","2006-11-06"
38,25369,"Pokémon Pearl Version","Nintendo DS",18,1081,1081,1081,210,0,"Turn-Based RPG","Game Freak","Nintendo, The Pokémon Company","2006-09-28"
39,16618,"Doodle Jump Journey","Nintendo DS",18,1058,1058,1058,12,0,"Endless Runner","Smoking Gun Interactive","GameMill Entertainment","2013-10-29"
40,4958,"Final Fantasy Tactics A2: Grimoire of the Rift","Nintendo DS",18,1051,1051,1051,185,0,"Tactical RPG","Square Enix","Square Enix","2008-06-24"
41,14809,"Sonic Chronicles: The Dark Brotherhood","Nintendo DS",18,1036,1036,1036,68,0,"Turn-Based RPG","BioWare","Sega","2008-09-25"
42,14786,"Yoshi's Island DS","Nintendo DS",18,1025,1025,1025,95,0,"2D Platforming","Artoon","Nintendo","2006-11-13"
43,9617,"Picross 3D","Nintendo DS",18,994,994,994,44,0,"Nonogram","HAL Laboratory","Nintendo","2009-03-12"
44,11730,"Mario Party DS","Nintendo DS",18,982,982,982,112,0,"Board Game, Party","Hudson Soft","Nintendo","2007-11-08"
45,9537,"Phoenix Wright: Ace Attorney - Justice for All","Nintendo DS",18,969,969,969,66,0,"Visual Novel","Capcom","Capcom","2007-01-16"
46,1172,"Retro Game Challenge","Nintendo DS",18,967,967,967,76,0,"","indieszero","XSEED Games","2009-02-10"
47,4911,"Ghost Trick: Phantom Detective","Nintendo DS",18,954,954,954,33,0,"Adventure","Capcom","Capcom","2011-01-11"
48,999,"999: Nine Hours, Nine Persons, Nine Doors","Nintendo DS",18,907,907,907,23,0,"Visual Novel","Chunsoft","Spike, Aksys Games","2009-12-10"
49,16254,"Dragon Quest Heroes: Rocket Slime","Nintendo DS",18,891,891,891,89,0,"Action-Adventure","TOSE","Square Enix","2006-09-19"
50,6616,"Scribblenauts","Nintendo DS",18,863,863,863,311,0,"Puzzle, Action","5th Cell","Warner Bros. Interactive Entertainment","2009-09-15"
51,15429,"Dragon Ball Z: Supersonic Warriors 2","Nintendo DS",18,852,852,852,153,0,"2D Fighting","Arc System Works","Atari","2005-11-20"
52,16363,"Game & Watch Collection","Nintendo DS",18,833,833,833,12,0,"Compilation","Nintendo","Nintendo","2006-06-28"
53,14829,"~Hack~ Newer Super Mario Bros. DS","Nintendo DS",18,831,831,831,50,0,"2D Platforming","Hacker - Newer Team","Hack - New Super Mario Bros.","2017-12-25"
54,5291,"Tomodachi Collection","Nintendo DS",18,826,826,826,49,0,"Life Simulation","Nintendo","Nintendo","2009-06-18"
55,9985,"Rhythm Heaven","Nintendo DS",18,816,816,816,46,0,"Rhythm","","Nintendo","2008-07-31"
56,5626,"Advance Wars: Dual Strike","Nintendo DS",18,805,805,805,126,0,"Turn-Based Strategy","Intelligent Systems","Nintendo","2005-06-23"
57,16295,"Pokémon Ranger","Nintendo DS",18,804,804,804,58,0,"Action RPG","APE | Creatures, HAL Laboratory","Nintendo","2006-03-23"
58,17844,"~Hack~ CTGP: Nitro","Nintendo DS",18,787,787,787,168,0,"Kart Racing","CTGP Nitro Team","Hack - Mario Kart DS","2022-02-05"
