gameId,gameTitle,md5,romName,labels,patchUrl,region,romFile,romSize
1446,Super Mario Bros.,8e3630186e35d477231bf8fd50e54cdd,Super Mario Bros. (World).nes,nointro,,world,Super Mario Bros. (World).zip,31507
1995,Super Mario Bros. 3,55b7111567c1709e849c574078699577,Super Mario Bros. 3 (USA) (Rev 1).nes,nointro,,usa,Super Mario Bros. 3 (USA) (Rev 1).zip,226307
1454,The Legend of Zelda,0b32851acecf93212b198e074c5e59bc,"Legend of Zelda, The (USA) (GameCube Edition).nes",nointro,,usa,Legend of Zelda The (USA) (GameCube Edition).zip,65681
1462,Castlevania,728e05f245ab8b7fe61083f6919dc485,Castlevania (USA) (Rev 1).nes,nointro,,usa,Castlevania (USA) (Rev 1).zip,66150
1447,Contra,5a5c2f4f1cafb1f55a8dc0d5ad4550e5,Contra (USA).nes,nointro,,usa,Contra (USA).zip,89689
1994,Super Mario Bros. 2,a64dcbaf95980145d2351850be735461,Super Mario Bros. 2 (USA) (Rev 1).nes,nointro,,usa,Super Mario Bros. 2 (USA) (Rev 1).zip,77317
1489,Mike Tyson's Punch-Out!!,1ddde6a84e43ad524a3f81fbfe22f9fc,"Mike Tyson's Punch-Out!! (Japan, USA) (En).nes",nointro,,usa,Mike Tysons Punch-Out (Japan USA) (En).zip,132950
1451,Mega Man 2,0527a0ee512f69e08b8db6dc97964632,Mega Man 2 (USA).nes,nointro,,usa,Mega Man 2 (USA).zip,135156
1859,Ninja Gaiden,07c1b92ae9b78f209075a8cc6d3eebf0,Ninja Gaiden (USA).nes,nointro,,usa,Ninja Gaiden (USA).zip,141188
1448,Mega Man,4de82cfceadbf1a5e693b669b1221107,Mega Man (USA).nes,nointro,,usa,Mega Man (USA).zip,79054
1487,Metroid,b2d2d9ed68b3e5e0d29053ea525bd37c,Metroid (USA).nes,nointro,,usa,Metroid (USA).zip,59900
1472,DuckTales,b480855fff883b20ba403a2009a7f13c,DuckTales (USA).nes,nointro,,usa,DuckTales (USA).zip,83550
1469,Dr. Mario,5b401f4ca7e1b12af3f29d8fc758dd2f,"Dr. Mario (Japan, USA) (En).nes",nointro,,usa,Dr. Mario (Japan USA) (En).zip,29147
1466,Donkey Kong,6d4a94c344463e562344249e18e9b99f,Donkey Kong (World) (Rev 1) (GameCube Edition).nes,nointro,,world,Donkey Kong (World) (Rev 1).zip,16270
1473,Excitebike,2bf3976d15ec25a756846465a16b064c,"Excitebike (Japan, USA) (En) (GameCube Edition).nes",nointro,,usa,Excitebike.zip,17609
1515,1942,0b66fdf88964235c434daff62837af60,"1942 (Japan, USA) (En).nes",nointro,,usa,1942 (Japan USA) (En).zip,25682
2016,Teenage Mutant Ninja Turtles,2dddc2cae0a7fe890235aef72a9a86ae,Teenage Mutant Ninja Turtles (USA).nes,nointro,,usa,Teenage Mutant Ninja Turtles (USA).zip,145153
1509,Battletoads,eefac97ac3b85048f3685e1623210efb,Battletoads (USA).nes,nointro,,usa,Battletoads (USA).zip,190465
1556,Balloon Fight,70c309cb6b9ead20c06d554cf48b3993,Balloon Fight (USA).nes,nointro,,usa,Balloon Fight (USA).zip,15883
2221,Castlevania III: Dracula's Curse,bfc4d9791d9fe9c181dad794d66def4f,Castlevania III - Dracula's Curse (USA).nes,nointro,,usa,Castlevania III - Dracula's Curse (USA).zip,245957
2032,Tiny Toon Adventures,b1170dcab773c74cadc45f92b40adaf2,Tiny Toon Adventures (USA).nes,nointro,,usa,Tiny Toon Adventures (USA).zip,145589
1471,Dragon Quest,e0413c76f69f5aca4a1f5336b86851b6,Dragon Warrior (USA) (Rev 1).nes,nointro,,usa,Dragon Warrior (USA) (Rev 1).zip,51242
1483,Mega Man 3,4a53b6f58067d62c9a43404fe835dd5c,Mega Man 3 (USA).nes,nointro,,usa,Mega Man 3 (USA).zip,222214
6070,~Homebrew~ 2048,be1063151f68c58d712138c568c73c8b,2048 (World) (Rev 5) (Aftermarket) (Unl).nes,nointro,,world,2048 (World) (Rev 5) (Aftermarket) (Unl).zip,8703
1458,Batman: The Video Game,341f6fd28fcdc7e246ded2750dd1c1e9,Batman - The Video Game (USA).nes,nointro,,usa,Batman - The Video Game (USA).zip,156300
1526,Adventure Island,248ba1acbfed28be4e6839a858a5c60a,Adventure Island (USA).nes,nointro,,usa,Adventure Island (USA).zip,39119
1460,Bubble Bobble,629fceec5476cdd3faa371891905ea02,Bubble Bobble (USA).nes,nointro,,usa,Bubble Bobble (USA).zip,50110
1524,Adventure Island II,4ccf65a4f658fd237e774d29addc3a5c,Adventure Island II (USA).nes,nointro,,usa,Adventure Island II (USA).zip,128913
1463,Chip 'n Dale: Rescue Rangers,f0ed8c6d65164f761908bc892c01c65a,Chip 'n Dale - Rescue Rangers (USA).nes,nointro,,usa,Chip 'n Dale - Rescue Rangers (USA).zip,143797
1453,Zelda II: The Adventure of Link,88c0493fb1146834836c0ff4f3e06e45,Zelda II - The Adventure of Link (USA).nes,nointro,,usa,Zelda II - The Adventure of Link (USA).zip,88656
1683,Felix the Cat,936b0157a2a547235f991aa44d77cf9e,Felix the Cat (USA) (Hudson).nes,nointro,,usa,Felix the Cat (USA).zip,131772
1461,Castlevania II: Simon's Quest,755f9086b0567243b3ce25cc8a6dfd17,Castlevania II - Simon's Quest (USA).nes,nointro,,usa,Castlevania II - Simon's Quest (USA).zip,77370
4568,Bomberman,0f9c8d3d3099c70368411f6df9ef49c1,Bomberman (USA).nes,nointro,,usa,Bomberman (USA).zip,16194
1516,1943: The Battle of Midway,190d10a3685f87ba32135ac595283f36,1943 - The Battle of Midway (USA).nes,nointro,,usa,1943 - The Battle of Midway (USA).zip,79885
1710,Ghosts 'n Goblins,8c3c9b041392f8ef06f6b0c7432c589c,Ghosts'n Goblins (USA).nes,nointro,,usa,Ghosts'n Goblins (USA).zip,58245
1491,Pac-Man,c4ae6cc4e981a8316429572409018dc8,Pac-Man (USA) (Tengen).nes,nointro,,usa,Pac-Man (USA) (Tengen).zip,11306
1480,Kung Fu,08b21d774b2adaed5480f6a941c576e4,"Kung Fu (Japan, USA) (En).nes",nointro,,usa,"Kung Fu (Japan, USA).zip",28981
1478,Kid Icarus,8a27c5ab8108efcf3ee21f99daeadd52,"Kid Icarus (USA, Europe) (Rev 1).nes",nointro,,usa,"Kid Icarus (USA, Europe) (Rev 1).zip",64772
1989,Super Contra,8782ba5a0b02aceb272757667af1066a,Super C (USA).nes,nointro,,usa,Super C (USA).zip,148382
1838,Mighty Final Fight,be4670792b17c74eecf3a0e7f37ecfe2,Mighty Final Fight (USA).nes,nointro,,usa,Mighty Final Fight (USA).zip,146038
1586,Bomberman II,ffcc592a3f063c1dcc87cb5e0f81c8af,Bomberman II (USA).nes,nointro,,usa,Bomberman II (USA).zip,67372
1464,Darkwing Duck,eb9713d1cac3586601833d8df854114e,Darkwing Duck (USA).nes,nointro,,usa,Darkwing Duck (USA).zip,126982
1518,Abadox: The Deadly Inner War,84f06d39c96d4b875ba558654cd1b464,Abadox - The Deadly Inner War (USA).nes,nointro,,usa,Abadox - The Deadly Inner War (USA).zip,135018
2420,Battle City,a41a8a46771160e97ee5967365c07c83,BattleCity (Japan).nes,nointro,,japan,BattleCity (Japan).zip,15416
1669,Duck Hunt,fa382374eb4a93a719064ca6c5a4e78c,Duck Hunt (World).nes,nointro,,world,Duck Hunt (World).zip,16118
1449,Final Fantasy,24ae5edf8375162f91a6846d3202e3d6,Final Fantasy (USA).nes,nointro,,usa,Final Fantasy (USA).zip,146998
1824,Mario Bros.,b51085d9ab4267746a9ed6fc609a98d0,Mario Bros. (World).nes,nointro,,world,Mario Bros. (World).zip,16525
1823,Marble Madness,81706abdae6d1d11b0c8986fc4383ec0,Marble Madness (USA).nes,nointro,,usa,Marble Madness (USA).zip,81466
1452,River City Ransom,439a3420552a300089ddef13b7e83765,River City Ransom (USA).nes,nointro,,usa,River City Ransom (USA).zip,123366
1661,Double Dragon II: The Revenge,b2f092f2cbb17456109a4df0468fcdd5,Double Dragon II - The Revenge (USA) (Rev 1).nes,nointro,,usa,Double Dragon II - The Revenge (USA) (Rev 1).zip,147528
1627,Color a Dinosaur,99dd1d23a46e68b7163dbc5bb69b9929,Color a Dinosaur (USA).nes,nointro,,usa,Color a Dinosaur (USA).zip,35818
2115,Teenage Mutant Ninja Turtles III: The Manhattan Project,af57c886e9d1292d4e0f84e057a5dae6,Teenage Mutant Ninja Turtles III - The Manhattan Project (USA).nes,nointro,,usa,Teenage Mutant Ninja Turtles III - The Manhattan Project (USA).zip,290184
1829,Mega Man 4,ab9ad69f29f812cb520dd49b39805491,Mega Man 4 (USA) (Rev 1).nes,nointro,,usa,Mega Man 4 (USA) (Rev 1).zip,293801
2023,~Unlicensed~ Tetris (Tengen),117c38986584c88263414b7abb98667c,Tetris (USA) (Tengen) (Unl).nes,nointro,,usa,Tetris (USA) (Tengen) (Unl).zip,23870
2114,Teenage Mutant Ninja Turtles II: The Arcade Game,d39b6d82cd08ccb83f26a66499277ddc,Teenage Mutant Ninja Turtles II - The Arcade Game (USA).nes,nointro,,usa,Teenage Mutant Ninja Turtles II - The Arcade Game (USA).zip,257849
1877,Pinball,ad809323fe92d0e083bf77ccecae462e,"Pinball (Japan, USA) (En).nes",nointro,,usa,Pinball (Japan USA) (En).zip,15864
1873,Paperboy,ed0057504fe693d71a3e8a1a275ff7a2,Paperboy (USA).nes,nointro,,usa,Paperboy.zip,30832
1574,Battletoads and Double Dragon: The Ultimate Team,728a4c80306dd3debb8ba90868376255,Battletoads-Double Dragon (USA).nes,nointro,,usa,Battletoads-Double Dragon (USA).zip,189408
1858,Ninja Gaiden III: The Ancient Ship of Doom,8e668e161d7393d8c850429d87aa4f2a,Ninja Gaiden III - The Ancient Ship of Doom (USA).nes,nointro,,usa,Ninja Gaiden III - The Ancient Ship of Doom (USA).zip,166628
1857,Ninja Gaiden II: The Dark Sword of Chaos,2ec92e60e033b4d8aa5caa6b1f7838b5,Ninja Gaiden II - The Dark Sword of Chaos (USA).nes,nointro,,usa,Ninja Gaiden II - The Dark Sword of Chaos (USA).zip,166002
1940,Shatterhand,7cccc9ad7b1097143435fcc6afcdf157,Shatterhand (USA).nes,nointro,,usa,Shatterhand (USA).zip,143454
1800,Life Force,99bfd6d0ff53d78e5126d274a0605d30,Life Force (USA).nes,nointro,,usa,Life Force (USA).zip,90693
4720,Shadow of the Ninja,057707584b517b7e551b236ec7b0ee6d,Shadow of the Ninja (USA).nes,nointro,,usa,Shadow of the Ninja (USA).zip,141692
