rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
1,1446,"Super Mario Bros.","NES/Famicom",7,68830,68830,68830,77,0,"2D Platforming","","Nintendo","1985-09-13"
2,1995,"Super Mario Bros. 3","NES/Famicom",7,44962,44962,44962,89,0,"2D Platforming","","Nintendo","1988-10-23"
3,1454,"The Legend of Zelda","NES/Famicom",7,31457,31457,31457,69,0,"Action-Adventure","","Nintendo","1986-02-21"
4,1462,"Castlevania","NES/Famicom",7,22950,22950,22950,74,0,"2D Platforming","Konami","Konami","1987-05-01"
5,1447,"Contra","NES/Famicom",7,20059,20059,20059,40,0,"Run & Gun","Konami","Konami","1988-02-09"
6,1994,"Super Mario Bros. 2","NES/Famicom",7,17089,17089,17089,51,0,"2D Platforming","","Nintendo","1988-10-09"
7,1489,"Mike Tyson's Punch-Out!!","NES/Famicom",7,15079,15079,15079,28,0,"Sports - Boxing","Nintendo","Nintendo","1987-10-18"
8,1451,"Mega Man 2","NES/Famicom",7,13789,13789,13789,84,0,"2D Platforming","Capcom","Capcom","1988-12-24"
9,1859,"Ninja Gaiden","NES/Famicom",7,13457,13457,13457,35,0,"2D Platforming","Tecmo","Koei | Tecmo","1988-01-01"
10,1448,"Mega Man","NES/Famicom",7,13058,13058,13058,50,0,"2D Platforming","Capcom","Capcom","1987-12-17"
11,1487,"Metroid","NES/Famicom",7,12667,12667,12667,25,0,"2D Platforming, Metroidvania","","Nintendo","1987-08-01"
12,1472,"DuckTales","NES/Famicom",7,11872,11872,11872,63,0,"2D Platforming","Capcom","Capcom, Disney Interactive Studios","1989-09-01"
13,1469,"Dr. Mario","NES/Famicom",7,11681,11681,11681,70,0,"","","Nintendo","1990-07-27"
14,1466,"Donkey Kong","NES/Famicom",7,9822,9822,9822,25,0,"2D Platforming, Arcade","","Nintendo","1983-07-15"
15,1473,"Excitebike","NES/Famicom",7,9596,9596,9596,17,0,"Extreme Sports - Motocross","","Nintendo","1984-11-30"
16,1515,"1942","NES/Famicom",7,8790,8790,8790,27,0,"Shoot 'em Up","Capcom, Micronics","Capcom","1985-12-11"
17,2016,"Teenage Mutant Ninja Turtles","NES/Famicom",7,8717,8717,8717,24,0,"2D Platforming, Action","Konami","Ultra Games","1989-06-01"
18,1509,"Battletoads","NES/Famicom",7,7920,7920,7920,20,0,"Beat 'em Up","Rare","Tradewest","1991-06-01"
19,1556,"Balloon Fight","NES/Famicom",7,7419,7419,7419,25,0,"2D Platforming","HAL Laboratory, Nintendo","Nintendo","1985-01-22"
20,2221,"Castlevania III: Dracula's Curse","NES/Famicom",7,7230,7230,7230,55,0,"2D Platforming","Konami","Konami","1989-12-22"
21,2032,"Tiny Toon Adventures","NES/Famicom",7,7148,7148,7148,54,0,"2D Platforming","Konami","Konami","1991-12-01"
22,1471,"Dragon Quest","NES/Famicom",7,6799,6799,6799,33,0,"","Chunsoft","Enix, Nintendo","1986-05-27"
23,1483,"Mega Man 3","NES/Famicom",7,6773,6773,6773,83,0,"2D Platforming","Capcom","Capcom","1990-09-28"
24,6070,"~Homebrew~ 2048","NES/Famicom",7,6723,6723,6723,12,0,"Sliding Puzzle","tsone","Homebrew - NES/Famicom","2014-03-09"
25,1458,"Batman: The Video Game","NES/Famicom",7,6701,6701,6701,41,0,"2D Platforming","Sunsoft","Sunsoft","1989-12-22"
26,1526,"Adventure Island","NES/Famicom",7,6597,6597,6597,15,0,"2D Platforming","Hudson Soft","Hudson Soft","1988-09-01"
27,1460,"Bubble Bobble","NES/Famicom",7,6571,6571,6571,75,0,"2D Platforming","Taito","Taito","1988-01-01"
28,1524,"Adventure Island II","NES/Famicom",7,6495,6495,6495,35,0,"2D Platforming","Now Production","Hudson Soft","1991-02-01"
29,1463,"Chip 'n Dale: Rescue Rangers","NES/Famicom",7,6421,6421,6421,60,0,"2D Platforming","Capcom","Capcom","1990-06-08"
30,1453,"Zelda II: The Adventure of Link","NES/Famicom",7,6241,6241,6241,44,0,"Action RPG","","Nintendo","1988-09-26"
31,1683,"Felix the Cat","NES/Famicom",7,5977,5977,5977,65,0,"2D Platforming","Hudson Soft","Hudson Soft","1992-10-01"
32,1461,"Castlevania II: Simon's Quest","NES/Famicom",7,5856,5856,5856,44,0,"Metroidvania, 2D Platforming","Konami","Konami","1987-08-28"
33,4568,"Bomberman","NES/Famicom",7,5627,5627,5627,48,0,"Action","Hudson Soft","Hudson Soft","1985-12-19"
34,1516,"1943: The Battle of Midway","NES/Famicom",7,5468,5468,5468,30,0,"Shoot 'em Up","Capcom","Capcom","1987-06-01"
35,1710,"Ghosts 'n Goblins","NES/Famicom",7,5342,5342,5342,26,0,"2D Platforming","Micronics","Capcom","1986-06-13"
36,1491,"Pac-Man","NES/Famicom",7,5277,5277,5277,12,0,"","Namco","Namco","1984-11-02"
37,1480,"Kung Fu","NES/Famicom",7,4759,4759,4759,22,0,"Beat 'em Up","Nintendo","Nintendo","1985-06-21"
38,1478,"Kid Icarus","NES/Famicom",7,4724,4724,4724,33,0,"2D Platforming","","Nintendo","1986-12-19"
39,1989,"Super Contra","NES/Famicom",7,4506,4506,4506,43,0,"2D Platforming, Run & Gun","Konami","Konami","1990-02-02"
40,1838,"Mighty Final Fight","NES/Famicom",7,4496,4496,4496,45,0,"Beat 'em Up","Capcom","Capcom","1993-06-11"
41,1586,"Bomberman II","NES/Famicom",7,4469,4469,4469,33,0,"Action","Hudson Soft","Hudson Soft","1991-06-28"
42,1464,"Darkwing Duck","NES/Famicom",7,4444,4444,4444,56,0,"2D Platforming","Capcom","Capcom","1992-06-01"
43,1518,"Abadox: The Deadly Inner War","NES/Famicom",7,4363,4363,4363,28,0,"Shoot 'em Up","Natsume","Natsume, Milton Bradley","1989-12-15"
44,2420,"Battle City","NES/Famicom",7,4338,4338,4338,18,0,"","Namco","Namco","1985-09-09"
45,1669,"Duck Hunt","NES/Famicom",7,4328,4328,4328,31,0,"Gallery Shooter, Sports - Hunting","Nintendo, Intelligent Systems","Nintendo","1984-04-21"
46,1449,"Final Fantasy","NES/Famicom",7,4320,4320,4320,40,0,"","Square","Squaresoft, Nintendo","1987-12-18"
47,1824,"Mario Bros.","NES/Famicom",7,4297,4297,4297,20,0,"2D Platforming","Intelligent Systems","Nintendo","1983-09-09"
48,1823,"Marble Madness","NES/Famicom",7,4290,4290,4290,15,0,"Puzzle, Action","Rare","Milton Bradley","1989-03-01"
49,1452,"River City Ransom","NES/Famicom",7,4278,4278,4278,48,0,"Action RPG, Beat 'em Up","Technōs Japan","Infogrames, Technōs Japan","1989-04-25"
50,1661,"Double Dragon II: The Revenge","NES/Famicom",7,4274,4274,4274,28,0,"Beat 'em Up","Technōs Japan","Acclaim, Technōs Japan","1989-12-22"
51,1627,"Color a Dinosaur","NES/Famicom",7,4074,4074,4074,19,0,"Other","FarSight Studios","Virgin Interactive","1993-07-01"
52,2115,"Teenage Mutant Ninja Turtles III: The Manhattan Project","NES/Famicom",7,4014,4014,4014,30,0,"Beat 'em Up","Konami","Konami","1991-12-13"
53,1829,"Mega Man 4","NES/Famicom",7,3978,3978,3978,80,0,"2D Platforming","Capcom","Capcom","1991-12-06"
54,2023,"~Unlicensed~ Tetris (Tengen)","NES/Famicom",7,3969,3969,3969,51,0,"","Tengen","Tengen","1989-01-01"
55,2114,"Teenage Mutant Ninja Turtles II: The Arcade Game","NES/Famicom",7,3935,3935,3935,28,0,"Beat 'em Up","Konami","Konami, Ultra Games","1990-12-07"
56,1877,"Pinball","NES/Famicom",7,3766,3766,3766,21,0,"Pinball","HAL Laboratory, Nintendo","Nintendo","1984-02-02"
57,1873,"Paperboy","NES/Famicom",7,3739,3739,3739,32,0,"Action","Eastridge Technology","Mindscape","1988-12-01"
58,1574,"Battletoads and Double Dragon: The Ultimate Team","NES/Famicom",7,3651,3651,3651,20,0,"Beat 'em Up","Rare","Tradewest, Nintendo","1993-06-01"
59,1858,"Ninja Gaiden III: The Ancient Ship of Doom","NES/Famicom",7,3628,3628,3628,37,0,"2D Platforming","Tecmo","Koei | Tecmo","1991-08-01"
60,1857,"Ninja Gaiden II: The Dark Sword of Chaos","NES/Famicom",7,3614,3614,3614,59,0,"2D Platforming","Tecmo","Koei | Tecmo","1990-04-06"
61,1940,"Shatterhand","NES/Famicom",7,3575,3575,3575,53,0,"2D Platforming, Action","Natsume","Jaleco","1991-12-01"
62,1800,"Life Force","NES/Famicom",7,3462,3462,3462,44,0,"Shoot 'em Up","Konami","Konami","1987-08-01"
63,4720,"Shadow of the Ninja","NES/Famicom",7,3415,3415,3415,44,0,"2D Platforming, Action","Natsume","Natsume, Taito","1990-08-10"
64,13393,"~Homebrew~ Cookie Clicker","NES/Famicom",7,3381,3381,3381,10,0,"Incremental","Damian Yerrick","Damian Yerrick","2014-04-23"
65,1616,"Chip 'n Dale: Rescue Rangers 2","NES/Famicom",7,3358,3358,3358,48,0,"2D Platforming","Capcom","Capcom","1993-12-10"
