rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released,description,icon,boxArt,titleScreen,screenshot,rating
1,3537,God of War: Chains of Olympus,PlayStation Portable,41,9797,9797,9797,39,0,Hack & Slash,Ready at Dawn,Sony Computer Entertainment,2008-03-04,"God of War: Chains of Olympus is a 2008 action-adventure game developed by Ready at Dawn, and published by Sony Computer Entertainment (SCE). It was first released for the PlayStation Portable (PSP) handheld console on March 4, 2008. The game is the fourth installment in the God of War series, the third chronologically, and a prequel to the original God of War. It is loosely based on Greek mythology and set in ancient Greece, with vengeance as its central motif. The player controls Kratos, a Spartan warrior who serves the Olympian gods. Kratos is guided by the goddess Athena, who instructs him to find the Sun God Helios, as the Dream God Morpheus has caused many of the gods to slumber in Helios' absence. With the power of the Sun and the aid of the Titan Atlas, Morpheus and the Queen of the Underworld Persephone intend to destroy the Pillar of the World and in turn Olympus.",https://media.retroachievements.org/Images/120499.png,https://media.retroachievements.org/Images/047385.png,https://media.retroachievements.org/Images/085036.png,https://media.retroachievements.org/Images/085037.png,5
2,17976,Monster Hunter Portable 3rd,PlayStation Portable,41,7450,7450,7450,506,0,Action RPG,Capcom,Capcom,2010-12-01,"Monster Hunter Portable 3rd is a 2010 action role-playing game developed and published by Capcom for the PlayStation Portable. It is the third handheld installment in the Monster Hunter franchise. Like its predecessor, Monster Hunter Freedom 2, Portable 3rd is an original title that adapts the core content of Monster Hunter Tri into a new single player campaign, adding supplemental original content. The game introduces regions, monsters, and a revised Felyne combat system.",https://media.retroachievements.org/Images/107426.png,https://media.retroachievements.org/Images/077217.png,https://media.retroachievements.org/Images/048874.png,https://media.retroachievements.org/Images/063063.png,4.9
3,3727,Dante's Inferno,PlayStation Portable,41,6538,6538,6538,63,0,Action-Adventure,Artificial Mind and Movement,Electronic Arts,2010-02-25,"Inferno is the first part of the Italian writer Dante Alighieri's 14th-century narrative poem The Divine Comedy, followed by Purgatorio and Paradiso. The Inferno describes the journey of a fictionalised version of Dante himself through Hell, guided by the ancient Roman poet Virgil. In the poem, Hell is depicted as nine concentric circles of torment located within the Earth; it is the realm [...] of those who have rejected spiritual values by yielding to bestial appetites or violence, or by perverting their human intellect to fraud or malice against their fellowmen. As an allegory, the Divine Comedy represents the journey of the soul toward God, with the Inferno describing the recognition and rejection of sin.",https://media.retroachievements.org/Images/089534.png,https://media.retroachievements.org/Images/095582.png,https://media.retroachievements.org/Images/048592.png,https://media.retroachievements.org/Images/048594.png,4.9
4,3538,God of War: Ghost of Sparta,PlayStation Portable,41,5720,5720,5720,50,0,Hack & Slash,Ready at Dawn,Sony Computer Entertainment,2010-11-02,"God of War: Ghost of Sparta is a 2010 action-adventure game developed by Ready at Dawn and published by Sony Computer Entertainment (SCE). It was first released for the PlayStation Portable (PSP) handheld console on November 2, 2010. The game is the sixth installment in the God of War series and the fifth chronologically. Loosely based on Greek mythology, Ghost of Sparta is set in ancient Greece with vengeance as its central motif. The player controls the protagonist Kratos, the God of War. Kratos is still haunted by the visions of his mortal past and decides to explore his origins. In Atlantis, he finds his mother Callisto, who claims that his brother Deimos is still alive. Kratos journeys to the Domain of Death to rescue his brother. After initial resentment from Deimos, the brothers team up to battle the God of Death, Thanatos, Deimos' captor.",https://media.retroachievements.org/Images/120500.png,https://media.retroachievements.org/Images/047382.png,https://media.retroachievements.org/Images/085039.png,https://media.retroachievements.org/Images/085038.png,4.9
5,3161,LittleBigPlanet,PlayStation Portable,41,5045,5045,5045,173,0,2.5D Platforming,,Sony Computer Entertainment,2009-11-17,"LittleBigPlanet is a puzzle platform video game series created and produced by British developer Media Molecule and published by Sony Interactive Entertainment. Most games in the series put a strong emphasis on user-generated content and are based on the series' tagline Play, Create, Share. The tagline represents the three core elements of the series: playing alone or with others locally or online, creating new content using the in-game creation tools, and sharing creations and discoveries online with other players.",https://media.retroachievements.org/Images/093947.png,https://media.retroachievements.org/Images/046833.png,https://media.retroachievements.org/Images/032912.png,https://media.retroachievements.org/Images/032913.png,4.8
6,3582,Mega Man: Powered Up,PlayStation Portable,41,4564,4564,4564,143,0,,Capcom,Capcom,2006-03-02,"Mega Man Powered Up is a 2006 platform game developed and published by Capcom. It was released for the PlayStation Portable (PSP) handheld game console in March 2006. It is a remake of the original Mega Man game, released in 1987 for the Nintendo Entertainment System (NES). Players control the eponymous star Mega Man, who must stop Dr. Wily from conquering the world using eight robots called Robot Masters.",https://media.retroachievements.org/Images/047296.png,https://media.retroachievements.org/Images/048162.png,https://media.retroachievements.org/Images/046678.png,https://media.retroachievements.org/Images/046679.png,4.8
7,3515,Dissidia 012: Duodecim Final Fantasy,PlayStation Portable,41,4403,4403,4403,195,0,Arena Fighting,Square Enix,Square Enix,2011-03-03,"This is a list of games for Sony's PlayStation Portable (PSP) handheld game console made available to download from the PlayStation Store. The ability to download and play these titles has varied among titles between the platforms of PSP, PlayStation Vita (PSV), PlayStation TV (PSTV), PlayStation 4 (PS4), and PlayStation 5 (PS5). Titles released on the latter two are the original games software emulated. If a downloadable PSP game has been purchased for a device released prior to the PS4, the title is automatically added to the user's library on all devices for which there is a release.",https://media.retroachievements.org/Images/049140.png,https://media.retroachievements.org/Images/049156.png,https://media.retroachievements.org/Images/049307.png,https://media.retroachievements.org/Images/049308.png,4.8
8,10387,Crisis Core: Final Fantasy VII,PlayStation Portable,41,4092,4092,4092,238,0,Action RPG,Square Enix,Square Enix,2007-09-13,"Crisis Core: Final Fantasy VII is a 2007 action role-playing game developed and published by Square Enix for the PlayStation Portable. The game serves as a prequel to the 1997 title Final Fantasy VII and is part of the metaseries Compilation of Final Fantasy VII, which includes other products related to the original game.",https://media.retroachievements.org/Images/056892.png,https://media.retroachievements.org/Images/047808.png,https://media.retroachievements.org/Images/047806.png,https://media.retroachievements.org/Images/048168.png,4.8
9,3732,Monster Hunter Freedom Unite,PlayStation Portable,41,3767,3767,3767,242,0,Action RPG,Capcom,Capcom,2008-03-27,"Monster Hunter Freedom 2 is a 2007 action role-playing game developed and published by Capcom for the PlayStation Portable. It is the second handheld installment in the Monster Hunter franchise. Marketed as a sequel to Monster Hunter Freedom, Freedom 2 is an original title that adapts the core content of Monster Hunter 2 into a new single player campaign, adding supplemental original content.",https://media.retroachievements.org/Images/047405.png,https://media.retroachievements.org/Images/043631.png,https://media.retroachievements.org/Images/043628.png,https://media.retroachievements.org/Images/043629.png,4.8
10,3219,Mega Man Maverick Hunter X,PlayStation Portable,41,3715,3715,3715,59,0,,Capcom,Capcom,2005-12-15,This is a list of video game remakes and remasters and includes remakes as well as remasters of video games. It does not include clones and enhanced ports.,https://media.retroachievements.org/Images/047042.png,https://media.retroachievements.org/Images/046646.png,https://media.retroachievements.org/Images/054839.png,https://media.retroachievements.org/Images/046937.png,4.8
11,3186,Tekken 6,PlayStation Portable,41,3649,3649,3649,65,0,3D Fighting,,Bandai Namco,2009-11-24,"Tekken 6  is a 2007 fighting game developed and published by Namco Bandai Games. It is the sixth main and seventh overall installment in the Tekken franchise. It was released on arcades in November 2007 as the first game running on the PlayStation 3-based System 357 arcade board. A year later, the game received an update, subtitled Bloodline Rebellion; both versions also saw a limited release in North America. A home version based on the update was released for the PlayStation 3 and Xbox 360 in October 2009; this was the first time a main installment was produced for a non-Sony console. A port to the PlayStation Portable was also released shortly after.",https://media.retroachievements.org/Images/086823.png,https://media.retroachievements.org/Images/065820.png,https://media.retroachievements.org/Images/065819.png,https://media.retroachievements.org/Images/065818.png,4.7
