gameId,gameTitle,md5,romName,labels,patchUrl,region,romFile,romSize
3537,God of War: Chains of Olympus,799b09290b80129d6d0a880f7bac59b6,"God of War - Chains of Olympus (Europe, Australia) (En,Fr,De,Es,It).iso",redump,,europe,"",
17976,Monster Hunter Portable 3rd,f169d84a13732812d75a1d02dea3341c,Monster Hunter Portable 3rd HD ver. (Japan) (En) (v5) (Team Maverick ONE),redump|rapatches,,japan,,
3727,Dante's Inferno,9c80f421a1bcd0cc51503e479f090c40,Dante's Inferno (USA).iso,redump,,usa,,
3538,God of War: Ghost of Sparta,42c08dd581fca2db6dbe3cbe3ef6703a,"God of War - Ghost of Sparta (Europe, Australia) (En,Fr,De,Es,It).iso",redump,,europe,,
3161,LittleBigPlanet,a8703172016952d001c5a4ef61a14625,"LittleBigPlanet (USA) (En,Fr,De,Es,It,Pt).iso",redump,,usa,,
3582,Mega Man: Powered Up,4e7ff49beb64ecb8d59f8b4e881af6e8,Mega Man - Powered Up (USA).iso,redump|nointro,,usa,,
3515,Dissidia 012: Duodecim Final Fantasy,12c89cbee6684728e3a15bb4988b5f5a,"Dissidia 012 - Duodecim Final Fantasy (USA) (En,Fr,De,Es,It).iso",redump,,usa,,
10387,Crisis Core: Final Fantasy VII,fc2099ae9b174c54ee02e9827da9cea9,Crisis Core - Final Fantasy VII (USA).iso,redump|nointro,,usa,,
3732,Monster Hunter Freedom Unite,cfc5625956c606b5d0333033d28daffb,"Monster Hunter Freedom Unite (Europe) (En,Fr,De,Es,It).iso",redump|nointro,,europe,,
3219,Mega Man Maverick Hunter X,8a99ed01468c44bbb78a944e2db4bc58,Mega Man - Maverick Hunter X (USA).iso,redump|nointro,,usa,,
3186,Tekken 6,38f4fcd5d786c98bf19077c9eefde9bd,"Tekken 6 (Europe) (En,Ja,Fr,De,Es,It,Ko,Ru).iso",redump,,europe,"",
3471,Metal Slug: Anthology,a2bf0aa8e9de1c63707ea2abee7c1d03,Metal Slug Anthology (USA).iso,redump|nointro,,usa,,
3910,Dragon Ball Z: Shin Budokai,8c86349972d11db42f4cfe0bd32f31b5,Dragon Ball Z - Shin Budokai (USA).iso,redump|nointro,,usa,,
3185,Burnout Legends,cf787bff43a0309fbb6b9e32159be9bc,"Burnout Legends (USA) (En,Fr,De,Es,It,Nl).iso",redump,,usa,,
3891,Shin Megami Tensei: Persona,105fbe4883e86f6d5cd5c03ddd530fb1,Shin Megami Tensei - Persona (USA).iso,redump,,usa,,
3509,Jeanne D'Arc,9468c9f3b1cc569e1b07370b553ad968,Jeanne d'Arc (USA).iso,redump|nointro,,usa,,
10533,Metal Gear Solid: Peace Walker,bfbcf84b371fe46282c8b96969ec1a5a,"Metal Gear Solid - Peace Walker (USA) (En,Fr,Es) (v1.01).iso",redump|nointro,,usa,,
3215,Final Fantasy,f78e6368f595fd0bcbef19b1750af666,"Final Fantasy - 20th Anniversary Edition (USA) (En,Ja) (FW6.00).iso",redump|nointro,,usa,,
3971,Grand Theft Auto: Vice City Stories,689064ef742a45013e4fdd6b2e27b02a,"Grand Theft Auto - Vice City Stories (Europe) (En,Fr,De,Es,It).iso",redump,,europe,,
10525,Patapon,455f09f185068567a2b87978d6623909,"Patapon (Europe) (En,Fr,De,Es,It).iso",redump,,europe,,
3164,Shin Megami Tensei: Persona 3 Portable,f56e60e76a5f53ac8fb18da480c86f4a,Shin Megami Tensei - Persona 3 Portable (USA).iso,redump|nointro,,usa,,
15626,Gran Turismo: The Real Driving Simulator,e5860491dbaaa87e116cf6cbd2e3eb52,"Gran Turismo (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru) (v2.00).iso",redump,,europe,,
3738,Phantasy Star Portable,5c7de53c9d8fc8aa09ef258f57acb44b,Phantasy Star Portable (USA).iso,redump|nointro,,usa,,
18128,Dragon Ball Z: Shin Budokai 2 - Another Road,f968173f7992b0b173af77ddd94d3fb6,"Dragon Ball Z - Shin Budokai 2 (Europe) (En,Fr,De,Es,It).iso",redump|nointro,,europe,,
3165,Castlevania: The Dracula X Chronicles,59b37df8ade6d7020391eb96a5acd549,"Castlevania - The Dracula X Chronicles (Europe) (En,Fr,De,Es,It).iso",redump|nointro,,europe,"",
