rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
1,3537,"God of War: Chains of Olympus","PlayStation Portable",41,9797,9797,9797,39,0,"Hack & Slash","Ready at Dawn","Sony Computer Entertainment","2008-03-04"
2,17976,"Monster Hunter Portable 3rd","PlayStation Portable",41,7450,7450,7450,506,0,"Action RPG","Capcom","Capcom","2010-12-01"
3,3727,"Dante's Inferno","PlayStation Portable",41,6538,6538,6538,63,0,"Action-Adventure","Artificial Mind and Movement","Electronic Arts","2010-02-25"
4,3538,"God of War: Ghost of Sparta","PlayStation Portable",41,5720,5720,5720,50,0,"Hack & Slash","Ready at Dawn","Sony Computer Entertainment","2010-11-02"
5,3161,"LittleBigPlanet","PlayStation Portable",41,5045,5045,5045,173,0,"2.5D Platforming","","Sony Computer Entertainment","2009-11-17"
6,3582,"Mega Man: Powered Up","PlayStation Portable",41,4564,4564,4564,143,0,"","Capcom","Capcom","2006-03-02"
7,3515,"Dissidia 012: Duodecim Final Fantasy","PlayStation Portable",41,4403,4403,4403,195,0,"Arena Fighting","Square Enix","Square Enix","2011-03-03"
8,10387,"Crisis Core: Final Fantasy VII","PlayStation Portable",41,4092,4092,4092,238,0,"Action RPG","Square Enix","Square Enix","2007-09-13"
9,3732,"Monster Hunter Freedom Unite","PlayStation Portable",41,3767,3767,3767,242,0,"Action RPG","Capcom","Capcom","2008-03-27"
10,3219,"Mega Man Maverick Hunter X","PlayStation Portable",41,3715,3715,3715,59,0,"","Capcom","Capcom","2005-12-15"
11,3186,"Tekken 6","PlayStation Portable",41,3649,3649,3649,65,0,"3D Fighting","","Bandai Namco","2009-11-24"
12,3471,"Metal Slug: Anthology","PlayStation Portable",41,3574,3574,3574,94,0,"Run & Gun","Terminal Reality","SNK","2007-02-09"
13,3910,"Dragon Ball Z: Shin Budokai","PlayStation Portable",41,3509,3509,3509,70,0,"3D Fighting","Dimps","Atari, Bandai","2006-03-07"
14,3185,"Burnout Legends","PlayStation Portable",41,3496,3496,3496,118,0,"Arcade Racing","Criterion Games","Electronic Arts","2005-09-13"
15,3891,"Shin Megami Tensei: Persona","PlayStation Portable",41,3222,3222,3222,118,0,"Turn-Based RPG","Atlus","Atlus","2009-04-29"
16,3509,"Jeanne D'Arc","PlayStation Portable",41,2964,2964,2964,90,0,"Tactical RPG","Level-5","Sony Computer Entertainment","2006-11-22"
17,10533,"Metal Gear Solid: Peace Walker","PlayStation Portable",41,2918,2918,2918,106,0,"Action-Adventure","Kojima Productions","Konami","2010-04-29"
18,3215,"Final Fantasy","PlayStation Portable",41,2896,2896,2896,57,0,"","Square Enix","Square Enix","2007-04-19"
19,3971,"Grand Theft Auto: Vice City Stories","PlayStation Portable",41,2757,2757,2757,189,0,"Action-Adventure, Sandbox","Rockstar Leeds, Rockstar North","Rockstar Games","2006-10-31"
20,10525,"Patapon","PlayStation Portable",41,2695,2695,2695,75,0,"Rhythm","Pyramid","Sony Computer Entertainment","2007-09-20"
21,3164,"Shin Megami Tensei: Persona 3 Portable","PlayStation Portable",41,2646,2646,2646,139,0,"Turn-Based RPG","Atlus","Atlus","2010-07-06"
22,15626,"Gran Turismo: The Real Driving Simulator","PlayStation Portable",41,2580,2580,2580,229,0,"Racing Simulation","Polyphony Digital","Sony Computer Entertainment","2009-10-01"
23,3738,"Phantasy Star Portable","PlayStation Portable",41,2539,2539,2539,86,0,"Action RPG","Sega, Alfa System, Sonic Team","Sega","2008-07-31"
24,18128,"Dragon Ball Z: Shin Budokai 2 - Another Road","PlayStation Portable",41,2520,2520,2520,86,0,"3D Fighting","Dimps","Atari, Bandai Namco","2007-03-20"
