rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released,description,icon,boxArt,titleScreen,screenshot,rating
1,11240,Castlevania: Symphony of the Night,PlayStation,12,55208,55208,55208,105,0,"Metroidvania, 2D Platforming",Konami,Konami,1997-03-20,"Castlevania: Symphony of the Night is a 1997 action role-playing game developed and published by Konami for the PlayStation and Sega Saturn. It is a direct sequel to Castlevania: Rondo of Blood, set four years after its events. It was directed and produced by Toru Hagihara, with Koji Igarashi acting as assistant director.",https://media.retroachievements.org/Images/085764.png,https://media.retroachievements.org/Images/072390.png,https://media.retroachievements.org/Images/072391.png,https://media.retroachievements.org/Images/072392.png,5
2,10434,Crash Bandicoot,PlayStation,12,41694,41694,41694,46,0,3D Platforming,Naughty Dog,Sony Computer Entertainment,1996-09-09,"Crash Bandicoot is a video game franchise created by Naughty Dog as a flagship title for Sony's PlayStation console. The series began with the development of the first game in 1994, inspired by the emerging capabilities of 3D consoles and games like Donkey Kong Country (1994). The protagonist, initially conceived as Willy the Wombat, evolved into Crash Bandicoot, a goofy, genetically mutated eastern barred bandicoot who escapes the clutches of the mad scientist Doctor Neo Cortex. The original trilogy—completed by Cortex Strikes Back (1997) and Warped (1998)—along with the kart racing game Crash Team Racing (1999), received critical praise for their vibrant visuals and polished gameplay. After Naughty Dog's departure following Crash Team Racing due to creative exhaustion and ownership issues, the franchise transitioned from Sony exclusivity to multiplatform releases under multiple developers and publishers, including Universal Interactive, Vivendi Games, and Activision.",https://media.retroachievements.org/Images/081157.png,https://media.retroachievements.org/Images/027330.png,https://media.retroachievements.org/Images/026513.png,https://media.retroachievements.org/Images/026512.png,4.9
3,11252,Silent Hill,PlayStation,12,29602,29602,29602,66,0,Survival Horror,Team Silent,Konami,1999-02-24,"Haunted PS1 is a community of video game developers, known for their compilations in collaboration with independent developers on the indie games website itch.io. The most notable releases, Demo Discs, are annual compilations of independent games from various genres influenced by the graphics and visual presentation of the PlayStation as well as menus inspired by actual PS1 demo discs or other PlayStation games such as Namco Museum releases on the platform. The Demo Discs series received praise from several websites for their niche theme, variety of titles and novel method of distribution, with a number of games from the releases receiving sufficient attention to lead to further development and commercial release on their own merit.",https://media.retroachievements.org/Images/099257.png,https://media.retroachievements.org/Images/045302.png,https://media.retroachievements.org/Images/017729.png,https://media.retroachievements.org/Images/017730.png,4.8
4,11259,Tekken 3,PlayStation,12,29459,29459,29459,81,0,3D Fighting,Namco,Namco,1998-03-26,"Tekken 3 (鉄拳3) is a 1997 fighting game developed and published by Namco. It is the third installment in the Tekken series and the first game built on the Namco System 12 arcade hardware. The game takes place nineteen years after Tekken 2 (1995) and features a largely new cast of characters, including the debut of several staple characters such as Jin Kazama, Ling Xiaoyu and Bryan Fury, and adds a sidestepping ability to every character. Tekken 3 was ported to the PlayStation in 1998 with additional content, including a beat 'em up mode called Tekken Force.",https://media.retroachievements.org/Images/086821.png,https://media.retroachievements.org/Images/022420.png,https://media.retroachievements.org/Images/022423.png,https://media.retroachievements.org/Images/085035.png,4.8
5,11244,Metal Gear Solid,PlayStation,12,24328,24328,24328,111,0,Stealth,Konami,Konami,1998-09-03,"Metal Gear  is a Japanese franchise of action-adventure stealth games created by Hideo Kojima. Developed and published by Konami, the first game, Metal Gear, was released in 1987 for MSX home computers. The player often takes control of a special forces operative, usually Solid Snake, who is typically assigned the task of finding the titular superweapon, Metal Gear, a bipedal walking tank (mecha) with the ability to launch nuclear weapons.",https://media.retroachievements.org/Images/109501.png,https://media.retroachievements.org/Images/046645.png,https://media.retroachievements.org/Images/051525.png,https://media.retroachievements.org/Images/118033.png,4.8
6,11277,Parasite Eve,PlayStation,12,14482,14482,14482,64,0,"Action RPG, Survival Horror",Square,Squaresoft,1998-03-29,"Parasite Eve is a 1998 role-playing video game developed and published by Square. The game is a sequel to the novel Parasite Eve, written by Hideaki Sena; it is the first game in the Parasite Eve video game series. The story follows New York City police officer Aya Brea over a six-day span in 1997 as she attempts to stop the Eve, a woman who plans to destroy the human race through spontaneous human combustion. Players explore levels set in areas of New York while utilizing a pausable real-time combat system along with several role-playing elements.",https://media.retroachievements.org/Images/108237.png,https://media.retroachievements.org/Images/041333.png,https://media.retroachievements.org/Images/019094.png,https://media.retroachievements.org/Images/032363.png,4.7
7,11279,Spyro the Dragon,PlayStation,12,14367,14367,14367,65,0,,Insomniac Games,Sony Computer Entertainment,1998-09-09,"Spyro the Dragon is a 1998 platform game originally developed by Insomniac Games and published by Sony Computer Entertainment for the PlayStation. The first game in the Spyro series, it stars the title character, a young purple dragon named Spyro, and his dragonfly friend, Sparx, who must journey across the Dragon Kingdom to defeat Gnasty Gnorc, who has overtaken the five dragon Homeworlds by trapping the other dragons in crystal and turning their hoard of gems into an army of minions. Spyro the Dragon is an open-ended 3D platformer, featuring large, sprawling levels in which the player must locate collectable items, among which are gemstones, crystallized dragons, and stolen dragon eggs. Spyro's abilities as a dragon include fire breath, a head-on charging attack, and a mid-air glide which he can use to scale large distances, all of which must be used strategically to find items and defeat enemies.",https://media.retroachievements.org/Images/089382.png,https://media.retroachievements.org/Images/027325.png,https://media.retroachievements.org/Images/107461.png,https://media.retroachievements.org/Images/107462.png,4.7
8,10433,Crash Bandicoot 3: Warped,PlayStation,12,14063,14063,14063,112,0,3D Platforming,Naughty Dog,Sony Computer Entertainment,1998-11-03,"Crash Bandicoot: Warped, known in Europe as Crash Bandicoot 3: Warped, is a 1998 platform game developed by Naughty Dog and published by Sony Computer Entertainment for the PlayStation. It is the third game in the Crash Bandicoot video game series following Crash Bandicoot 2: Cortex Strikes Back.",https://media.retroachievements.org/Images/081159.png,https://media.retroachievements.org/Images/064575.png,https://media.retroachievements.org/Images/064990.png,https://media.retroachievements.org/Images/064992.png,4.7
9,10438,Crash Team Racing,PlayStation,12,13436,13436,13436,117,0,Kart Racing,Naughty Dog,Sony Computer Entertainment,1999-10-19,"Crash Team Racing is a 1999 kart racing game developed by Naughty Dog and published by Sony Computer Entertainment for the PlayStation. It is the fourth installment in the Crash Bandicoot series and the final Crash Bandicoot game to be developed by Naughty Dog. The game's story focuses on the efforts of Crash Bandicoot, Doctor Neo Cortex, and other ragtag team of characters in the Crash Bandicoot series, who must race against the egomaniacal Nitros Oxide to save the Earth from destruction. In the game, players can take control of one of fifteen Crash Bandicoot series characters, though only eight are available at first. During the races, offensive and speed boosting power-ups can be used to gain an advantage.",https://media.retroachievements.org/Images/081550.png,https://media.retroachievements.org/Images/052415.png,https://media.retroachievements.org/Images/084044.png,https://media.retroachievements.org/Images/084045.png,4.6
10,10432,Crash Bandicoot 2: Cortex Strikes Back,PlayStation,12,12604,12604,12604,80,0,3D Platforming,Naughty Dog,Sony Computer Entertainment,1997-11-06,"Crash Bandicoot is a 1996 platform game developed by Naughty Dog and published by Sony Computer Entertainment for the PlayStation. The player controls Crash, a genetically enhanced bandicoot created by the mad scientist Doctor Neo Cortex. The story follows Crash as he aims to foil Cortex's plans for world domination and rescue his girlfriend Tawna, a female bandicoot also created by Cortex. The game is played from a third-person perspective in which the camera trails behind Crash, though some levels feature forward-scrolling and side-scrolling perspectives.",https://media.retroachievements.org/Images/081158.png,https://media.retroachievements.org/Images/057655.png,https://media.retroachievements.org/Images/015079.png,https://media.retroachievements.org/Images/015078.png,4.6
