gameId,gameTitle,md5,romName,labels,patchUrl,region,romFile,romSize
11240,Castlevania: Symphony of the Night,bf7e0e90d8e8d5738c7332bc6af666da,Castlevania - Symphony of the Night (USA),redump,,usa,Castlevania.-.Symphony.of.the.Night.USA.chd,370000000
10434,Crash Bandicoot,35386fd0891e594c9b6d8a4a5baa0027,Crash Bandicoot (USA),redump,,usa,Crash.Bandicoot.USA.chd,445000000
11252,Silent Hill,469d5cf1428d3f6f2234aa5be058f3ec,Silent Hill (USA),redump,,usa,Silent.Hill.USA.chd ,300000000
11259,Tekken 3,5b0009044c8d7724518ff57e35c61af6,Tekken 3 (USA),redump,,usa,Tekken.3.USA.chd ,450000000
11244,Metal Gear Solid,0b0a1d4bd3eb3f009736321ab8349e33,Metal Gear Solid (USA) (Disc 2),redump,,usa,Metal.Gear.Solid.USA.Disc.2.chd ,356000000
11277,Parasite Eve,69562c06a66906577c780fefcb7af204,Parasite Eve (USA) (Disc 1),redump,,usa,Parasite.Eve.USA.Disc.1.chd ,257000000
11279,Spyro the Dragon,3e9eb765a7b2912e60c30f363f0a3574,Spyro the Dragon (USA),redump,,usa,Spyro.the.Dragon.USA.chd ,335000000
10433,Crash Bandicoot 3: Warped,8209150e48e8f9f0e727347472c7e123,Crash Bandicoot - Warped (USA),redump,,usa,Crash.Bandicoot.3.-.Warped.Europe.Australia.EnFrDeEsIt.chd ,443000000
10438,Crash Team Racing,e5e13057a965c79ba7fc2334993baec2,CTR - Crash Team Racing (USA),redump,,usa,CTR.-.Crash.Team.Racing.USA.chd ,303000000
10432,Crash Bandicoot 2: Cortex Strikes Back,ba4f186dfc511de240826fb47affff6e,Crash Bandicoot 2 - Cortex Strikes Back (USA),redump,,usa,Crash.Bandicoot.2.-.Cortex.Strikes.Back.Europe.EnFrDeEsIt.chd ,130000000
11353,Mega Man X4,7f62ae63f828c8d6e67f138b6b0d9c1a,Mega Man X4 (USA) (Undub) (v1.13) (acediez),lostlevel,,usa,Mega.Man.X4.USA.chd ,363000000
11388,Yu-Gi-Oh! Forbidden Memories,b181396315dc9dd3656d5910ea65239b,Yu-Gi-Oh! Forbidden Memories (USA),redump,,usa,"Yu-Gi-Oh.Forbidden.Memories.USA.zip ",200000000
11265,Resident Evil 3: Nemesis,4f8ab98c545757c65978d595f42826e4,Resident Evil 3 - Nemesis (USA),redump,,usa,Resident.Evil.3.-.Nemesis.USA.chd ,352000000
11245,Resident Evil 2: DualShock Ver.,2e78f5817db6bb9dfb0208068d0801ce,Resident Evil 2 - Dual Shock Ver. (USA) (Disc 2),redump,,usa,Resident.Evil.2.-.Dual.Shock.Ver.USA.Disc.2.chd ,369000000
11242,Final Fantasy VII,22e745953a67496b8d2f41e091de3811,Final Fantasy VII (USA) (Disc 2),redump,,usa,Final.Fantasy.VII.USA.Disc.2.chd ,444000000
11317,MediEvil,270c740d1c4192423152df2376cf7ced,MediEvil (USA),redump,,usa,MediEvil.USA.chd ,318000000
11268,Resident Evil: Director's Cut,fef5c16e4aed84e0402807c8b4217b9b,Resident Evil - Director's Cut (USA),redump,,usa,Resident.Evil.-.Directors.Cut.USA.chd ,316000000
11305,R4: Ridge Racer Type 4,c4f1bcc0740e5eabae10b5ce39e53b2b,R4 - Ridge Racer Type 4 (USA),redump,,usa,R4.-.Ridge.Racer.Type.4.USA.chd ,341000000
13444,Pepsiman: The Running Hero,e2dfc0f35f3684145e539964995c72c7,Pepsiman (Japan),redump,,japan,Pepsiman.Japan.chd ,378000000
11368,PaRappa the Rapper,d3d2570a85173eecf2a4f4b584d49a5e,"PaRappa the Rapper (USA) (En,Fr,De,Es,It)",redump,,usa,PaRappa.the.Rapper.USA.EnFrDeEsIt.chd ,445000000
11311,Medal of Honor,9f80389b157a7b8da1c28f92ab223965,Medal of Honor (USA),redump,,usa,Medal.of.Honor.USA.chd ,445000000
14631,Jackie Chan Stuntmaster,92a7171a0322ca07e2529575e3692e12,Jackie Chan Stuntmaster (USA),redump,,usa,Jackie.Chan.Stuntmaster.USA.chd ,394000000
11260,Spyro 2: Ripto's Rage!,5c63af54f937ccd06dcacbfbb1457456,Spyro 2 - Ripto's Rage! (USA),redump,,usa,Spyro.2.-.Riptos.Rage.USA.chd ,337000000
11280,Mega Man Legends,44fc233b415c466986b8ab3de5c0cf1d,Mega Man Legends (USA),redump,,usa,Mega.Man.Legends.USA.chd ,210000000
11329,Einhänder,ad4db1bae09665d36fca6ea653fbf93b,Einhaender (USA),redump,,usa,Einhaender.USA.chd ,316000000
11346,Rayman,c6ff8745d23b4c666622b26ba2022e1f,Rayman (USA),redump,,usa,Rayman.USA.chd ,310000000
11278,Gran Turismo 2,4ea57dce50b86a32f0d5034479c1bc48,Gran Turismo 2 (USA) (Simulation Mode) (Rev 2),redump,,usa,Gran.Turismo.2.USA.Simulation.Mode.Rev.2.chd ,455000000
11264,The Legend of Dragoon,58b2b8f4c62c1d31346802f60e9b415f,"Legend of Dragoon, The (USA) (Disc 1)",redump,,usa,Legend.of.Dragoon.The.USA.Disc.1.chd ,222000000
11320,Gran Turismo,13e08c49ab6e0a39d738913c68a971af,Gran Turismo (USA) (Rev 1),redump,,usa,Gran.Turismo.USA.Rev.1.chd ,381000000
