gameId,gameTitle,achievementId,title,description,points,trueRatio,type,author,badgeUrl,numAwarded,numAwardedHardcore,displayOrder,memAddr
1,Sonic the Hedgehog,9,That Was Easy,Complete the first act of Green Hill Zone.,3,3,progression,Scott,https://media.retroachievements.org/Badge/250336.png,48434,22353,1,0xS00fff9=0_0xH00ffe0=0_0xH00ffe3=0_0xH00fff0=0_0x 00fffa=0_0xH00f601=12_0xH00ff82=0_0x 00fe10=0_0xH00fe1f=0_d0xH00d5c1=0_0xH00d5c1=58
1,Sonic the Hedgehog,16,Take Out the Trash,Complete all three Acts of Green Hill Zone.,5,6,progression,Scott,https://media.retroachievements.org/Badge/622549.png,26251,13971,2,0xS00fff9=0_0xH00ffe0=0_0xH00ffe3=0_0xH00fff0=0_0x 00fffa=0_0xH00f601=12_0xH00ff82=0_0x 00fe10=2_d0xH00f7a6=1_0xH00f7a6=2
1,Sonic the Hedgehog,18,The Floor is Lava,Complete all three Acts of Marble Zone.,10,19,progression,Scott,https://media.retroachievements.org/Badge/250334.png,12865,7125,3,0xS00fff9=0_0xH00ffe0=0_0xH00ffe3=0_0xH00fff0=0_0x 00fffa=0_0xH00f601=12_0xH00ff82=0_0x 00fe10=514_d0xH00f7a6=1_0xH00f7a6=2
1,Sonic the Hedgehog,15,Love Those Springs,Complete all three Acts of Spring Yard Zone.,10,23,progression,Scott,https://media.retroachievements.org/Badge/250345.png,10173,5612,4,0xS00fff9=0_0xH00ffe0=0_0xH00ffe3=0_0xH00fff0=0_0x 00fffa=0_0xH00f601=12_0xH00ff82=0_0x 00fe10=1026_d0xH00f7a6=1_0xH00f7a6=2
1,Sonic the Hedgehog,17,Don't Get Lost,Complete all three Acts of Labyrinth Zone.,10,29,progression,Scott,https://media.retroachievements.org/Badge/461375.png,7732,4173,5,0xS00fff9=0_0xH00ffe0=0_0xH00ffe3=0_0xH00fff0=0_0x 00fffa=0_0xH00f601=12_0xH00ff82=0_0x 00fe10=258_d0xH00f7a6=0_0xH00f7a6=2
1,Sonic the Hedgehog,19,Shooting Star,Complete all three Acts of Star Light Zone.,10,30,progression,Scott,https://media.retroachievements.org/Badge/250340.png,7389,4013,6,0xS00fff9=0_0xH00ffe0=0_0xH00ffe3=0_0xH00fff0=0_0x 00fffa=0_0xH00f601=12_0xH00ff82=0_0x 00fe10=770_d0xH00f7a6=1_0xH00f7a6=2
1,Sonic the Hedgehog,20,Watch Your Back,Complete all three Acts of Scrap Brain Zone.,10,32,progression,Scott,https://media.retroachievements.org/Badge/250331.png,6813,3684,7,0xS00fff9=0_0xH00ffe0=0_0xH00ffe3=0_0xH00fff0=0_0x 00fffa=0_0xH00ff82=0_d0x 00fe10=259_0x 00fe10=1282
1,Sonic the Hedgehog,21,The Final Encounter,Complete Final Zone.,10,32,win_condition,Scott,https://media.retroachievements.org/Badge/250335.png,6755,3616,8,0xS00fff9=0_0xH00ffe0=0_0xH00ffe3=0_0xH00fff0=0_0x 00fffa=0_0xH00ff82=0_d0x 00fe10=1282_O:0x 00fe10=1536_0x 00fe10=1537
1,Sonic the Hedgehog,2,Newbie Collector,Hold 20 rings.,2,2,,Scott,https://media.retroachievements.org/Badge/250352.png,53660,24018,9,0xS00fff9=0_0xH00ffe0=0_0xH00ffe3=0_0xH00fff0=0_0x 00fffa=0_0xH00f601=12_d0xH00fe20<20_0xH00fe20>=20
1,Sonic the Hedgehog,1,Ring Collector,Hold 100 rings.,5,7,,Scott,https://media.retroachievements.org/Badge/250341.png,22563,11981,10,0xS00fff9=0_0xH00ffe0=0_0xH00ffe3=0_0xH00fff0=0_0x 00fffa=0_0xH00f601=12_d0xH00fe20<100_0xH00fe20>=100
