rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
1,1,"Sonic the Hedgehog","Genesis/Mega Drive",1,53953,53953,53953,35,0,"2D Platforming","Sonic Team","Sega","1991-06-11"
2,10,"Sonic the Hedgehog 2","Genesis/Mega Drive",1,19942,19942,19942,32,0,"","","","1992-11-21"
3,55,"Streets of Rage","Genesis/Mega Drive",1,18521,18521,18521,53,0,"Beat 'em Up","Sega","Sega","1991-08-02"
4,3,"Streets of Rage 2","Genesis/Mega Drive",1,18286,18286,18286,22,0,"Beat 'em Up","Ancient, Sega","Sega","1992-12-15"
5,4874,"Sonic 3 & Knuckles","Genesis/Mega Drive",1,12975,12975,12975,53,0,"2D Platforming","Sega, Sonic Team","Sega","1994-10-18"
6,69,"Castlevania: Bloodlines","Genesis/Mega Drive",1,11750,11750,11750,54,0,"2D Platforming","Konami","Konami","1994-03-17"
7,2,"Aladdin","Genesis/Mega Drive",1,11575,11575,11575,21,0,"","","","1993-10-19"
8,53,"Comix Zone","Genesis/Mega Drive",1,11520,11520,11520,41,0,"Beat 'em Up","Sega","Sega","1995-07-01"
9,282,"Teenage Mutant Ninja Turtles: The Hyperstone Heist","Genesis/Mega Drive",1,10670,10670,10670,25,0,"Beat 'em Up","Konami","Konami","1992-12-01"
10,18,"Golden Axe","Genesis/Mega Drive",1,10320,10320,10320,24,0,"Beat 'em Up","Sega","Sega","1989-12-23"
11,21,"Sonic the Hedgehog 3","Genesis/Mega Drive",1,9605,9605,9605,29,0,"2D Platforming","Sega, Sonic Team","Sega","1994-02-02"
12,263,"Michael Jackson's Moonwalker","Genesis/Mega Drive",1,9288,9288,9288,50,0,"Beat 'em Up","Sega","Sega","1990-08-25"
13,9,"Castle of Illusion starring Mickey Mouse","Genesis/Mega Drive",1,8104,8104,8104,20,0,"","Sega","Sega","1990-11-21"
14,24,"Altered Beast","Genesis/Mega Drive",1,7644,7644,7644,26,0,"Beat 'em Up","Sega","Sega","1988-11-27"
15,168,"The Adventures of Batman & Robin","Genesis/Mega Drive",1,6442,6442,6442,13,0,"Run & Gun","Clockwork Tortoise","Sega","1995-08-02"
16,169,"Sonic & Knuckles","Genesis/Mega Drive",1,6243,6243,6243,20,0,"2D Platforming","Sega, Sonic Team","Sega","1994-10-18"
17,11,"Earthworm Jim","Genesis/Mega Drive",1,6242,6242,6242,117,0,"","","","1994-10-01"
18,7,"Gunstar Heroes","Genesis/Mega Drive",1,6214,6214,6214,54,0,"","","","1993-09-09"
19,54,"Streets of Rage 3","Genesis/Mega Drive",1,6187,6187,6187,48,0,"Beat 'em Up","Sega","Sega","1994-06-01"
20,15,"Sonic the Hedgehog Spinball","Genesis/Mega Drive",1,6068,6068,6068,68,0,"","","","1993-11-15"
21,120,"Contra: Hard Corps","Genesis/Mega Drive",1,6063,6063,6063,80,0,"Run & Gun","Konami","Konami","1994-09-15"
22,64,"Shinobi III: Return of the Ninja Master","Genesis/Mega Drive",1,6009,6009,6009,49,0,"Action","Sega","Sega","1993-07-23"
23,212,"Ghouls 'n Ghosts","Genesis/Mega Drive",1,5788,5788,5788,23,0,"","Capcom","Capcom","1989-08-03"
24,480,"Alien Soldier","Genesis/Mega Drive",1,5493,5493,5493,40,0,"Run & Gun","Treasure","Sega","1995-02-24"
25,87,"Golden Axe II","Genesis/Mega Drive",1,5417,5417,5417,32,0,"Beat 'em Up","Sega","Sega","1991-12-27"
26,145,"Columns","Genesis/Mega Drive",1,5347,5347,5347,24,0,"","Sega","Sega","1990-06-30"
27,209,"Dr. Robotnik's Mean Bean Machine","Genesis/Mega Drive",1,5344,5344,5344,34,0,"Falling Block Puzzle","Compile","Sega","1993-11-26"
28,218,"QuackShot starring Donald Duck","Genesis/Mega Drive",1,5309,5309,5309,31,0,"2D Platforming","Sega","Sega","1991-12-19"
29,45,"Batman: The Video Game","Genesis/Mega Drive",1,5258,5258,5258,17,0,"2D Platforming","Sunsoft","Sega","1990-07-27"
30,8,"Ecco the Dolphin","Genesis/Mega Drive",1,4926,4926,4926,41,0,"","","","1992-12-01"
31,68,"Kid Chameleon","Genesis/Mega Drive",1,4843,4843,4843,65,0,"2D Platforming","Sega","Sega","1992-05-29"
32,293,"Thunder Force IV","Genesis/Mega Drive",1,4834,4834,4834,36,0,"Shoot 'em Up","Technosoft | Tecno Soft","Sega","1992-07-24"
33,326,"Sonic 3D Blast","Genesis/Mega Drive",1,4710,4710,4710,85,0,"2.5D Platforming","Sonic Team, Traveller's Tales","Sega","1996-01-01"
34,66,"Splatterhouse 2","Genesis/Mega Drive",1,4350,4350,4350,20,0,"Beat 'em Up","Now Production","Namco","1992-08-03"
35,79,"Mortal Kombat","Genesis/Mega Drive",1,4246,4246,4246,39,0,"2D Fighting","Probe Entertainment","Midway, Arena Entertainment","1993-09-13"
36,40,"World of Illusion starring Mickey Mouse and Donald Duck","Genesis/Mega Drive",1,4243,4243,4243,36,0,"2D Platforming","Sega","Sega","1992-12-14"
37,644,"M.U.S.H.A.: Metallic Uniframe Super Hybrid Armor","Genesis/Mega Drive",1,4117,4117,4117,30,0,"Shoot 'em Up","Compile","Toaplan, Seismic","1990-12-21"
38,20,"Alex Kidd in the Enchanted Castle","Genesis/Mega Drive",1,4082,4082,4082,66,0,"2D Platforming","Overworks","Sega","1989-02-10"
39,494,"Mega Bomberman","Genesis/Mega Drive",1,4025,4025,4025,40,0,"Action","","Sega","1994-11-01"
