gameId,gameTitle,md5,romName,labels,patchUrl,region,romFile,romSize
1,Sonic the Hedgehog,1bc674be034e43c96b86487ac69d9293,"Sonic The Hedgehog (USA, Europe).md",nointro,,usa,"Sonic The Hedgehog (USA, Europe).zip",386937
10,Sonic the Hedgehog 2,8e2c29a1e65111fe2078359e685e7943,Sonic The Hedgehog 2 (World).md,nointro,,world,,
55,Streets of Rage,569cfec15813294a8f0cf88cccc8c151,Streets of Rage (World).md,nointro,,world,,
3,Streets of Rage 2,cb75d5a6919b61efe917bea5762c1cb7,Streets of Rage 2 (USA).md,nointro,,usa,Streets of Rage 2 (USA).zip,1031009
4874,Sonic 3 & Knuckles,c5b1c655c19f462ade0ac4e17a844d10,Sonic & Knuckles + Sonic The Hedgehog 3 (USA) (Lock-on Combination).md,nointro,,usa,Sonic & Knuckles + Sonic The Hedgehog 3 (USA).zip,2540269
69,Castlevania: Bloodlines,0f04fc1b5bf8c9a887abcf14ce96b0cd,Castlevania - Bloodlines (USA).md,nointro,,usa,Castlevania - Bloodlines (USA).zip,707100
2,Aladdin,a6fc42bd5d19e36e5d8a2d8c4f4e9d23,Aladdin (USA).md,nointro,,usa,Aladdin (USA).zip,1174803
53,Comix Zone,5cc88fa866c76cb24c50ec7019daee7e,Comix Zone (USA) (Sega Smash Pack 2).md,nointro,,usa,,
282,Teenage Mutant Ninja Turtles: The Hyperstone Heist,30ede62c8efe3e046e5409758b091eb6,Teenage Mutant Ninja Turtles - The Hyperstone Heist (USA).md,nointro,,usa,Teenage Mutant Ninja Turtles - The Hyperstone Heist (USA).zip,665936
18,Golden Axe,04d2c7da9aac3fbeadf6bb8ccd27b560,Golden Axe (World).md,nointro,,world,,
21,Sonic the Hedgehog 3,d724ea4dd417fe330c9dcfd955c596b2,Sonic The Hedgehog 3 (USA).md,nointro,,usa,,
263,Michael Jackson's Moonwalker,7baf9fb775ee130bd7a4a779cb3bb612,"Michael Jackson's Moonwalker (Japan, USA) (En).md",nointro,,usa,"Michael Jackson's Moonwalker (Japan, USA).zip",336046
9,Castle of Illusion starring Mickey Mouse,24863151abd5baf28c9386d49ffe3c09,"Castle of Illusion Starring Mickey Mouse (USA, Europe).md",nointro,,usa,"Castle of Illusion Starring Mickey Mouse (USA, Europe).zip",398418
24,Altered Beast,1351733931c06014e45f091d25a92e29,"Altered Beast (Japan, USA) (En) (Rev A).md",nointro,,usa,,
168,The Adventures of Batman & Robin,5b1bcb3793262d2d0282b49e0c2ee053,"Adventures of Batman & Robin, The (USA).md",nointro,,usa,"Adventures of Batman & Robin, The (USA).zip",1191650
169,Sonic & Knuckles,4ea493ea4e9f6c9ebfccbdb15110367e,Sonic & Knuckles (World).md,nointro,,world,,
11,Earthworm Jim,074dcf012f3fd11a4c7e624474944d81,Earthworm Jim (USA).md,nointro,,usa,Earthworm Jim (USA).zip,1903311
7,Gunstar Heroes,9a369cfc6355db48677771e345421e0e,Gunstar Heroes (USA).md,nointro,,usa,Gunstar Heroes (USA).zip,661835
54,Streets of Rage 3,2d0b0c8f10edf76131708e874e8d1ee4,Streets of Rage 3 (USA).md,nointro,,usa,Streets of Rage 3 (USA).zip,1681470
15,Sonic the Hedgehog Spinball,841e347b30a6e298ee2b0c722f19fe74,Sonic Spinball (USA).md,nointro,,usa,Sonic Spinball (USA).zip,526878
