gameId,gameTitle,achievementId,title,description,points,trueRatio,type,author,badgeUrl,numAwarded,numAwardedHardcore,displayOrder,memAddr
228,Super Mario World,342,Giddy Up!,Catch a ride with a friend,1,1,,Scott,https://media.retroachievements.org/Badge/46580.png,90196,44691,9,0xH000dc1=1_0xH0013bf>0
228,Super Mario World,341,Unleash The Dragon,Collect 5 Dragon Coins in a level,2,2,,Scott,https://media.retroachievements.org/Badge/46591.png,79802,41128,10,0xH0013bf>0_d0xH001420=4_0xH001420=5
228,Super Mario World,4874,I Believe I Can Fly,Collect a feather,1,1,,UNHchabo,https://media.retroachievements.org/Badge/46577.png,57410,31408,11,0xH000019=2
228,Super Mario World,2251,Another Kind of Flying,Collect a P-Balloon,2,3,,Jaarl,https://media.retroachievements.org/Badge/47083.png,32482,19623,12,0xH0013f3=1_0xH000dda!=0
228,Super Mario World,4933,Floating Through The Clouds,Hijack a Lakitu's cloud,2,3,,UNHchabo,https://media.retroachievements.org/Badge/46571.png,21590,13975,13,0xH0018c2=1
228,Super Mario World,1706,Maximum Finish,Cross the finish line at the end of the stage and collect the max 50 stars,5,14,,jackolantern,https://media.retroachievements.org/Badge/47084.png,12351,8136,14,0xH000100=20_0xH001900=80
228,Super Mario World,2246,Perfect Bonus Stage,Score 8 extra lives in the 'Bonus Game',10,33,,Jaarl,https://media.retroachievements.org/Badge/47085.png,11705,6892,15,0xH000f31=0.20._R:0xH000f31!=0_0xH000f32=0.20._R:0xH000f32!=0_0xH000f33=0.20._R:0xH000f33!=0_0xH000dbe>d0xH000dbe.8._0xH001411=1.20._R:0xH001411=0
228,Super Mario World,46003,Yoshi's a Mommy?,Help Yoshi lay a cloud egg and get 10 happy coins to summon a 1up,5,17,,kdecks,https://media.retroachievements.org/Badge/46668.png,8834,6650,16,0xH0100=20_0xH18da=106_d0xH18e3=9_0xH18e3=10
228,Super Mario World,2253,I is for Icky Iggy,Defeat Iggy Koopa of Castle #1,5,5,progression,Jaarl,https://media.retroachievements.org/Badge/46598.png,59026,32948,17,0xH0013bf=37_0xH000dd5=1
228,Super Mario World,347,Morton Enough,Defeat Morton Koopa Jr. of Castle #2,5,7,,Scott,https://media.retroachievements.org/Badge/46599.png,34559,20131,18,0xH0013bf=7_0xH000dd5=1
228,Super Mario World,2261,Lemmy Down Slowly,Defeat Lemmy Koopa of Castle #3,5,9,,Jaarl,https://media.retroachievements.org/Badge/46600.png,22906,13889,19,0xH0013bf=64_0xH000dd5=1
228,Super Mario World,2262,Ludwig's Last Symphony,Defeat Ludwig von Koopa of Castle #4,5,10,,Jaarl,https://media.retroachievements.org/Badge/46601.png,21694,13053,20,0xH0013bf=14_0xH000dd5=1
