rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
1,228,"Super Mario World","SNES/Super Famicom",3,95174,95174,95174,89,0,"2D Platforming","","Nintendo","1990-11-21"
2,355,"The Legend of Zelda: A Link to the Past","SNES/Super Famicom",3,41287,41287,41287,109,0,"Action-Adventure","","Nintendo","1991-11-21"
3,466,"Donkey Kong Country 2: Diddy's Kong Quest","SNES/Super Famicom",3,26782,26782,26782,80,0,"2D Platforming","Rare","Nintendo","1995-11-21"
4,236,"Super Metroid","SNES/Super Famicom",3,25802,25802,25802,52,0,"Metroidvania","Intelligent Systems","Nintendo","1994-03-19"
5,319,"Chrono Trigger","SNES/Super Famicom",3,25040,25040,25040,76,0,"Turn-Based RPG","Square","Squaresoft","1995-03-11"
6,814,"Kirby Super Star","SNES/Super Famicom",3,19509,19509,19509,57,0,"2D Platforming","HAL Laboratory","HAL Laboratory","1996-03-21"
7,637,"Mega Man X","SNES/Super Famicom",3,19407,19407,19407,57,0,"2D Platforming","Capcom","Capcom","1993-12-17"
8,558,"Super Mario World 2: Yoshi's Island","SNES/Super Famicom",3,18799,18799,18799,63,0,"2D Platforming","","Nintendo","1995-08-05"
9,232,"Super Mario Kart","SNES/Super Famicom",3,18229,18229,18229,47,0,"Kart Racing","","Nintendo","1992-08-27"
10,471,"Super Mario RPG: Legend of the Seven Stars","SNES/Super Famicom",3,16769,16769,16769,100,0,"Turn-Based RPG","Square","Nintendo","1996-03-09"
11,350,"Teenage Mutant Ninja Turtles IV: Turtles in Time","SNES/Super Famicom",3,15931,15931,15931,30,0,"Beat 'em Up","Konami","Konami","1992-07-24"
12,264,"EarthBound","SNES/Super Famicom",3,15391,15391,15391,105,0,"Turn-Based RPG","APE | Creatures, HAL Laboratory, Pax Softnica","Nintendo","1994-08-27"
13,379,"Aladdin","SNES/Super Famicom",3,14302,14302,14302,40,0,"2D Platforming","Capcom","Capcom","1993-11-26"
14,473,"Donkey Kong Country 3: Dixie Kong's Double Trouble!","SNES/Super Famicom",3,13200,13200,13200,84,0,"2D Platforming","Rare","Nintendo","1996-01-01"
15,562,"Super Castlevania IV","SNES/Super Famicom",3,12880,12880,12880,36,0,"2D Platforming","Konami","Konami","1991-10-31"
16,539,"Super Punch-Out!!","SNES/Super Famicom",3,12767,12767,12767,74,0,"Sports - Boxing","Nintendo","Nintendo","1994-10-24"
17,648,"Street Fighter II Turbo: Hyper Fighting","SNES/Super Famicom",3,11003,11003,11003,32,0,"2D Fighting","Capcom","Capcom","1993-07-11"
