gameId,gameTitle,md5,romName,labels,patchUrl,region,romFile,romSize
228,Super Mario World,cdd3c8c37322978ca8669b34bc89c804,Super Mario World (USA).sfc,nointro,,usa,SUPER_MARIO_WORLD.zip,345695
355,The Legend of Zelda: A Link to the Past,608c22b8ff930c62dc2de54bcd6eba72,"Legend of Zelda, The - A Link to the Past (USA).sfc",nointro,,usa,"Legend of Zelda, The - A Link to the Past (USA).zip",702836
466,Donkey Kong Country 2: Diddy's Kong Quest,d323e6bb4ccc85fd7b416f58350bc1a2,"Donkey Kong Country 2 - Diddy's Kong Quest (USA) (En,Fr).sfc",nointro,,usa,"Donkey Kong Country 2 - Diddy's Kong Quest (USA) (En,Fr) (Rev 1).zip",2981626
236,Super Metroid,21f3e98df4780ee1c667b84e57d88675,"Super Metroid (Japan, USA) (En,Ja).sfc",nointro,,usa,"Super Metroid (Japan, USA) (En,Ja).zip",1569844
319,Chrono Trigger,a2bc447961e52fd2227baed164f729dc,Chrono Trigger (USA).sfc,nointro,,usa,Chrono Trigger (USA).zip,3074628
814,Kirby Super Star,cb76ea8ac989e71210c89102d91c6c57,Kirby Super Star (USA).sfc,nointro,,usa,Kirby Super Star (USA).zip,2836221
637,Mega Man X,df1cc0c8c8c4b61e3b834cc03366611c,Mega Man X (USA) (Rev 1).sfc,nointro,,usa,Mega Man X (USA) (Rev 1).zip,938278
558,Super Mario World 2: Yoshi's Island,cb472164c5a71ccd3739963390ec6a50,Super Mario World 2 - Yoshi's Island (USA).sfc,nointro,,usa,SUPER_MARIO_WORLD_2_–_YOSHI’S_ISLAND.zip,1286396
232,Super Mario Kart,7f25ce5a283d902694c52fb1152fa61a,Super Mario Kart (USA).sfc,nointro,,usa,SUPER_MARIO_KART.zip,351251
471,Super Mario RPG: Legend of the Seven Stars,d0b68d68d9efc0558242f5476d1c5b81,Super Mario RPG - Legend of the Seven Stars (USA).sfc,nointro,,usa,Super Mario RPG - Legend of the Seven Stars (U) [!].zip,2690072
350,Teenage Mutant Ninja Turtles IV: Turtles in Time,807009d25eb31559974daa3e39eeccd7,Teenage Mutant Ninja Turtles IV - Turtles in Time (USA).sfc,nointro,,usa,Teenage Mutant Ninja Turtles IV - Turtles in Time (USA).zip,804800
264,EarthBound,a864b2e5c141d2dec1c4cbed75a42a85,EarthBound (USA).sfc,nointro,,usa,EARTHBOUND.zip,2063070
379,Aladdin,8e00910312b30663768d907114d301c2,Aladdin (USA).sfc,nointro,,usa,Aladdin (USA).zip,825030
473,Donkey Kong Country 3: Dixie Kong's Double Trouble!,120abf304f0c40fe059f6a192ed4f947,"Donkey Kong Country 3 - Dixie Kong's Double Trouble! (USA) (En,Fr).sfc",nointro,,usa,"Donkey Kong Country 3 - Dixie Kong's Double Trouble! (USA) (En,Fr).zip",3193579
562,Super Castlevania IV,094f035993e9724647b61ddcba1e9a7a,Super Castlevania IV (USA).sfc,nointro,,usa,SUPER_CASTLEVANIA_IV.zip,845215
539,Super Punch-Out!!,97fe7d7d2a1017f8480e60a365a373f0,Super Punch-Out!! (USA).sfc,nointro,,usa,SUPER_PUNCH-OUT!!.zip,1494483
648,Street Fighter II Turbo: Hyper Fighting,014863e139f5a9e9fc8ecf59a133223b,Street Fighter II Turbo (USA) (Rev 1).sfc,nointro,,usa,STREET_FIGHTER_II_TURBO.zip,1666814
405,Zombies Ate My Neighbors,23c2af7897d9384c4791189b68c142eb,Zombies Ate My Neighbors (USA).sfc,nointro,,usa,ZOMBIES_ATE_MY_NEIGHBORS.zip,602998
470,Super Bomberman,d83699a009a62480a7e7e9f1bb5bff6e,Super Bomberman (USA).sfc,nointro,,usa,Super Bomberman (USA).zip,302946
400,Secret of Mana,10a894199a9adc50ff88815fd9853e19,Secret of Mana (USA).sfc,nointro,,usa,Secret of Mana (USA).zip,1342305
813,Kirby's Dream Land 3,201e7658f6194458a3869dde36bf8ec2,Kirby's Dream Land 3 (USA).sfc,nointro,,usa,KIRBY’S_DREAM_LAND_3.zip,2236436
238,Goof Troop,bb6a1198e291c8ae58e9581a4296ed4d,Goof Troop (USA).sfc,nointro,,usa,GOOF_TROOP.zip,344832
344,Contra III: The Alien Wars,ede82658dafdd6febbfbe6a9c9082500,Contra III - The Alien Wars (USA).sfc,nointro,,usa,Contra III - The Alien Wars (USA).zip,751582
889,Earthworm Jim,25fdebdec0e83132d8f24e9ac5bfc45f,Earthworm Jim (USA).sfc,nointro,,usa,Earthworm Jim (USA).zip,1962521
469,Mega Man 7,301d8c4f1b5de2cd10b68686b17b281a,Mega Man 7 (USA).sfc,nointro,,usa,Mega Man 7 (USA).zip,1400363
629,Mega Man X2,67905b989b00046db06df3434ed79f04,Mega Man X2 (USA).sfc,nointro,,usa,Mega Man X2 (USA).zip,1002109
333,Sunset Riders,1e1b47d5e5b0d9faa5447273a52fc6ea,Sunset Riders (USA).sfc,nointro,,usa,Sunset Riders (USA).zip,769298
341,Final Fantasy VI,544311e104805e926083acf29ec664da,Final Fantasy III (USA) (Rev 1).sfc,nointro,,usa,Final Fantasy III (USA) (Rev 1).zip,2243313
323,Final Fight 3,1288de058352d6f9c3ba146a61581555,Final Fight 3 (USA).sfc,nointro,,usa,Final Fight 3 (USA).zip,1834637
392,Arkanoid: Doh It Again,03d30ca9aaa89738640cf14532ddfe6c,Arkanoid - Doh It Again (USA).sfc,nointro,,usa,Arkanoid - Doh It Again (USA).zip,233142
270,ActRaiser,635d5d7dd2aad4768412fbae4a32fd6e,ActRaiser (USA).sfc,nointro,,usa,ActRaiser (USA).zip,685275
1192,Street Fighter II: The World Warrior,"a5adb1ab3daa665a58ad6ad1111d8f5b
",Street Fighter II (USA).sfc,nointro,,usa,Street Fighter II - The World Warrior (Europe).zip,1320387
1103,Pocky & Rocky,e74e067787723bc54093a9c03f290e5d,Pocky & Rocky (USA).sfc,nointro,,usa,Pocky & Rocky (USA).zip,706042
401,Super Star Wars,744b9d1a382adfabf0515d6d0e5dfed7,Super Star Wars (USA) (Rev 1).sfc,nointro,,usa,Super Star Wars (USA) (Rev 1).zip,873157
300,Castlevania: Dracula X,dc629be2ee515461315cde57210e36c0,Castlevania - Dracula X (USA).sfc,nointro,,usa,Castlevania - Dracula X (U) [!].zip,1265796
1216,Super Ghouls 'n Ghosts,19b2d7a555ecef4c453a819e67e61574,Super Ghouls 'N Ghosts (USA).sfc,nointro,,usa,Super Ghouls 'N Ghosts (USA).zip,667895
582,Ultimate Mortal Kombat 3,0644da71f79d405a22934daa1474cefc,Ultimate Mortal Kombat 3 (USA).sfc,nointro,,usa,ULTIMATE_MORTAL_KOMBAT_3.zip,3446384
887,E.V.O.: Search for Eden,2ffd5027d32f0ec5326981ee1be1ca32,E.V.O. - Search for Eden (USA).sfc,nointro,,usa,E.V.O. - Search for Eden (USA).zip,1209370
1034,Mighty Morphin Power Rangers,c0a6ae7a3cff034232cb23d765bcb36d,Mighty Morphin Power Rangers (USA).sfc,nointro,,usa,Mighty Morphin Power Rangers (USA).zip,1085876
468,Final Fight 2,262616f80a6c194527d41e2c72b61aca,Final Fight 2 (USA).sfc,nointro,,usa,Final Fight 2 (USA).zip,799057
878,The Lion King,6a5b2f9bde72f7d72db7dfe9afd0f47a,"Lion King, The (USA).sfc",nointro,,usa,"Lion King, The (USA).zip",2143498
351,Star Fox,9dce6a9dcbe4e304d67b9e8fd8999e7e,Star Fox (USA).sfc,nointro,,usa,Star Fox (USA).zip,619747
815,Tetris Attack,44bb94606356f1c0965e12bbc50866b3,"Tetris Attack (USA) (En,Ja).sfc",nointro,,usa,"Tetris Attack (USA) (En,Ja).zip",731882
945,Illusion of Gaia,a7c7a76b4d6f6df389bd631757b91b76,Illusion of Gaia (USA).sfc,nointro,,usa,Illusion of Gaia (USA).zip,1648231
237,Rock n' Roll Racing,1978359063c02ad2badd3c0e993aca14,Rock N' Roll Racing (USA).sfc,nointro,,usa,Rock N' Roll Racing (USA).zip,760913
1374,Super Bomberman 4,df33e261104efee409de8f294d80ad6e,Super Bomberman 4 (Japan).sfc,nointro,,japan,Super Bomber Man 4 (Japan).zip,912500
1233,Super Smash T.V.,975074b66b9a993648142e2bcd8a02cf,Super Smash T.V. (USA).sfc,nointro,,usa,Super Smash T.V. (USA).zip,372486
1168,Soul Blazer,83cf41d53a1b94aeea1a645037a24004,Soul Blazer (USA).sfc,nointro,,usa,Soul Blazer (USA).zip,834162
242,Terranigma,d202156549f981f6dafc759575dd6e67,Terranigma (Europe).sfc,nointro,,europe,Terranigma (Europe).zip,2961839
830,The Adventures of Batman & Robin,517a88892164b47c2821c0708ad08b58,"Adventures of Batman & Robin, The (USA).sfc",nointro,,usa,"Adventures of Batman & Robin, The (USA).zip",1425979
436,Blackthorne,ee33097d436b4901a71f7e4c9a5cb409,Blackthorne (USA).sfc,nointro,,usa,Blackthorne (USA).zip,707267
2132,Doom,e218531fe541b05cf44c2667e101d117,Doom (USA).sfc,nointro,,usa,Doom.zip,1352766
340,Wild Guns,94d30063d9b17567d32079e766251569,Wild Guns (USA).sfc,nointro,,usa,Wild Guns (USA).zip,707241
500,Super Bomberman 2,0990cda295bd51587c6e3f173bdadba8,Super Bomberman 2 (USA).sfc,nointro,,usa,Super Bomberman 2 (USA).zip,443093
821,Secret of Evermore,6e9c94511d04fac6e0a1e582c170be3a,Secret of Evermore (USA).sfc,nointro,,usa,Secret of Evermore (USA).zip,2337732
1143,R-Type III: The Third Lightning,cb4a282e8a7bde5e16103c4136f9491e,R-Type III (USA).sfc,nointro,,usa,R-Type III (USA).zip,969434
3594,Super Bomberman 3,681343f71b5fce4f7e960f3091e56026,Super Bomberman 3 (Europe).sfc,nointro,,europe,Super Bomberman 3 (Europe).zip,844760
1179,Spider-Man & Venom: Maximum Carnage,c4f2fe9b3ec4fc5c9c5d1b8ae1bd8054,Spider-Man - Venom - Maximum Carnage (USA).sfc,nointro,,usa,Spider-Man & Venom - Maximum Carnage (USA).zip,1207644
1025,Metal Warriors,1b1282421d39a473f634958c28dca0d4,Metal Warriors (USA).sfc,nointro,,usa,Metal Warriors (USA).zip,996580
309,Super Street Fighter II: The New Challengers,02c9c7e7914f9808487704e122554d4c,Super Street Fighter II (USA).sfc,nointro,,usa,Super Street Fighter II - The New Challengers (USA).zip,2832914
279,Killer Instinct,c9b698cf98f1aede7a87c1e449384632,Killer Instinct (USA) (Rev 1).sfc,nointro,,usa,Killer Instinct (USA) (Rev 1).zip,3207054
1198,Super Adventure Island,206e6c5c05ac1a83dde21400325a4a7d,Super Adventure Island (USA).sfc,nointro,,usa,Super Adventure Island (USA).zip,532327
985,Kirby's Avalanche,bddd943215857ad77ea48d2a1a138ec8,Kirby's Avalanche (USA).sfc,nointro,,usa,Kirby's Avalanche (USA).zip,539283
645,Captain Commando,fa1aca992a1bbe309651fff64541866f,Captain Commando (USA).sfc,nointro,,usa,Captain Commando (USA).zip,1315124
593,NBA Jam,808b6d01ca9c7e1938541f55eb71f73c,NBA Jam (USA) (Rev 1).sfc,nointro,,usa,NBA Jam (USA).zip,1264620
1156,SimCity,23715fc7ef700b3999384d5be20f4db5,SimCity (USA).sfc,nointro,,usa,SimCity (USA).zip,303742
498,Ninja Gaiden Trilogy,a641a33a829154f656ca00ab1ef35500,Ninja Gaiden Trilogy (USA).sfc,nointro,,usa,NINJA_GAIDEN_TRILOGY.zip,846269
982,The King of Dragons,1ca6d04fce9ffde7de781398a18da88c,King of Dragons (USA).sfc,nointro,,usa,King of Dragons (USA).zip,1281146
385,Animaniacs,ff08ca993882bfe2ab860865897bfe77,Animaniacs (USA).sfc,nointro,,usa,Animaniacs (USA).zip,761592
963,Joe & Mac: Caveman Ninja,cc902de2efa54df4d2c27acd7f4a6bf4,Joe & Mac (USA).sfc,nointro,,usa,Joe & Mac (USA).zip,627983
3227,Mario no Super Picross,34255c940ffdafa25235a7b3c9093186,Mario no Super Picross (Japan).sfc,nointro,,japan,Mario no Super Picross (1995)(Nintendo-Ape-Jupiter)(JP).zip,397688
1444,Super Bomberman 5: Gold Cartridge,772ca292857d5bcf1f8776009fa1d280,Super Bomberman 5 (Japan) (Caravan Event Ban).sfc,nointro,,japan,Super Bomber Man 5 (Japan) (Caravan Event Ban).zip,1181998
934,Harvest Moon,c9bf36a816b6d54aed79d43a6c45111a,Harvest Moon (USA).sfc,nointro,,usa,Harvest Moon (USA).zip,926375
286,International Superstar Soccer Deluxe,345ddedcd63412b9373dabb67c11fc05,International Superstar Soccer Deluxe (USA).sfc,nointro,,usa,International Superstar Soccer Deluxe (USA).zip,1496097
292,Knights of the Round,e2c47c0754f874b2b16d5f06be3dbe34,Knights of the Round (USA).sfc,nointro,,usa,Knights of the Round (USA).zip,1061739
867,Cybernator,8376c1bfac08f6fbbf99f26abaee6da0,Cybernator (USA).sfc,nointro,,usa,Cybernator (USA).zip,791173
342,Gradius III,ea30c4f341f6b7a6e290699460ba6c51,Gradius III (USA).sfc,nointro,,usa,Gradius III (USA).zip,433344
1032,Mighty Morphin Power Rangers: The Fighting Edition,bdfcd02f353bc9745dda4556fb7db08a,Mighty Morphin Power Rangers - The Fighting Edition (USA).sfc,nointro,,usa,Mighty Morphin Power Rangers - The Fighting Edition (USA).zip,938193
409,Hagane: The Final Conflict,44cb6bbbb233bc5d602d54fd418232f1,Hagane - The Final Conflict (USA).sfc,nointro,,usa,Hagane - The Final Conflict (USA).zip,1209668
868,Darius Twin,0e7c6781a6ae15d36a5885a03c132898,Darius Twin (USA).sfc,nointro,,usa,Darius Twin (USA).zip,408639
647,Mortal Kombat II,9873c45bf77eb06262e9b8d8c4b841b4,Mortal Kombat II (USA).sfc,nointro,,usa,Mortal Kombat II (USA).zip,2647321
