id,title,description,icon,boxArt,titleScreen,screenshot
228,"Super Mario World","Super Mario World is a platform game developed and published by Nintendo for the Super Nintendo Entertainment System (SNES). It was released in Japan in 1990, in North America in 1991 and PAL territories in 1992. The player controls Mario on his quest to save Princess Peach and Dinosaur Land from the series' antagonist Bowser and the Koopalings. The gameplay is similar to that of earlier Super Mario games; players control Mario through a series of levels in which the goal is to reach the goalpost at the end. Super Mario World introduces Yoshi, a ridable dinosaur who can eat enemies and spit some of them out as projectiles.","","","",""
355,"The Legend of Zelda: A Link to the Past","The Legend of Zelda: A Link to the Past is a 1991 action-adventure game developed and published by Nintendo for the Super Nintendo Entertainment System (SNES). It is the third game in The Legend of Zelda series, following 1987's Zelda II: The Adventure of Link, and is the first entry in the series to be released for the SNES.","https://media.retroachievements.org/Images/059119.png","https://media.retroachievements.org/Images/022504.png","https://media.retroachievements.org/Images/072051.png","https://media.retroachievements.org/Images/072052.png"
466,"Donkey Kong Country 2: Diddy's Kong Quest","Donkey Kong Country 2: Diddy's Kong Quest  is a 1995 platform game developed by Rare and published by Nintendo for the Super Nintendo Entertainment System (SNES). It was released on 21 November 1995 in Japan, 4 December in North America, and 14 December in Europe. It is the second installment of the Donkey Kong Country series and the sequel to Donkey Kong Country (1994).","https://media.retroachievements.org/Images/107029.png","https://media.retroachievements.org/Images/060825.png","https://media.retroachievements.org/Images/000162.png","https://media.retroachievements.org/Images/000163.png"
236,"Super Metroid","Super Metroid is a 1994 action-adventure game developed by Nintendo and Intelligent Systems and published by Nintendo for the Super Nintendo Entertainment System (SNES). It is the third Metroid game, following the Game Boy game Metroid II: Return of Samus (1991). The player controls bounty hunter Samus Aran, who travels to planet Zebes to retrieve an infant Metroid creature stolen by the Space Pirate leader Ridley.","","","",""
319,"Chrono Trigger","Chrono Trigger is a 1995 role-playing video game developed and published by Square for the Super Nintendo Entertainment System. It is the first installment of the Chrono series. The game's plot follows a group of adventurers who travel through time to prevent a global catastrophe.","https://media.retroachievements.org/Images/093950.png","https://media.retroachievements.org/Images/000222.png","https://media.retroachievements.org/Images/106517.png","https://media.retroachievements.org/Images/036180.png"
814,"Kirby Super Star","Kirby Super Star, released as Kirby's Fun Pak in PAL regions, is a 1996 anthology platform game developed by HAL Laboratory and published by Nintendo for the Super Nintendo Entertainment System. It is part of the Kirby series of video games by HAL Laboratory. The game was advertised as a compilation featuring eight games: seven short subsections with the same basic gameplay, and two minigames.","https://media.retroachievements.org/Images/076409.png","https://media.retroachievements.org/Images/003681.png","https://media.retroachievements.org/Images/004908.png","https://media.retroachievements.org/Images/004909.png"
637,"Mega Man X","Mega Man X is a series of action-platform games released by Capcom. It is a sub-series of the Mega Man franchise previously developed by the same group, with Keiji Inafune acting as one of the main staff members. The first game was released on 17 December 1993 in Japan on the Super Famicom and the following month on the Super NES in North America. Most of the sequels were ported to Microsoft Windows. The gameplay introduces new elements to the Mega Man franchise in the form of Mega Man's successor X, including his new skills and power-ups in the form of armors while retaining the ability to decide which boss to fight first. The franchise is also known for its replay value, in which certain choices and optional content can influence both gameplay and storylines, allowing the player to experience alternate scenarios.","","","",""
558,"Super Mario World 2: Yoshi's Island","Super Mario World 2: Yoshi's Island is a 1995 platform game developed and published by Nintendo for the Super Nintendo Entertainment System (SNES). The player controls Yoshi dinosaurs on their quest to reunite baby Mario with his brother Luigi, who has been kidnapped by the wizard Kamek. Yoshi runs and jumps to reach the end of the level while solving puzzles and collecting items with Mario's help.","https://media.retroachievements.org/Images/061087.png","https://media.retroachievements.org/Images/112063.png","https://media.retroachievements.org/Images/038811.png","https://media.retroachievements.org/Images/038813.png"
232,"Super Mario Kart","Super Mario Kart is a 1992 kart racing game developed and published by Nintendo for the Super Nintendo Entertainment System (SNES). The first game in the Mario Kart series, it was released in Japan on August 27, 1992, North America on September 1, 1992, the United Kingdom in October 1992, and Europe on January 21, 1993. Selling 8.76 million copies worldwide, the game went on to become the fourth best-selling SNES game of all time. Super Mario Kart was re-released on the Wii's Virtual Console in 2009, on the Wii U's Virtual Console in 2013, and on the New Nintendo 3DS's Virtual Console in 2016. Nintendo re-released Super Mario Kart in 2017 as part of the company's Super NES Classic Edition.","https://media.retroachievements.org/Images/069326.png","https://media.retroachievements.org/Images/053513.png","https://media.retroachievements.org/Images/070108.png","https://media.retroachievements.org/Images/000726.png"
471,"Super Mario RPG: Legend of the Seven Stars","Super Mario RPG: Legend of the Seven Stars is a 1996 role-playing video game developed by Square and published by Nintendo for the Super Nintendo Entertainment System (SNES). It was the final Mario game for the SNES, and was directed by Chihiro Fujioka and Yoshihiko Maekawa, produced by Shigeru Miyamoto, and scored by Yoko Shimomura.","https://media.retroachievements.org/Images/085860.png","https://media.retroachievements.org/Images/026395.png","https://media.retroachievements.org/Images/001537.png","https://media.retroachievements.org/Images/001538.png"
