id,title,url,console,description,mainImage,screenshots,genre,releaseDate,publisher,region,size,downloadCount,numberOfReviews,averageRating,downloadLink,directDownloadLink,romType
40194,ADVANCE GTA,https://romsfun.com/roms/game-boy-advance/advance-gta.html,game-boy-advance,"Liberty City is the place where you will take the first steps in the journey to conquer GTA. While trying to escape the crime city to rebuild his life, there have been incidents with the character Mike. His close friend Vinnie became the victim of a bombing, and this made him crave revenge. The pain and loss will be offset by the tasks of destroying the building or defeating the enemies assigned by the system. Of course, all the necessary equipment or weapons will be able to be obtained in one of two ways: buying in the game’s store, or looting from others. On an unspecified aspect, there are 100 mysterious packages, or supplies, that are hidden everywhere. They play an essential role in helping characters survive in a society full of injustice and danger. Sometimes, the police will mobilize armed forces to catch players, or when a Gangster team hunts, it will be difficult without a machine gun or explosive bombs.",https://romsfun.com/wp-content/uploads/2019/10/26-October-200.jpg,,Action|Simulator,26 October 200,Rockstar Games,US,4.74MB,"1,912",5,3.9,https://romsfun.com/download/advance-gta-37117,,
40038,Advance Wars,https://romsfun.com/roms/game-boy-advance/advance-wars.html,game-boy-advance,"Orange Star and Blue Moon are two neighboring countries that have a harmonious relationship and always help each other to develop altogether. But then, a terrible thing happened when the Blue Moon shogun retired, and Olaf is the one that took over. He is a wicked and greedy person that has always wanted to invade Orange Star to expand the territory, and furthermore, dominates all of the four neighboring countries. Shortly after that, the war began. Olaf’s army seems to be well-prepared in terms of power and supplies. The player is a military advisor of one of the 4 in danger nations, who is going to fulfill the missions against all enemies to bring peace and safety to all citizens.",https://romsfun.com/wp-content/uploads/2019/04/AdvanceWarsUSA-image.jpg,https://romsfun.com/wp-content/uploads/2019/04/Advance-Wars.jpg|https://romsfun.com/wp-content/uploads/2019/04/Advance-Wars1.jpg|https://romsfun.com/wp-content/uploads/2019/04/Advance-Wars2.jpg,Racing|Strategy,2001,Nintendo,EU|US,3.16MB,"5,354",3,3.6,https://romsfun.com/download/advance-wars-2622,,Fan Translation
40093,Advance Wars 2: Black Hole Rising,https://romsfun.com/roms/game-boy-advance/advance-wars-2-black-hole-rising.html,game-boy-advance,"Anyone who missed the first version of “Advance Wars” probably won’t really be regret, as this second release is developed independently with an easy-to-grasp storyline, along with many technical improvements. An overview of the whole gameplay, which is typical for strategy games, so that players will not take too much time to understand how it works. With a series of lands being occupied by enemies, you will need to bring your army to regain what belongs to. However, victory or defeat largely depends on the control and deployment of units of troops in each attack. In a shorter, more concise way is the tactical elements.
The remainder of the unknown is soldiers. They have special abilities, gaining a particular advantage on the battlefield. For example, tanks and artillery have a more significant and further range of influence, while warriors dressed in blue and wearing helmets can cause all machines to stop working whenever they approach. A bit of comparison, the Army force is almost redesigned, with a cuter, crowder, and more dangerous style.",https://romsfun.com/wp-content/uploads/2019/04/Advance-Wars-2-Black-Hole-Rising.jpg,https://romsfun.com/wp-content/uploads/2019/04/advance-wars-2-black-hole-rising1.jpg|https://romsfun.com/wp-content/uploads/2019/04/advance-wars-2-black-hole-rising2.jpg|https://romsfun.com/wp-content/uploads/2019/04/advance-wars-2-black-hole-rising3.jpg,Strategy,2003,Nintendo,EU|US,4.64MB,"3,110",1,3.3,https://romsfun.com/download/advance-wars-2-black-hole-rising-3171,,
40117,Aladdin GBA,https://romsfun.com/roms/game-boy-advance/aladdin-gba.html,game-boy-advance,"Jafar is known as an evil warlock. Although he is considered to be the most loyal adviser to the king of Agrabah, he has devoted his life to research power and attempted to acquire the universe, far beyond Agrabah. In order to achieve this, he needed an oil lamp in the tomb called the Cave of Wonders. But it contains a lot of dangers and requires “the diamond in the rough” to safely get in.",https://romsfun.com/wp-content/uploads/2019/10/aladdin-gba-gameboy-advance.jpg,,Adventure|Platformer,2005,Capcom,EU|JP|US,2.31MB,"2,754",1,4.5,https://romsfun.com/download/aladdin-gba-33096,,
40127,Animal Crossing,https://romsfun.com/roms/game-boy-advance/animal-crossing-2.html,game-boy-advance,,http://romsfun.com/wp-content/uploads/2025/05/Animal-Crossing.png,,Adventure,,,,30.40KB,"2,592",10,4,https://romsfun.com/download/animal-crossing-2-229060,,
40174,Astro Boy: Omega Factor,https://romsfun.com/roms/game-boy-advance/astro-boy-omega-factor.html,game-boy-advance,"Astro is a half-robot boy. After his unfortunate death from an accident, Dr. Phoenix reincarnated him by using modern technology to transplant the robot cells into his body. Therefore, he has an eternal love for humanity and considers his own destiny is to end the evils. Sharaku is a man who devised a plot to use Death Mask to conquer the whole world. He kidnapped Duke Red to activate the terminal device and harnessed its power. As the plan goes succeed, a series of devastating robots were born to destroy the lives. Astro is summoned to restore internal peace to the Earth. But it all happened so fast, and he needed a Death Mask to make the device to reverse time.",https://romsfun.com/wp-content/uploads/2019/05/astro-boy-omega-factor.jpg,https://romsfun.com/wp-content/uploads/2019/05/astro-boy-omega-factor1.jpg|https://romsfun.com/wp-content/uploads/2019/05/astro-boy-omega-factor2.jpg|https://romsfun.com/wp-content/uploads/2019/05/astro-boy-omega-factor3.jpg,Arcade,2004,SEGA,EU|US,5.01MB,"2,060",1,4.5,https://romsfun.com/download/astro-boy-omega-factor-4360,,
40172,Banjo-Kazooie – Grunty’s Revenge,https://romsfun.com/roms/game-boy-advance/banjo-kazooie-gruntys-revenge.html,game-boy-advance,"Ending the fact of the previous version, the evil witch Gruntilda has been sealed under a giant mountain, and will probably never escape. The estimate was correct, but Banjo and Kazooie did not expect that her soul was still possible. The emergence of the mad scientist Klungo has brought a great danger. He invented a destructive robot and merged into Gruntilda’s soul. Soon, the world will quickly be overwhelmed by pain. In the face of the helplessness of the two heroes, the kind warlock Mumbo Jumbo offers hope when it comes to time travel plans. He will bring the duo back to a time in the past where they can destroy bad guys forever.",https://romsfun.com/wp-content/uploads/2019/04/bigbox-banjo-kazooie-gruntys-revenge.jpg,https://romsfun.com/wp-content/uploads/2019/04/44392-Banjo_Kazooie_Gruntys_Revenge_UVenom-7-thumb.png|https://romsfun.com/wp-content/uploads/2019/04/44392-Banjo_Kazooie_Gruntys_Revenge_UVenom-6-thumb-1.jpg|https://romsfun.com/wp-content/uploads/2019/04/44392-Banjo_Kazooie_Gruntys_Revenge_UVenom-1449605939-thumb-1.png,Arcade,2003,THQ Inc.,EU|US,4.10MB,"2,083",2,4.2,https://romsfun.com/download/banjo-kazooie-gruntys-revenge-3665,,
40197,Batman: Vengeance,https://romsfun.com/roms/game-boy-advance/batman-vengeance.html,game-boy-advance,"In Gotham City, criminals are working again, and they are even stronger than before. While trying to stop the underground transactions, the criminal couple Joker and Harley Quinn have always appeared and stopped him promptly. In one event, a woman named Mary was kidnapped. Batman tracked down and rescued her at the chemical factory, then discovered the existence of a strange chemical being illegally produced. However, this woman said that her little son Toby was kidnapped by Joker, forcing him to go to the Gotham Bridge. Although he knew that this clown had devised a plan of death, the dark knight still decided to come. Then, he learned that all the stories were drawn by him. After the battle, he returned to the factory with the mystery of the strange chemical. The analysis said that those chemicals own the ability to transform any type of plant into a ghostly living creature. Who stands behind this deadly plan? And what is his ultimate goal at all?",https://romsfun.com/wp-content/uploads/2019/04/Batman-Vengeance.jpg,https://romsfun.com/wp-content/uploads/2019/04/Batman-Vengeance1.jpg|https://romsfun.com/wp-content/uploads/2019/04/Batman-Vengeance2.jpg|https://romsfun.com/wp-content/uploads/2019/04/Batman-Vengeance3.jpg,Action,2001,Ubisoft,EU|US,5.15MB,"1,888",1,4.8,https://romsfun.com/download/batman-vengeance-3540,,
40114,Beyblade G-Revolution,https://romsfun.com/roms/game-boy-advance/beyblade-g-revolution.html,game-boy-advance,"Continuing the story from the previous version, BEYBLADE G-REVOLUTION begins with the BEYBLADE world championship event. The Bladebreakers, Kai, Ray, and Max, left the team and went their separate ways to claim the championship. Hilary, Kenny, Daichi Sumeragi and Hiro Granger joined Tyson to form a new team, while Max joined PPB All Starz, Ray joined White Tiger X and Kai joined Blitzkrieg Boys. The championship has been a third of the race when Tyson noticed the return of Boris (from BEGA) and announced that they would win the championship at all costs. At that time, the Beyblade stores temporarily stopped operating and refused to serve people, only supplying the necessary parts for BEGA. This caused some difficulties for Tyson’s team, but soon, Kenny came up with a solution that was to use hard metal and some other accessories to adjust the Beyblade of the team. However, they still lack a member. At that moment, Kai’s team was eliminated by the Brooklyn team. Kai returned to the Bladebreakers and the tournament continued to be extremely intense.",https://romsfun.com/wp-content/uploads/2019/09/62866front-1693.jpg,,Role-Playing,Unknown,Unknown,EU|JP|US,1.97MB,"2,815",16,4.3,https://romsfun.com/download/beyblade-g-revolution-30821,,
40152,Boktai: The Sun is in Your Hand,https://romsfun.com/roms/game-boy-advance/boktai-the-sun-is-in-your-hand.html,game-boy-advance,"The story begins when the civilization period begins to collapse. People are slowly dying to the curse, disease, and a new Age of Darkness begins. There, creatures called Immortals to grow and turn living people into prey for meat. Many cities are covered by death, including San Miguel and Istrakan, where Immortals hunters have also been defeated. But it seems that God has mercy for the suffering of humankind that he sends a ray of hope. It is Django, a boy who possesses a weapon created by sunlight: Gun Del Sol.",https://romsfun.com/wp-content/uploads/2019/05/boktai-the-sun-is-in-your-hand.jpg,https://romsfun.com/wp-content/uploads/2019/05/boktai-the-sun-is-in-your-hand2.png|https://romsfun.com/wp-content/uploads/2019/05/boktai-the-sun-is-in-your-hand1.png,Role-Playing,2003,Konami,EU|JP|US,8.17MB,"2,232",1,3.7,https://romsfun.com/download/boktai-the-sun-is-in-your-hand-4647,,
