id,title,url,console,description,mainImage,screenshots,genre,releaseDate,publisher,region,size,downloadCount,numberOfReviews,averageRating,downloadLink,directDownloadLink,romType
30196,007: The World is Not Enough,https://romsfun.com/roms/game-boy-color/007-the-world-is-not-enough-2.html,game-boy-color,"007 – The World Is Not Enough is a first-person shooter video game, released by Electronic Arts publisher to fans in 2000. The game is the seventh installment in the game The World Is Not Enough and is the sequel to the title 006 – The World Is Not Enough. Coming to 007 – The World Is Not Enough, players will play the role of James Bond to prevent ongoing terrorism in the waters of Istanbul. The game has two main game modes, single-player and multiplayer (up to 4 players can be played together). 007 – The World Is Not Enough has 14 missions in the main mode (singleplayer). All missions take place on the railroads, in the context of the player slipping down from a mountain. The missions of the game are mainly to destroy the AI-controlled enemies that appear on the tracks, but sometimes the player must also rescue hostages or collect a few items. Before entering a game screen, players are allowed to choose the difficulty level that suits their abilities.",https://romsfun.com/wp-content/uploads/2019/09/007-The-World-Is-Not-Enough.jpg,,Action,"September 11, 2001",Electronic Arts,US,624.60KB,618,2,5,https://romsfun.com/download/007-the-world-is-not-enough-2-20338,,
30127,1942,https://romsfun.com/roms/game-boy-color/1942.html,game-boy-color,"1942 is a shooting strategy game developed by Capcom and released to fans in 1984. It can be considered this is the first game in the series of games for the 9x generation. The game is set in World War II, so players will be able to take part in extremely dramatic air battles. Initially, your character will be in control of the Lockheed P – 38 Lightning (dubbed “Super Ace”). Using your plane to shoot down enemy aircraft, and moving quickly to avoid enemy fire will help you win the battle. In addition, players can upgrade the combat power by tame a small number of small aircraft to become your minions. Winning each match, the character will receive a number of equipment upgrades and aircraft repairs.",https://romsfun.com/wp-content/uploads/2019/09/1942.jpg,,Fighting,December 1984,Capcom,EU|US,57.15KB,836,2,3,https://romsfun.com/download/1942-20394,,Fan Translation
30141,"Adventures Of The Smurfs, The",https://romsfun.com/roms/game-boy-color/adventures-of-the-smurfs-the.html,game-boy-color,"Adventures Of The Smurfs is a video game adventure simulation genre, released by the publisher Infogrames to fans in 2000. Coming to Adventures Of The Smurfs, players will transform into Handy Smurf and participate in creating a Machine to rescue his friends. The game takes players through sixteen extremely interesting levels. Each level has a different nature, map, gameplay. They can take place in a river, a mine or in an airplane, … The game is mainly interacted from the first perspective (from above), although the player can rotate the camera to see from other perspectives. But actually, the game is only optimal when viewed from the first perspective. With fun graphics and cute sounds, Adventures Of The Smurfs is definitely a good choice for those who want to relieve stress after hours of work and stressful work.",https://romsfun.com/wp-content/uploads/2019/09/Adventures-Of-The-Smurfs-The.png,,Action|Adventure,2001,Infogrames,EU,347.28KB,773,1,5,https://romsfun.com/download/adventures-of-the-smurfs-the-20471,,
30058,Aladdin,https://romsfun.com/roms/game-boy-color/aladdin-3.html,game-boy-color,,http://romsfun.com/wp-content/uploads/2019/09/Aladdin.jpg,,Action|Adventure,"November 7, 2000",Ubisoft,EU|US,364.48KB,"1,418",1,3.7,https://romsfun.com/download/aladdin-3-20406,,
30070,Alice In Wonderland,https://romsfun.com/roms/game-boy-color/alice-in-wonderland.html,game-boy-color,"Alice In Wonderland is an adventure, role-playing game developed by Digital Eclipse Software and released to fans in 2000. The game was built on the famous cartoon film of the same name. However, some segments have been changed to suit the most immersive adventure game. Entering the game, transforming into Alice, the player will set foot in the white rabbit to come to Wonderland – a vivid, shimmering world with hundreds of different species of plants and animals invested in different designs. Throughout the game, most of the main character’s missions are to search for certain items. However, Wonderland is too large to find them will not be easy. Therefore, players can interact with other characters to find their own suggestions.",http://romsfun.com/wp-content/uploads/2019/09/11841front-2145.jpg,,Adventure,"October 4, 2000",Nintendo,EU|US,786.48KB,"1,233",2,4,https://romsfun.com/download/alice-in-wonderland-21208,,
30043,Alone in the Dark: The New Nightmare,https://romsfun.com/roms/game-boy-color/alone-in-the-dark-the-new-nightmare.html,game-boy-color,,https://romsfun.com/wp-content/uploads/2019/09/Alone-In-The-Dark-The-New-Nightmare-gbc-poster.jpg,,Action,"May 18, 2001",Infogrames,EU|US,2.32MB,"1,860",2,4.3,https://romsfun.com/download/alone-in-the-dark-the-new-nightmare-20460,,
30102,Antz,https://romsfun.com/roms/game-boy-color/antz.html,game-boy-color,,https://romsfun.com/wp-content/uploads/2019/09/1527front-2162.jpg,,Platformer,1999,"Atari, SA",EU|US,332.65KB,982,1,5,https://romsfun.com/download/antz-21400,,
30212,Army Men 2,https://romsfun.com/roms/game-boy-color/army-men-2.html,game-boy-color,"Army Men 2 is an action genre video game, released by 3DO to its fans in 1999. The game is a sequel to the Army Men game. Still, with the gameplay quite similar to its predecessor, Army Men 2 was slightly modified by the battle scene to help it become more realistic. The game begins in a small kitchen space, with a team of plastic soldiers. After a long struggle, the group of soldiers found a way to help them move into the plastic world. The game then changes its setting to forest, battle, etc. in the plastic world. With quite funny and unique gameplay, Army Men 2 will be a good entertainment game, helping players clear up after school and work effectively.",https://romsfun.com/wp-content/uploads/2019/09/40289front-2175.jpg,,Action|Other,"October 31, 2000",The 3DO Company,US,568.53KB,584,1,4,https://romsfun.com/download/army-men-2-20667,,
30075,Atlantis: The Lost Empire,https://romsfun.com/roms/game-boy-color/atlantis-the-lost-empire.html,game-boy-color,"Atlantis – The Lost Empire is an RPG adventure game. Although only built on the 2D platform with images is quite simple but still can not deny their vividness. Sound is also a good point in this version thanks to the extremely successful recordings of the cast iron voice actors. Entering each level, the character will be provided with a copy that leads to the location of the treasure. In order to quickly find the treasure, the character can interact with the professors he meets on the way. Your character will be able to move quickly while jumping, also the strong points of the player. After finding the treasure, the eagle seeks consciousness inherent to the player. Successfully answering a puzzle, the treasure will belong to you, and the new map will also be unlocked.",https://romsfun.com/wp-content/uploads/2019/09/13463front-2180.jpg,,Action|Platformer,"June 14, 2001",THQ,EU|US,649.97KB,"1,184",1,5,https://romsfun.com/download/atlantis-the-lost-empire-21261,,
30173,"Austin Powers – Oh, Behave!",https://romsfun.com/roms/game-boy-color/austin-powers-oh-behave.html,game-boy-color,"Austin Powers – Oh, Behave! is an action game developed by Tarantula Studio and released to fans in 2000. Eye-catching graphics with well-designed, vivid and sharp graphics, along with the extremely lively, suitable sound for the in-game segments is a great point for this version. The game will only allow you to fight individually with lots of mini-games like “International Man in a Platform Game”, “Mojo Maze,” “Domination.” “International Man in a Platform Game” is the mini-game that attracts the most players. Transform into Austin Power, you will be involved and the action-adventure takes place as a movie. In addition, during the adventure of obstacles, enemies may appear to make the game difficult. Domination is the simplest part of playing just asking your character to guess and flip the opponent’s chips. If the guess hits the color, the chip will be yours.",https://romsfun.com/wp-content/uploads/2019/09/40382front-2183.jpg,,Action,3 November 2000,Rockstar Games,EU|US,1.82MB,685,1,5,https://romsfun.com/download/austin-powers-oh-behave-21484,,
