id,title,url,console,description,mainImage,screenshots,genre,releaseDate,publisher,region,size,downloadCount,numberOfReviews,averageRating,downloadLink,directDownloadLink,romType
50202,007: Quantum of Solace,https://romsfun.com/roms/nintendo-ds/007-quantum-of-solace-3.html,nintendo-ds,,https://romsfun.com/wp-content/uploads/2019/10/007-Quantum-of-Solace-nintendo-ds.jpg,,Other,31st Oct 2008 (UK/EU),Activision,EU,23.1 M,"2,445",2,3.4,https://romsfun.com/download/007-quantum-of-solace-3-34033,,
50197,Ace Attorney Investigations 2,https://romsfun.com/roms/nintendo-ds/ace-attorney-investigations-2.html,nintendo-ds,,https://romsfun.com/wp-content/uploads/2019/10/Ace-Attorney-Investigations-2-nintendo-ds.jpg,,Adventure|Puzzle,3rd Feb 2011 (JPN),Capcom,JP,34.16 M,"2,509",17,3.5,https://romsfun.com/download/ace-attorney-investigations-2-33943,,
50163,Ace Attorney Investigations: Miles Edgeworth,https://romsfun.com/roms/nintendo-ds/ace-attorney-investigations-miles-edgeworth.html,nintendo-ds,,https://romsfun.com/wp-content/uploads/2019/10/Ace-Attorney-Investigations-Miles-Edgeworth.jpg,,Adventure|Puzzle,"16th Feb 2010 (USA)
19th Feb 2010 (UK/EU)
28th May 2009 (JPN)",Capcom,EU|JP|US,28.3 M,"2,904",5,3.7,https://romsfun.com/download/ace-attorney-investigations-miles-edgeworth-33674,,
50106,Advance Wars: Dual Strike,https://romsfun.com/roms/nintendo-ds/advance-wars-dual-strike-2.html,nintendo-ds,"The matches in Advance Wars have become very popular in many different platforms. For each version, it has certain customization, Advance Wars: Dual Strike will give players a chance to lead their new Commanding Officers. In these battles, your opponent will be the Black Hole Army. Huge battles with diverse scales and battles will make players change the face of war.",https://romsfun.com/wp-content/uploads/2019/04/advance_wars_dual_strike.jpg,https://romsfun.com/wp-content/uploads/2019/04/advance_wars_dual_strike1.jpg|https://romsfun.com/wp-content/uploads/2019/04/advance_wars_dual_strike2.jpg|https://romsfun.com/wp-content/uploads/2019/04/advance_wars_dual_strike3.jpg|https://romsfun.com/wp-content/uploads/2019/04/advance_wars_dual_strike4.jpg|https://romsfun.com/wp-content/uploads/2019/04/advance_wars_dual_strike5.jpg|https://romsfun.com/wp-content/uploads/2019/04/advance_wars_dual_strike6.jpg|https://romsfun.com/wp-content/uploads/2019/04/advance_wars_dual_strike7.jpg|https://romsfun.com/wp-content/uploads/2019/04/advance_wars_dual_strike8.jpg|https://romsfun.com/wp-content/uploads/2019/04/advance_wars_dual_strike9.jpg|https://romsfun.com/wp-content/uploads/2019/04/advance_wars_dual_strike10.jpg,Strategy,"22nd Aug 2005 (USA)
30th Sep 2005 (UK/EU)
23rd Jun 2005 (JPN)",Nintendo,EU|US,22 M,"3,934",1,4,https://romsfun.com/download/advance-wars-dual-strike-2-347,,
50136,Aliens: Infestation,https://romsfun.com/roms/nintendo-ds/aliens-infestation.html,nintendo-ds,"Before zombies became a hot topic for many game makers to exploit, Alien was always the focus. They deserve a tough opponent because all these creatures are full of imagination, the power can be customized according to the author’s idea and the infinite amount of space. Such games, about ten years ago, were one of the most popular products. If you join Alien with shooting games, it will surely create the most compelling battle, making the player always get caught up in the whirls of war that can’t be stopped.",https://romsfun.com/wp-content/uploads/2019/04/aliens_infestation.jpg,https://romsfun.com/wp-content/uploads/2019/04/aliens_infestation1.jpg|https://romsfun.com/wp-content/uploads/2019/04/aliens_infestation2.jpg|https://romsfun.com/wp-content/uploads/2019/04/aliens_infestation3.jpg|https://romsfun.com/wp-content/uploads/2019/04/aliens_infestation4.jpg|https://romsfun.com/wp-content/uploads/2019/04/aliens_infestation5.jpg,Action,"11th Oct 2011 (USA)
30th Sep 2011 (UK/EU)",SEGA,EU|US,9.47 M,"3,296",1,4,https://romsfun.com/download/aliens-infestation-805,,
50056,Animal Crossing: Wild World,https://romsfun.com/roms/nintendo-ds/animal-crossing-wild-world.html,nintendo-ds,"Cross over to a brand new world!

Much of the cast of the original Animal Crossing returns, including animals of all shapes and personality types: K.K. Slider, Tom Nook, Blathers, Mr. Resetti and more. There are also a number of new characters.

Players move into village, buy a small house and then do whatever they want. Time and seasons pass as they do in the real world, so there will always be something unpredictable happening. Collect or buy items, talk to neighbors, go fishing, catch bugs, dig up treasure or hang out with human friends.",https://romsfun.com/wp-content/uploads/2023/07/Animal-Crossing-Wild-World.jpg,,Life Simulation,"November 23, 2005",Nintendo,China,27.4 M,"5,516",18,3.8,https://romsfun.com/download/animal-crossing-wild-world-113887,,
50077,Apollo Justice: Ace Attorney,https://romsfun.com/roms/nintendo-ds/apollo-justice-ace-attorney.html,nintendo-ds,,https://romsfun.com/wp-content/uploads/2019/10/Apollo-Justice-Ace-Attorney.jpg,,Adventure|Role-Playing,"12th Feb 2008 (USA)
12th Apr 2007 (JPN)",Capcom,JP|US,48.24 M,"4,696",2,4,https://romsfun.com/download/apollo-justice-ace-attorney-33729,,
50191,Art Academy,https://romsfun.com/roms/nintendo-ds/art-academy.html,nintendo-ds,"Art is one of the best entertainment aspects of people because it makes them feel relaxed and increase their creativity. Therefore, since ancient times, people want to learn to draw a lot, but until the present era, everything is more comfortable. Children who are brought to drawing centers or drawing schools in universities are also favored. But if you want to learn amateur, serving entertainment needs is too simple. You only need to download applications that can be acquired online. For example, if you have a DS device, try out Art Academy 2010, which was released at Nintendo.",https://romsfun.com/wp-content/uploads/2019/04/art_academy.jpg,https://romsfun.com/wp-content/uploads/2019/04/art_academy1.jpg|https://romsfun.com/wp-content/uploads/2019/04/art_academy2.jpg|https://romsfun.com/wp-content/uploads/2019/04/art_academy3.jpg|https://romsfun.com/wp-content/uploads/2019/04/art_academy4.jpg|https://romsfun.com/wp-content/uploads/2019/04/art_academy5.jpg|https://romsfun.com/wp-content/uploads/2019/04/art_academy6.jpg|https://romsfun.com/wp-content/uploads/2019/04/art_academy7.jpg,Arcade,"25th Oct 2010 (USA)
6th Aug 2010 (UK/EU)",Nintendo,EU,21.65 M,"2,569",2,4.3,https://romsfun.com/download/art-academy-1208,,
50072,Assassin’s Creed II: Discovery,https://romsfun.com/roms/nintendo-ds/assassins-creed-ii-discovery.html,nintendo-ds,"Assassin’s Creed is one of the successful series Ubisoft’s best. Until now, the latest part of the game has been working very well. Although there are conflicting opinions that the Odyssey has lost the essence of this game, it is still a good part of the game. If you want to try something interesting in this series, you should probably try Assassin’s Creed, which is released on the DS operating system. Assassin’s Creed II: Discovery 2009 is perhaps an interesting game to experiment with. It is still a part of the cannon in the series, but it doesn’t get too much involved with other parts. So you can freely play without fear of being disappointed by the lack of knowledge of the previous sections. Even if you’re done playing this part and returning to the latest parts of the series, it’s still normal.",https://romsfun.com/wp-content/uploads/2019/04/assassins_creed_ii_discovery.jpg,,Action,"17th Nov 2009 (USA)
20th Nov 2009 (UK/EU)",Ubisoft,EU|US,46.77 M,"5,025",4,4.3,https://romsfun.com/download/assassins-creed-ii-discovery-2015,,
50129,Avalon Code,https://romsfun.com/roms/nintendo-ds/avalon-code.html,nintendo-ds,"At the time of 2009, there are many famous role-playing products that are watched and played by fans all over the world. The best examples such as Final Fantasy, Dragon Quest, even names like Nostalgia and Sands of Destruction also made the race to the hearts of fans become much more fierce. That point Rising Star Games must make a difference to attract the attention of players worldwide. Avalon Code is the key to breaking the game market.",http://romsfun.com/wp-content/uploads/2019/04/avalon_code.jpg,https://romsfun.com/wp-content/uploads/2019/04/avalon_code1.jpg|https://romsfun.com/wp-content/uploads/2019/04/avalon_code2.jpg|https://romsfun.com/wp-content/uploads/2019/04/avalon_code3.jpg|https://romsfun.com/wp-content/uploads/2019/04/avalon_code4.jpg|https://romsfun.com/wp-content/uploads/2019/04/avalon_code5.jpg|https://romsfun.com/wp-content/uploads/2019/04/avalon_code6.jpg|https://romsfun.com/wp-content/uploads/2019/04/avalon_code7.jpg|https://romsfun.com/wp-content/uploads/2019/04/avalon_code8.jpg,Role-Playing,"10th Mar 2009 (USA)
12th Mar 2010 (UK/EU)
1st Nov 2008 (JPN)",Rising Star Games,EU|US,89.86 M,"3,456",3,4.1,https://romsfun.com/download/avalon-code-1842,,Undub
50168,Avatar: The Game,https://romsfun.com/roms/nintendo-ds/avatar-the-game.html,nintendo-ds,"A long time ago, Avarta was well known in the entertainment world as the first film to be produced with 3D graphics and widely released across the globe. Thanks to this, at that time, it was one of the most exciting topics. The follower products are welcome everywhere. Indeed, the game market is reclaiming everything from this brand. Avatar: The Game is a genuine product, with official permission.",https://romsfun.com/wp-content/uploads/2019/04/avatar.jpg,,Action|Adventure,"4th Dec 2009 (USA)
4th Dec 2009 (UK/EU)",Ubisoft,EU|US,31.39 M,"2,868",1,3.8,https://romsfun.com/download/avatar-the-game-409,,
50154,Bakugan: Battle Brawlers,https://romsfun.com/roms/nintendo-ds/bakugan-battle-brawlers-4.html,nintendo-ds,"Dominate the Arena!

Answer the call to BRAWL and enter an alternative universe where good and evil fight for domination! Only you can decide the fate of the galaxy.

Start off as an untrained Bakugan Brawler and must fight your way to the top of the heap. Combining the drama and story of the cartoon series with the skill and strategy of the card game, players will become completely immersed in this unique title. Throw Bakugan cards onto the battlefield, and then try to carefully shoot your Bakugan balls onto the cards to unleash their monstrous powers. When two Bakugans stand on the same card, they transform into gigantic creatures and fight to the finish!",https://romsfun.com/wp-content/uploads/2023/07/Bakugan-Battle-Brawlers.jpg,,Action|Adventure|Strategy,"October 20, 2009",Activision,,100.99 M,"2,976",0,4.1,https://romsfun.com/download/bakugan-battle-brawlers-4-114125,,
