id,title,url,console,description,mainImage,screenshots,genre,releaseDate,publisher,region,size,downloadCount,numberOfReviews,averageRating,downloadLink,directDownloadLink,romType
10170,1943: The Battle of Midway,https://romsfun.com/roms/nes/1943-the-battle-of-midway.html,nes,"Continuing to use the context of World War II, the manufacturer Capcom released 1943: The Battle of Midway (NES) in 1987 with many new combat missions. The setting of the game will take place during the fierce phase of the Pacific Front during World War 2 between the US Navy and the Imperial Japanese Navy. The main battle area is taking place at Midway Atoll. Your mission in this version is to search for combined fleets of the Imperial Japanese Navy and destroy them. Along the way, you will face many fighters or destroyers, cruisers of fascist Japan. There are 16 missions in the game for you to complete; each task will set a specific goal for you to destroy (strategic bombers or battleships). In particular, the first 11 missions will bring air battles, and bosses are different battleships. And the last five levels, you will have to fight the protection aircraft and bomber squadrons to complete the game.",http://romsfun.com/wp-content/uploads/2019/09/1943_The_Battle_of_Midway_flyer.png,,Other,June 1987,Capcom,Spanish|US,71.51 K,"1,406",1,4.3,https://romsfun.com/download/1943-the-battle-of-midway-29737,,Fan Translation
10085,Adventure Island,https://romsfun.com/roms/nes/adventure-island-2.html,nes,"Adventure Island is a special action-adventure game released by Nintendo in 1988. The game revolves around the events of Master Higgins on a journey across the southern Pacific Ocean. With the mission of rescuing Princess Tina from the Evil Witch Doctor, he must go through many dangers and difficulties along the way. The mission succeeds when Master Higgins defeats the evil Evil Witch Doctor and frees Tina.",http://romsfun.com/wp-content/uploads/2019/09/Adventureisland.jpg,,Platformer,"NA: September 1988
EU: 1992",Hudson Soft,EU|US,38.2 K,"2,275",1,3.8,https://romsfun.com/download/adventure-island-2-29625,https://github.com/huethiboss96/nes_cdn/raw/refs/heads/main/Adventure%20Island%20II%20(USA).zip,Hack
10092,Adventure Island 3,https://romsfun.com/roms/nes/adventure-island-3.html,nes,"With great success from the previous version of Adventure Island series games, Hudson Soft games continue issuing Adventure Island 3 with many changes. The game retains action gameplay combined with realistic images promising to bring interesting experiences to players.",http://romsfun.com/wp-content/uploads/2019/09/Adventure_Island_3_Boxart.jpg,,Platformer,"July 31, 1992
September, 1992",Hudson Soft,Spanish|US,138.57 K,"2,129",2,5,https://romsfun.com/download/adventure-island-3-29900,https://github.com/huethiboss96/nes_cdn/raw/refs/heads/main/Adventure%20Island%203%20(USA).zip,Fan Translation
10060,Adventure Island II,https://romsfun.com/roms/nes/adventure-island-ii.html,nes,"With new journeys, Adventure Island II will take you to an adventure and rescue the abducted girlfriend of Master Higgins. The main protagonist’s girlfriend is Tina, she was captured by the Evil Witch Doctor’s minions. Knowing this information, Master Higgins needs to travel through eight different islands to rescue his girlfriend. Each island will bring different enemies and traps to overcome. Besides, each island will be controlled by a tycoon. To defeat the boss and overcome the mysterious islands above, you will receive the help of 4 loyal dinosaurs (they will help those who dare to defeat those who oppress them).",http://romsfun.com/wp-content/uploads/2019/09/Adventure_Island_2_box_art.jpg,,Platformer,"NA: February, 1991
JP: April 26, 1991
EU: July 22, 1992",Hudson Soft,EU|JP|Spanish|US,125.86 K,"2,965",2,3.9,https://romsfun.com/download/adventure-island-ii-29797,,Fan Translation
10187,Adventures of Lolo,https://romsfun.com/roms/nes/adventures-of-lolo-5.html,nes,"Prince Lolo of Gentryland visited Eden, a country of Love and Peace, and enjoyed many pleasant days with Princess Lala of Eden. But one day, Egger, the King of Darkness, who had an evil plot to conquer Eden, spirited the Princess away before Lolo’s eyes. After a long and difficult journey, Lolo has come to the evil Castle of the Labyrinth. The castle is guarded by an army of evil monsters led by Egger, the King of Darkness. Can Lolo solve the seemingly endless series of mazes and save Lala? Lolo is not gifted with strength or agility, but has great courage and patience. Now the battle of wits begins. Good luck, Lolo!",http://romsfun.com/wp-content/uploads/2023/08/Adventures-of-Lolo.jpg,,Action|Puzzle,"April 1, 1989","HAL America, HAL Laboratory",,35.4 K,"1,338",1,5,https://romsfun.com/download/adventures-of-lolo-5-147773,,Fan Translation
10201,Airwolf,https://romsfun.com/roms/nes/airwolf.html,nes,,http://romsfun.com/wp-content/uploads/2019/09/NesAirwolf.jpg,,Other,"NA: June 1989
EU: 1990",Acclaim,English|EU|US,59.38 K,"1,264",1,5,https://romsfun.com/download/airwolf-30684,,Fan Translation
10116,Akumajou Special: Boku Dracula-kun,https://romsfun.com/roms/nes/akumajou-special-boku-dracula-kun.html,nes,"Kid Dracula is an unusual side-scroller from Konami. It’s a parody of the company’s popular Castlevania series. Instead of playing as a member of the Belmont family, you play as young Kid Dracula. You have been woken up from your sleep by the evil demon Garamos, who’s been wrecking havoc in Dracula’s Castle. It’s up to you to stop him by traveling across several different locations, including Dracula’s Castle, New York, the Sea, and Egypt! Gameplay consists of very standard jump and shoot platform action. As you progress through the 8 levels, you gain the ability to perform spells, such as turning into a bat, and different special attacks, such as a spread / homing attack. You can also spend the coins you get when you defeat enemies in one of several mini-games that show up when you’re between levels.",http://romsfun.com/wp-content/uploads/2023/08/Akumajou-Special-Boku-Dracula-kun.jpg,,Action|Platform,"October 19, 1990",Konami,English|North America|Spanish,143.11 K,"1,746",1,5,https://romsfun.com/download/akumajou-special-boku-dracula-kun-147803,,Fan Translation
10051,Aladdin,https://romsfun.com/roms/nes/aladdin-5.html,nes,"Reprenant les différentes séquences du film d’animation de Disney, Aladdin sur NES permet de retrouver tous les personnages de l’histoire. Ce jeu de plates-formes propose effectivement de suivre Aladdin des rues d’Agrabah aux couloirs du palais royal en passant bien sûr par la célèbre caverne aux merveilles. Le Génie est aussi de la partie et permet de gagner des bonus.",http://romsfun.com/wp-content/uploads/2023/09/Aladdin-1.jpg,,Action|Platformer,,,,202.74 K,"3,380",2,4.1,https://romsfun.com/download/aladdin-5-152917,,Fan Translation
10148,Alfred Chicken,https://romsfun.com/roms/nes/alfred-chicken.html,nes,,https://romsfun.com/wp-content/uploads/2019/09/Alfred_Chicken_cover.jpg,,Platformer,"EU: 1993
NA: February 1994",Mindscape,EU|US,73.16 K,"1,543",1,4.3,https://romsfun.com/download/alfred-chicken-31090,,Fan Translation
10185,Alien 3,https://romsfun.com/roms/nes/alien-3-3.html,nes,,http://romsfun.com/wp-content/uploads/2019/09/Alien3_game_cover_art.jpg,,Platformer,October 1992,LJN,EU|Spanish|US,79.18 K,"1,342",1,4.5,https://romsfun.com/download/alien-3-3-30629,,Fan Translation
10086,Arkanoid,https://romsfun.com/roms/nes/arkanoid.html,nes,"Arkanoid is an interesting puzzle game that will test the player’s perseverance through various stages. Coming to this game, you will have to skillfully control Vaus to keep the ball from falling to the ground and destroy all the bricks on the playground. Besides, this game also prepares many items with unique features to support players in different challenges.",http://romsfun.com/wp-content/uploads/2019/09/Arkanoid_arcadeflyer.png,,Other,1986,"Romstar, Taito",Spanish|US,19.97 K,"2,252",1,5,https://romsfun.com/download/arkanoid-29919,,Fan Translation
10129,Armed for Battle,https://romsfun.com/roms/nes/armed-for-battle.html,nes,"Armed for Battle is a unique, real time strategy (RTS) game. The game allows you to build up your own kingdom, seek out enemies in the surrounding land, and send out battle parties to invade, all while fending off incoming attacks.",https://romsfun.com/wp-content/uploads/2023/08/Armed-for-Battle.jpg,,Strategy,"July 1, 2014",INFINITE NES LIVES,,5.41 K,"1,649",0,4,https://romsfun.com/download/armed-for-battle-147911,,
10193,Athena,https://romsfun.com/roms/nes/athena.html,nes,,https://romsfun.com/wp-content/uploads/2019/09/Athena_game_flyer.png,,Platformer,NA: August 1987,SNK,US,70.66 K,"1,284",1,4.2,https://romsfun.com/download/athena-30515,,Fan Translation
10190,Back to the Future,https://romsfun.com/roms/nes/back-to-the-future.html,nes,"Inspired by a movie of the same name, Back to the Future is an adventure-type game released in 1989. The plot revolves around the character Marty McFly, a schoolboy who accidentally returned to the past when his car powered by nuclear fuel. Waking up in 1955, Marty McFly met Lorraine Baines and George McFly, who were the parents of the young boy. The sudden appearance of Marty McFly has made the boy’s future can be changed. Marty McFly’s mother liked the boy and Marty McFly’s father was constantly bullied and beaten by friends. Marty McFly must try to do everything to protect his father from Biff and his bullying team as well as reject his mother’s affection and help the two lovers. If not, it would all be meaningless when the family photo he brought would disappear and he would not be able to return to the present. The story ends when Marty McFly succeeds and returns to reality.",http://romsfun.com/wp-content/uploads/2019/09/BackToTheFutureNESBoxart.jpg,,Adventure,September 1989,LJN,EU,35.67 K,"1,303",2,3,https://romsfun.com/download/back-to-the-future-30034,,Fan Translation
10050,Balloon Fight,https://romsfun.com/roms/nes/balloon-fight.html,nes,"The challenges of Balloon Fight are relatively simple, participating in this game, you will enjoy the fun balloons battle. Characters will be equipped with 2 balloons and use them to fly into the air. Enemies are also equipped with balloons like you. Therefore, you have the duty to destroy the opponent’s balloons and ensure the safety of 2 balloons of the character. When a balloon of a character explodes, the movement range of the character will be limited. In particular, 2 balloons are destroyed together, the character will be deducted 1 life (the game will provide 3 lives when starting the challenge). Each enemy is successfully destroyed and dropped into the water, a balloon will fly up. Once there, you just need to destroy the balloons to get more bonus points.",http://romsfun.com/wp-content/uploads/2019/09/BalloonFightnesboxart.jpg,,Action,"JP: January 22, 1985
NA: June 1986
PAL: March 12, 1987",Nintendo,EU|Spanish|US,15.55 K,"3,409",3,4.7,https://romsfun.com/download/balloon-fight-29740,,Fan Translation
10150,Baseball,https://romsfun.com/roms/nes/baseball-3.html,nes,"Baseball is a simple baseball video game made by Nintendo in 1983 for the Nintendo Family Computer, making it one of the first games released for the Famicom. It was later one of the NES’s 18 launch titles when it was released in 1985 in the United States. As in real baseball, the object of the game is to score the most runs. Up to two players are supported. Each player can select from one of six teams. Although there is no difference between them other than uniform color, they are meant to represent the six members of the Japanese Central League.",http://romsfun.com/wp-content/uploads/2023/08/Baseball.jpg,,Sports,"December 7, 1983",Nintendo,English|Japan|Spanish,16.73 K,"1,530",1,5,https://romsfun.com/download/baseball-3-148005,,Fan Translation
10049,Batman,https://romsfun.com/roms/nes/batman.html,nes,"As a game with the main character as a superhero, Batman is a famous game developed by Sunsoft. The game is built on an existing storyline. The game is set in the people of Gotham City are actively planning for the 200th-anniversary festival. After falling into a chemical vat, Jack Napier became the evil Joker. He persecuted people in the city by spreading DDID Nerve Gas poison gas around the town. In that critical situation, Batman is the only one capable of freeing the city from the Joker threat. When Batman was young, his parents were killed by Joker. With profound hatred for the crimes committed by the Joker, Batman wants to use all his power to rescue the city and avenge his parents. With special weapons and mobility, he will have to defeat all enemies and destroy the various devices that Joker has set before coming to the final battle with the Joker in Gotham church.",http://romsfun.com/wp-content/uploads/2019/09/Batman_NES_game.jpg,,Platformer,"JP: December 22, 1989
NA: February 13, 1990
EU: September 14, 1990",SunSoft,EU|JP|US,152.63 K,"3,447",1,4.2,https://romsfun.com/download/batman-29468,,Fan Translation
