id,romId,title,url,image,console,downloadCount,size,romType
110355,110060,WipEout Portable Collection,https://romsfun.com/roms/playstation-portable/wipeout-portable-collection.html,https://romsfun.com/wp-content/uploads/2025/06/WipEout-Portable-Collection.jpg,WipEout Portable Collection,628,430.13 M,
110356,110060,Tactics Ogre: Let Us Cling Together: One Vision,https://romsfun.com/roms/playstation-portable/tactics-ogre-let-us-cling-together-one-vision.html,https://romsfun.com/wp-content/uploads/2024/06/Tactics-Ogre-Let-Us-Cling-Together-One-Vision-300x212.jpg,Tactics Ogre: Let Us Cling Together: One Vision,748,972 M,
110357,110060,Mega Man – Maverick Hunter X,https://romsfun.com/roms/playstation-portable/mega-man-maverick-hunter-x.html,https://romsfun.com/wp-content/uploads/2019/08/Mega-Man-Maverick-Hunter-X-psp-poster-300x520.jpg,Mega Man – Maverick Hunter X,"8,328",409.69 M,
110358,110060,Final Fantasy Tactics: The War of the Lions (Omega),https://romsfun.com/roms/playstation-portable/final-fantasy-tactics-the-war-of-the-lions-omega.html,https://romsfun.com/wp-content/uploads/2025/11/FFT-RM-Box-1-300x501.jpg,Final Fantasy Tactics: The War of the Lions (Omega),96,185.79 M,
110359,110060,Grand Theft Auto – Vice City Stories,https://romsfun.com/roms/playstation-portable/grand-theft-auto-vice-city-stories.html,https://romsfun.com/wp-content/uploads/2019/08/Grand-Theft-Auto-Vice-City-Stories-300x384.png,Grand Theft Auto – Vice City Stories,"61,599",863.91 M,
110360,110060,Grand Theft Auto: Sindacco Chronicles,https://romsfun.com/roms/playstation-portable/grand-theft-auto-sindacco-chronicles.html,https://romsfun.com/wp-content/uploads/2024/06/Grand-Theft-Auto-Sindacco-Chronicles-300x515.jpg,Grand Theft Auto: Sindacco Chronicles,498,796.75 MB,
110799,110134,WipEout Portable Collection,https://romsfun.com/roms/playstation-portable/wipeout-portable-collection.html,https://romsfun.com/wp-content/uploads/2025/06/WipEout-Portable-Collection.jpg,WipEout Portable Collection,632,430.13 M,
110800,110134,Tactics Ogre: Let Us Cling Together: One Vision,https://romsfun.com/roms/playstation-portable/tactics-ogre-let-us-cling-together-one-vision.html,https://romsfun.com/wp-content/uploads/2024/06/Tactics-Ogre-Let-Us-Cling-Together-One-Vision-300x212.jpg,Tactics Ogre: Let Us Cling Together: One Vision,750,972 M,
110801,110134,Mega Man – Maverick Hunter X,https://romsfun.com/roms/playstation-portable/mega-man-maverick-hunter-x.html,https://romsfun.com/wp-content/uploads/2019/08/Mega-Man-Maverick-Hunter-X-psp-poster-300x520.jpg,Mega Man – Maverick Hunter X,"8,340",409.69 M,
110802,110134,Final Fantasy Tactics: The War of the Lions (Omega),https://romsfun.com/roms/playstation-portable/final-fantasy-tactics-the-war-of-the-lions-omega.html,https://romsfun.com/wp-content/uploads/2025/11/FFT-RM-Box-1-300x501.jpg,Final Fantasy Tactics: The War of the Lions (Omega),96,185.79 M,
110803,110134,Grand Theft Auto – Vice City Stories,https://romsfun.com/roms/playstation-portable/grand-theft-auto-vice-city-stories.html,https://romsfun.com/wp-content/uploads/2019/08/Grand-Theft-Auto-Vice-City-Stories-300x384.png,Grand Theft Auto – Vice City Stories,"61,637",863.91 M,
110804,110134,Grand Theft Auto: Sindacco Chronicles,https://romsfun.com/roms/playstation-portable/grand-theft-auto-sindacco-chronicles.html,https://romsfun.com/wp-content/uploads/2024/06/Grand-Theft-Auto-Sindacco-Chronicles-300x515.jpg,Grand Theft Auto: Sindacco Chronicles,509,796.75 MB,
110691,110116,WipEout Portable Collection,https://romsfun.com/roms/playstation-portable/wipeout-portable-collection.html,https://romsfun.com/wp-content/uploads/2025/06/WipEout-Portable-Collection.jpg,WipEout Portable Collection,644,430.13 M,
110692,110116,Tactics Ogre: Let Us Cling Together: One Vision,https://romsfun.com/roms/playstation-portable/tactics-ogre-let-us-cling-together-one-vision.html,https://romsfun.com/wp-content/uploads/2024/06/Tactics-Ogre-Let-Us-Cling-Together-One-Vision-300x212.jpg,Tactics Ogre: Let Us Cling Together: One Vision,750,972 M,
110693,110116,Mega Man – Maverick Hunter X,https://romsfun.com/roms/playstation-portable/mega-man-maverick-hunter-x.html,https://romsfun.com/wp-content/uploads/2019/08/Mega-Man-Maverick-Hunter-X-psp-poster-300x520.jpg,Mega Man – Maverick Hunter X,"8,340",409.69 M,
110694,110116,Final Fantasy Tactics: The War of the Lions (Omega),https://romsfun.com/roms/playstation-portable/final-fantasy-tactics-the-war-of-the-lions-omega.html,https://romsfun.com/wp-content/uploads/2025/11/FFT-RM-Box-1-300x501.jpg,Final Fantasy Tactics: The War of the Lions (Omega),96,185.79 M,
110695,110116,Grand Theft Auto – Vice City Stories,https://romsfun.com/roms/playstation-portable/grand-theft-auto-vice-city-stories.html,https://romsfun.com/wp-content/uploads/2019/08/Grand-Theft-Auto-Vice-City-Stories-300x384.png,Grand Theft Auto – Vice City Stories,"61,683",863.91 M,
110696,110116,Grand Theft Auto: Sindacco Chronicles,https://romsfun.com/roms/playstation-portable/grand-theft-auto-sindacco-chronicles.html,https://romsfun.com/wp-content/uploads/2024/06/Grand-Theft-Auto-Sindacco-Chronicles-300x515.jpg,Grand Theft Auto: Sindacco Chronicles,509,796.75 MB,
110115,110020,WipEout Portable Collection,https://romsfun.com/roms/playstation-portable/wipeout-portable-collection.html,https://romsfun.com/wp-content/uploads/2025/06/WipEout-Portable-Collection.jpg,WipEout Portable Collection,632,430.13 M,
110116,110020,Tactics Ogre: Let Us Cling Together: One Vision,https://romsfun.com/roms/playstation-portable/tactics-ogre-let-us-cling-together-one-vision.html,https://romsfun.com/wp-content/uploads/2024/06/Tactics-Ogre-Let-Us-Cling-Together-One-Vision-300x212.jpg,Tactics Ogre: Let Us Cling Together: One Vision,750,972 M,
110117,110020,Mega Man – Maverick Hunter X,https://romsfun.com/roms/playstation-portable/mega-man-maverick-hunter-x.html,https://romsfun.com/wp-content/uploads/2019/08/Mega-Man-Maverick-Hunter-X-psp-poster-300x520.jpg,Mega Man – Maverick Hunter X,"8,340",409.69 M,
110118,110020,Final Fantasy Tactics: The War of the Lions (Omega),https://romsfun.com/roms/playstation-portable/final-fantasy-tactics-the-war-of-the-lions-omega.html,https://romsfun.com/wp-content/uploads/2025/11/FFT-RM-Box-1-300x501.jpg,Final Fantasy Tactics: The War of the Lions (Omega),96,185.79 M,
110119,110020,Grand Theft Auto – Vice City Stories,https://romsfun.com/roms/playstation-portable/grand-theft-auto-vice-city-stories.html,https://romsfun.com/wp-content/uploads/2019/08/Grand-Theft-Auto-Vice-City-Stories-300x384.png,Grand Theft Auto – Vice City Stories,"61,637",863.91 M,
110120,110020,Grand Theft Auto: Sindacco Chronicles,https://romsfun.com/roms/playstation-portable/grand-theft-auto-sindacco-chronicles.html,https://romsfun.com/wp-content/uploads/2024/06/Grand-Theft-Auto-Sindacco-Chronicles-300x515.jpg,Grand Theft Auto: Sindacco Chronicles,507,796.75 MB,
111075,110180,WipEout Portable Collection,https://romsfun.com/roms/playstation-portable/wipeout-portable-collection.html,https://romsfun.com/wp-content/uploads/2025/06/WipEout-Portable-Collection.jpg,WipEout Portable Collection,632,430.13 M,
111076,110180,Tactics Ogre: Let Us Cling Together: One Vision,https://romsfun.com/roms/playstation-portable/tactics-ogre-let-us-cling-together-one-vision.html,https://romsfun.com/wp-content/uploads/2024/06/Tactics-Ogre-Let-Us-Cling-Together-One-Vision-300x212.jpg,Tactics Ogre: Let Us Cling Together: One Vision,750,972 M,
111077,110180,Mega Man – Maverick Hunter X,https://romsfun.com/roms/playstation-portable/mega-man-maverick-hunter-x.html,https://romsfun.com/wp-content/uploads/2019/08/Mega-Man-Maverick-Hunter-X-psp-poster-300x520.jpg,Mega Man – Maverick Hunter X,"8,340",409.69 M,
111078,110180,Final Fantasy Tactics: The War of the Lions (Omega),https://romsfun.com/roms/playstation-portable/final-fantasy-tactics-the-war-of-the-lions-omega.html,https://romsfun.com/wp-content/uploads/2025/11/FFT-RM-Box-1-300x501.jpg,Final Fantasy Tactics: The War of the Lions (Omega),96,185.79 M,
