id,title,url,console,description,mainImage,screenshots,genre,releaseDate,publisher,region,size,downloadCount,numberOfReviews,averageRating,downloadLink,directDownloadLink,romType
110060,2010 FIFA World Cup South Africa,https://romsfun.com/roms/playstation-portable/2010-fifa-world-cup-south-africa.html,playstation-portable,"2010 FIFA The South Africa World Cup is the 2010 world championship football tournament held in South Africa, the 19th global soccer tournament to be hosted by FIFA and the first-ever in Africa. The tournament takes place on qualified stadiums in South Africa from June 11 to July 11, 2010. The final match will be held at Soccer City Stadium in Johannesburg. That year, Spain was crowned champion for the first time after the intense final match, having to play until extra time. Spain has also been confirmed as the first European team to be crowned on the playground outside the continent, and the championship team scoring the least number of goals in 19 matches (8 goals). In the 2010 tournament there was another surprise, the Italian team at that time the defending champion was eliminated in the group stage. If including the qualifying round, this World round will compete with 204 national teams out of 208 FIFA members.",https://romsfun.com/wp-content/uploads/2019/08/2010-FIFA-World-Cup-South-Africa-psp-poster.jpg,,Sport,27 April 2010,EA Sports,EU|JP|US,909.01 M,"15,668",13,4,https://romsfun.com/download/2010-fifa-world-cup-south-africa-11867,,
110134,ATV Offroad Fury Pro,https://romsfun.com/roms/playstation-portable/atv-offroad-fury-pro.html,playstation-portable,"Alongside the release of ATV Offroad Fury 4, the offroad racing video game ATV Offroad Fury Pro was also made available to consumers. There is a range of other vehicles to race with, such as trucks or bikes, which is the foundation of the career mode: competing in a string of championships divided by vehicle type and difficulty. In addition to the typical ATVs (all-terrain vehicles), there are also a variety of other vehicles to compete with. Credits are used to buy upgrades and different cars, and they may be gained in various ways. In addition to prize money for winning races, credits are also granted for completing stunts, so there are multiple methods to earn them. Three sponsors give free upgrades and recognition in exchange for meeting their performance and stunt rating requirements. However, these sponsors should be recruited with extreme caution because a significant penalty is imposed on the player if their goals are unmet. The following categories of competitions are open to participants: Supercross, Rallycross, National, Freestyle, Circuit, Endurcross, Rally, and Snowcross.",https://romsfun.com/wp-content/uploads/2019/09/ATV-Offroad-Fury-Pro-psp-poster.png,,Racing,"October 26, 2006",Sony Computer Entertainment,EU|US,518.24 M,"8,781",1,4.2,https://romsfun.com/download/atv-offroad-fury-pro-13112,,
110116,Ace Combat X – Skies of Deception,https://romsfun.com/roms/playstation-portable/ace-combat-x-skies-of-deception.html,playstation-portable,"The action flight series debuted on the PSP with the launch of Skies of Deception, the first game. The player is in charge of the Gryphus Squadron, one of the few units still active for the nation of Aurelia and its lone airbase. Aurelia is located on the southeastern edge of the Ocean Continent. In 2020, the neighboring country of Leasath, led by Diego Gaspar Navarro, launched an assault on the nation of Aurelia. They attacked because it was believed that Aurelia was implicated in assisting their adversaries during the civil war.",https://romsfun.com/wp-content/uploads/2019/08/Ace-Combat-X-Skies-of-Deception-psp-poster.jpg,,Action|Fighting,24 October 2006,Namco Bandai Games,EU|JP|US,760.29 M,"9,767",4,4.3,https://romsfun.com/download/ace-combat-x-skies-of-deception-11558,,
110020,Assassin’s Creed – Bloodlines,https://romsfun.com/roms/playstation-portable/assassins-creed-bloodlines.html,playstation-portable,"Assassin’s Creed: Bloodlines is a game only available for the PSP. It is a continuation of the storyline from the first Assassin’s Creed game, and it also sets the stage for the events of the game’s sequel, Assassin’s Creed II. The original game’s open environment and nonlinear gameplay are both available in this spin-off for mobile and portable devices, in contrast to the Assassin’s Creed: Alta’r’s Chronicles mobile spin-off.",https://romsfun.com/wp-content/uploads/2019/08/Assassins-Creed-Bloodlines.jpg,https://romsfun.com/wp-content/uploads/2024/11/Assassins-Creed-Bloodlines.jpg|https://romsfun.com/wp-content/uploads/2024/11/Assassins-Creed-Bloodlines-1.jpg|https://romsfun.com/wp-content/uploads/2024/11/Assassins-Creed-Bloodlines-2.jpg|https://romsfun.com/wp-content/uploads/2024/11/Assassins-Creed-Bloodlines-3.jpg|https://romsfun.com/wp-content/uploads/2024/11/Assassins-Creed-Bloodlines-4.jpg,Action|Adventure|Role-Playing,"November 17, 2009",Ubisoft,EU|JP|US,548.74 M,"36,098",53,3.8,https://romsfun.com/download/assassins-creed-bloodlines-11131,,
110180,Ben 10 – Alien Force Vilgax Attacks,https://romsfun.com/roms/playstation-portable/ben-10-alien-force-vilgax-attacks.html,playstation-portable,"Vilgax still hasn’t given up on invading the Earth, this time using a device called a Null Void to support the plan. Ben and his teammates Gwen and Kevin must fight to protect the homeland. But in the battle with Psyphon, he used all the Omnitrix aliens to defeat it and consequently exhausted the watch’s power. The opportunity to maneuver and Vilgax even more narrowly captured the earth. To end this story is only one way, in the end, is shifted to the past to stop Vilgax plan before it takes place. Once again, the fate of man is on Ben’s shoulder.",https://romsfun.com/wp-content/uploads/2019/08/Ben-10-Alien-Force-Vilgax-Attacks.jpg,,Action,"October 27, 2009",D3 Publisher,EU|US,773.4 M,"7,411",12,3.8,https://romsfun.com/download/ben-10-alien-force-vilgax-attacks-11329,,
110036,Ben 10 – Protector of Earth,https://romsfun.com/roms/playstation-portable/ben-10-protector-of-earth.html,playstation-portable,"During a trip through the night near the Grand Canyon, Ben did not know that when their sleep was a strange creature like mosquitoes drained of energy, just enough to make him turn into some alien was Four Arms and Heatblast. Ben was awakened by a loud noise outside so he decided to go outside to check and discovered that the alien device named Omnitrix crashed into the Grand Canyon and the Drone was raging here. After Ben clears the robots, he battles a giant boss and ends the battle with the help of a crystal.
Thanks to his grandfather Max and Gwen, Ben knows that this crystal will help him recover energy and after absorbing the crystal, he can turn into XLR8 and ready to break the plans of the enemies ahead.",https://romsfun.com/wp-content/uploads/2019/08/Ben-10-Protector-of-Earth-psp-poster.png,,Action|Beat 'em up,"October 30, 2007",D3 Publisher,EU|US,547.66 M,"21,155",28,3.9,https://romsfun.com/download/ben-10-protector-of-earth-11231,,
110087,Ben 10 – Ultimate Alien – Cosmic Destruction,https://romsfun.com/roms/playstation-portable/ben-10-ultimate-alien-cosmic-destruction.html,playstation-portable,"During a fight with Forever Knight in a crypt in Rome, Ben suddenly separated from his friend Gwen and Kevin-2. He unexpectedly met Enoch, who gained power from an artifact of aliens. After defeating him, he took the object off Enoch’s body when he suddenly turned into a stone statue. Later, when he was picked up by his friends, he was warned by Jimmy about a cosmic storm approaching the Earth. The group traveled to France to fight to a raging creature, and when they arrived at the Forever Knight Museum, Ben saw the Vreedle Brothers trying to steal an alien artifact. Despite defeating him, Sunder was taking antiques when no one noticed. Ben’s wars were not over.
Ben 10- Ultimate Alien-Cosmic Destruction is a role-playing action game where players will incarnate into a character to fight the enemy. You will not be required to use the character Ben, but instead, the publisher has provided us with 16 heroes such as Ultimate Big Chill, Ultimate Spidermonkey, Ultimate Echo Echo, Ultimate Swampfire, Ultimate Humungousaur,…As you can see, the player has a relatively diverse selection of characters. These heroes are also carefully cared for by the manufacturer, such as tunneling, shooting water rays, releasing radiation, firing electricity, selecting, attacking with wind power, and many other attributes. At the end of a match, you will have some bonus points to be able to upgrade the qualities and skills of the character. The game also has a vast improvement that is the Quick Switch feature helps players can transform the shapes of aliens at a dizzying speed. This switching ability will also bring more diversity to the game because, in a match, you will have to switch states that continue to be able to match the opponent’s attacks. The rhythm of the game will not be too fast. A unique feature of this game is some new alien heroes that have never been before, such as Water Hazard, Armodrillo, AmpFibian, Terrapin. This may appeal to those who are familiar with the old characters.",https://romsfun.com/wp-content/uploads/2019/08/Ben-10-Ultimate-Alien-Cosmic-Destruction.jpg,,Action|Adventure,"October 5, 2010",D3 Publisher,EU|US,709.17 M,"12,128",36,4.3,https://romsfun.com/download/ben-10-ultimate-alien-cosmic-destruction-11173,,
110147,BlazBlue – Continuum Shift II,https://romsfun.com/roms/playstation-portable/blazblue-continuum-shift-ii.html,playstation-portable,"The game takes place after the events of BlazBlue: Calamity Trigger. Several days have passed since the raid reported by Ragna the Bloodedge. The 13th Hierarchical City of Kagutsuchi forgot to hold a New Year’s Eve ceremony due to his allegations related to the mysterious bombing and the sight of a giant star became a hotly debated topic for people in town. with the NOL has not given the plausible explanation, people in the city have made their own assumptions, exaggerated and spread those rumors like wildfire. Completely unconcerned about what happened, Ragna gripped the sword silently, waiting for the chance to achieve her true goal, and at last the great power that appeared to make Ragna begin to act.",https://romsfun.com/wp-content/uploads/2019/08/BlazBlue-Continuum-Shift-II-psp-poster.jpg,,Fighting,"March 31, 2011",JP: Arc System Works/ NA: Aksys Games/ EU: Arc System Works UK,Asia|EU|JP|US,1.2 G,"8,114",6,4.3,https://romsfun.com/download/blazblue-continuum-shift-ii-11399,,
110181,Bleach – Heat the Soul 7,https://romsfun.com/roms/playstation-portable/bleach-heat-the-soul-7.html,playstation-portable,"Since childhood, Kurosaki Ichigo has been a special teenager capable of seeing spirits. Still, he tried to live a normal life like everyone else. Until he studies at Ichigo High school, he accidentally meets Rukia – a Shinigami (death god) who is on a mission to find the lost Hollow in the extremely dangerous human world. Ichigo’s life officially turns to a new page when Rukia because of protecting him but is seriously injured, she is forced to give Ichigo half of his strength but he takes almost all of her strength and turns into a Shinigami, and defeat Hollow easily. But because of that, Rukia was forced to stay in the human world until she recovered her energy. This was against the rules of the Shinigami, so Rukia was sentenced to death. Ichigo and his friends save Rukia and decide to go to hell to bring her back. From here, the young hero faces challenges and adventures rotating between hell – earth, fierce battles and new enemies forcing him to overcome.",https://romsfun.com/wp-content/uploads/2019/08/Bleach-Heat-the-Soul-7-psp-poster.png,,Fighting,"September 2, 2010",SCEI,Asia|JP,406.44 M,"7,399",4,4.1,https://romsfun.com/download/bleach-heat-the-soul-7-11228,,
110194,Bomberman,https://romsfun.com/roms/playstation-portable/bomberman.html,playstation-portable,"The port of Bomberman to the PSP features the original gameplay, along with many levels and various items, all depicted in full 3D. White Bomberman has returned and is more determined than ever to rid the known worlds of the darkness that has plagued them. After eradicating the night from each planet, you will be transported to the next one, which will have a variety of environments, such as a desert (with sand pits that act as portals), snow (with ice blocks that you can slide through), fire (with perilous volcanic and otherwise unstable levels), and other environments.",https://romsfun.com/wp-content/uploads/2019/08/Bomberman-psp-poster.jpg,,Strategy,"July 20, 2006",JP: Hudson Soft/ NA-EU: Konami,EU|US,117.94 M,"7,104",2,4.7,https://romsfun.com/download/bomberman-11864,,
