id,title,url,console,description,mainImage,screenshots,genre,releaseDate,publisher,region,size,downloadCount,numberOfReviews,averageRating,downloadLink,directDownloadLink,romType
20182,AERO FIGHTERS,https://romsfun.com/roms/super-nintendo/aero-fighters.html,super-nintendo,"AERO FIGHTERS is a fighting adventure game with a vertical scroll scrolling system. It offers two main modes, single-player and two players. Also, some other customizations are given, such as level, sound, joystick, … There are four levels for matches that are easy, normal, hard, and super hard. You can join one of four countries: the USA, Japan, Sweden, UK. For each nationality, you will be able to fly a private plane. There are challenges taking place at different locations. You will control your plane to fight with many enemies from above, below, and both sides. You will need to avoid the shells they drop and not hit them. A Phaamt with a P will drop when you defeat an enemy, and it will help you increase the number of bullets and damage. Each stage has a boss name. Your task is to defeat this boss to the next stage. When hit by enemy bullets, your life will be reduced, and the bullet effect will decrease. Occasionally, sudden battles will occur that prevent you from responding. Therefore, you need to be focused, so you don’t die soon. Your main task is to destroy the enemy base.",https://romsfun.com/wp-content/uploads/2019/08/Aero-Fighters.jpg,https://romsfun.com/wp-content/uploads/2019/08/Aero-Fighters4.jpg|https://romsfun.com/wp-content/uploads/2019/08/Aero-Fighters3.jpg|https://romsfun.com/wp-content/uploads/2019/08/Aero-Fighters2.jpg|https://romsfun.com/wp-content/uploads/2019/08/Aero-Fighters1.jpg,Action|Simulator,1994,Video System,US,562.99KB,"1,316",2,1.9,https://romsfun.com/download/aero-fighters-7469,,Fan Translation
20020,ALADDIN,https://romsfun.com/roms/super-nintendo/aladdin.html,super-nintendo,"Disney’s Aladdin movie is no stranger to us all. Now, Capcom has bought the copyright to adapt into a popular game called ALADDIN. This is a side-scrolling platform action game from left to right. The game camera will only move the rotation angle in the direction of Aladdin’s movement. There are several stages taking place in the game at different locations throughout the city of Agrabah. There are many challenges posed in stages. Aladdin’s main method of fighting is to jump on opponents, use apples as weapons to throw them. During the move, Aladdin can pick up various items like apples, diamonds,… Collecting diamonds will give you more lives, and your score will increase significantly. Besides, each stage has a scarab hidden in a treasure chest. When you catch it, the door of the reward round will open, giving you a chance to add lives or some special rewards. Encountering enemies is indispensable in every stage. You need to defeat them before you can take them out. With each hit, Aladdin’s life will be reduced, and the period will end when Aladdin will completely lose his life.",https://romsfun.com/wp-content/uploads/2019/07/ALADDIN.jpg,https://romsfun.com/wp-content/uploads/2019/07/ALADDIN4.jpg|https://romsfun.com/wp-content/uploads/2019/07/ALADDIN3.jpg|https://romsfun.com/wp-content/uploads/2019/07/ALADDIN2.jpg|https://romsfun.com/wp-content/uploads/2019/07/ALADDIN1.jpg,Platformer,1993,Capcom,EU|JP|US,804.98KB,"6,251",4,4.1,https://romsfun.com/download/aladdin-7152,,
20117,ALIEN VS. PREDATOR,https://romsfun.com/roms/super-nintendo/alien-vs-predator.html,super-nintendo,"This is a fighting game created with the background of the movie of the same name. It is set in Shanghai on the planet Vega4 at 2493. Here, the aliens are plotting to invade the city and endanger the people. The game offers two main modes: single-player mode and a multiplayer mode with up to 3 people. There are four types of characters you can control: two Cyborg soldiers, Major Schaefer and Lieutenant Linn Kurosawa, two predators, a hunter, and a warrior. Each character has their physical characteristics, combat skills, and weapons. Some characters that use weapons have gained from the enemy. In addition to close-range or melee weapons, they are also equipped with long-range weapons. Destroying some enemies will cause you to receive some items such as skulls or light balls,… Eating a light ball will help you to be invisible and fight when your opponent cannot see you. Each character has two bars, a health bar, and an energy bar. Every time you fight, your energy bar will be reduced, and you need to wait for energy to recover or eat energy boost items to continue fighting. Battles will take place at various locations.",https://romsfun.com/wp-content/uploads/2019/08/ALIEN-VS.-PREDATOR.jpg,https://romsfun.com/wp-content/uploads/2019/08/ALIEN-VS.-PREDATOR5.jpg|https://romsfun.com/wp-content/uploads/2019/08/ALIEN-VS.-PREDATOR4.jpg|https://romsfun.com/wp-content/uploads/2019/08/ALIEN-VS.-PREDATOR3.jpg|https://romsfun.com/wp-content/uploads/2019/08/ALIEN-VS.-PREDATOR2.jpg|https://romsfun.com/wp-content/uploads/2019/08/ALIEN-VS.-PREDATOR1.jpg,Beat 'em up,1993,Capcom,EU|JP|Spanish|US,588.39KB,"1,990",1,4.5,https://romsfun.com/download/alien-vs-predator-7765,,Fan Translation
20205,ASTERIX & OBELIX,https://romsfun.com/roms/super-nintendo/asterix-obelix.html,super-nintendo,"ASTERIX & OBELIX is a platform game based on the famous animated film The Vikings. There are two main game modes offered, single and multiplayer, with up to two players. The only two characters that can be controlled in this game are ASTERIX and OBELIX. The game has a side-scrolling system. There are many locations taking place in the game are England, Switzerland, Grecia, Egypt, Hispania… At each stage, you must fight the enemy during the move. You can see them appearing in front, behind or above, and they can also hide in the bushes. Also, killing some wildlife will help you gain more food. Collecting money during the move is indispensable. You can also destroy the ladder to get money and items. Some locations are contiguous lands. However, others are separated by the sea, so you will need to cross the sea to reach the next location. The main skill of the character is to turn and fight. The amount of money in each game is predefined, and you need to earn them to move to the next location. In the process of moving, many serious difficulties, Arabian traps will appear. You can also select terrain features that give you an advantage.",https://romsfun.com/wp-content/uploads/2019/08/ASTERIX-OBELIX.jpg,https://romsfun.com/wp-content/uploads/2019/08/ASTERIX-OBELIX3.png|https://romsfun.com/wp-content/uploads/2019/08/ASTERIX-OBELIX2.jpg|https://romsfun.com/wp-content/uploads/2019/08/ASTERIX-OBELIX1.png,Platformer,1995,Infogrames,EU,1.11MB,"1,212",1,5,https://romsfun.com/download/asterix-obelix-8405,,
20064,ActRaiser,https://romsfun.com/roms/super-nintendo/act-raiser.html,super-nintendo,,http://romsfun.com/wp-content/uploads/2019/08/Act-Raiser.jpg,https://romsfun.com/wp-content/uploads/2019/08/Act-Raiser3.png|https://romsfun.com/wp-content/uploads/2019/08/Act-Raiser2.png|https://romsfun.com/wp-content/uploads/2019/08/Act-Raiser1.png,Platformer,"December 16, 1990",Enix,English|Spanish|WW,670.00KB,"2,877",13,4.7,https://romsfun.com/download/act-raiser-8349,,Fan Translation
20176,ActRaiser 2,https://romsfun.com/roms/super-nintendo/act-raiser-2.html,super-nintendo,"Act Raiser 2 is a platform game released for SNES. It has a plot that is not very relevant to the previous version but still contains concepts drawn from religious epics. The game only offers a single-player mode with platform actions that scroll from left to right. The main character of the game is a Master, and this is a god specializing in controlling floating palaces and monitoring the lives of people. Knowing that the people below the Earth were in danger and being possessed by demons, the Master descended upon the Earth to fight the false devils and drive them away. There are many dangerous lands you need to go through. In each of these lands, two types of youkai will appear. One example is the relatively weak little demons, which appear right from the start. The one born of evil is more dangerous; they are taken after you have killed all the little devils. The Master only has two primary weapons: a sword and a shield with the most commonly used moves, flying, jumping. However, this physical power is weak, so the Master often uses his magic power. Each region, the Master will use different magic with its energy characteristics. Location characteristics limit most magic.",http://romsfun.com/wp-content/uploads/2019/08/Act-Raiser-2.jpg,https://romsfun.com/wp-content/uploads/2019/08/Act-Raiser-2-3.jpg|https://romsfun.com/wp-content/uploads/2019/08/Act-Raiser-2-2.png|https://romsfun.com/wp-content/uploads/2019/08/Act-Raiser-2-1.png,Action,1993,Ubisoft,EU|Spanish|US,1.06MB,"1,371",1,4,https://romsfun.com/download/act-raiser-2-8412,,Fan Translation
20164,Aero the Acro-Bat 2,https://romsfun.com/roms/super-nintendo/aero-the-acro-bat-2.html,super-nintendo,"This is a platform game released by Sunsoft. It was created to commemorate the famous Brazilian driver, Ayton Senna. He died after a car accident in the Grand Prix season. The game has a plot revolving around Aero, Edgar Ektor, Zero, Kamikaze Squirrel. After knocking Ektor out of the tallest tower of the Museum of Terror, Aero continued to explore Ektor’s furniture museum and a magic box that took him to an old castle. Here, Aero was helped by Edgar Ektor, Zero, Kamikaze Squirrel’s minions, as well as revealing secrets to him without knowing that Aero’s goal was to destroy them. The game gives you eight world environments, each of which has three levels except for the last one. Many secret areas appear in the game. In this game, you will not have the goal of fighting with a certain number of characters or enemies, and you only need to find a way out for each mission. Quests that do not require completion in a given time. On the way, encountering enemies is inevitable. You will have to defeat them to move on and collect power items along the way. The primary weapon Aero uses is the drill with many functions",http://romsfun.com/wp-content/uploads/2019/08/Aero-The-Acro-Bat-2.jpg,https://romsfun.com/wp-content/uploads/2019/08/Aero-The-Acro-Bat-2-3.jpg|https://romsfun.com/wp-content/uploads/2019/08/Aero-The-Acro-Bat-2-2.png|https://romsfun.com/wp-content/uploads/2019/08/Aero-The-Acro-Bat-2-1.jpg,Action|Adventure,1994,SunSoft,EU|Spanish|US,1.30MB,"1,447",1,5,https://romsfun.com/download/aero-the-acro-bat-2-8597,,Fan Translation
20063,Alien 3,https://romsfun.com/roms/super-nintendo/alien-3.html,super-nintendo,"The game has an action platform with a side-scrolling combat system. Joining the game, you will control Ellen Ripley, a human character moving through the colony of Fiorina Prison 161. The main activities of the player are jumping, shooting, climbing, crawling, opening doors, using vehicles. In addition, players have an arsenal of diverse genres, such as pulse rifles, flamethrowers, grenades, and a monitor that warning danger whenever enemies come near. Initially, the target will be selected, and all layouts are designed according to that goal. The specific objective of the game is to prevent aliens from entering the prison and rescue prisoners. In the process of moving, you will encounter many animals, and you need to destroy them before they kill you. After being shot, they can revive in the old place after a specific time. Moving around the prison basement helps you find prisoners and rescue them by touching them. Each level has a limited time. When the time is up, and you have not completed the mission, you will die and have to challenge the scale from the beginning. There are six stages given, including the password for each step. The steam will end after the battle between Ellen and the alien queen.",http://romsfun.com/wp-content/uploads/2019/08/Alien-3.jpg,https://romsfun.com/wp-content/uploads/2019/08/ALIEN-3-4.jpg|https://romsfun.com/wp-content/uploads/2019/08/ALIEN-3-3.jpg|https://romsfun.com/wp-content/uploads/2019/08/ALIEN-3-2.jpg|https://romsfun.com/wp-content/uploads/2019/08/ALIEN-3-1.jpg,Other,1993,Acclaim Entertainment,EU|JP|Spanish|US,596.92KB,"2,893",1,3.5,https://romsfun.com/download/alien-3-7934,,Fan Translation
20084,Animaniacs,https://romsfun.com/roms/super-nintendo/animaniacs-2.html,super-nintendo,"Konami continued to launch a game consisting of many sub-games based on the hit cartoon of the same name. It has a plot revolving around Warner Siblings, Yakko, Wakko, and Dot trilogy. In this version, students are responsible for finding 24 pages of Warner Bros. scripts that Brain had stolen. Brain took the script to plot to conquer the world. Another mission of the three brothers is to prevent his conspiracy. Join the game, and you will control the character through a three-dimensional playground. The characters will move around the Warner Siblings’ studio. You can complete the game without collecting full 24-page scripts. This game will focus on the stages of visual scenes and film genres. You will be allowed to control all three characters in the game at the same time. These characters have immortal vitality when there is no calculation of life or health bar. In addition to their immortality, they are just ordinary characters without power. The main characters move like running, picking up things, rushing away. In some cases, when a high-level item is needed, the three characters can be stacked. There is a slot machine at the bottom of the screen that shows how many people have earned and how many pages the script has found. On the way, players will encounter many different challenges.",http://romsfun.com/wp-content/uploads/2019/08/Animaniacs.jpg,https://romsfun.com/wp-content/uploads/2019/08/Animaniacs3.png|https://romsfun.com/wp-content/uploads/2019/08/Animaniacs2.jpg|https://romsfun.com/wp-content/uploads/2019/08/Animaniacs1.jpeg,Sport,1994,Konami,EU|JP|Spanish|US,743.77KB,"2,465",2,4.7,https://romsfun.com/download/animaniacs-2-8162,,Fan Translation
20192,Art Of Fighting,https://romsfun.com/roms/super-nintendo/art-of-fighting.html,super-nintendo,"Art Of Fighting is a martial arts action game. The game modes provided are a one-person story mode, one-on-one mode against the computer, one-person mode with two players. Besides, before starting the game, you can also customize the difficulty level of the matches, see how to control the character, limit the playing time, how many rounds a game is, etc. The game will give you ten characters, and you only need to choose one character to compete. Each character has its characteristics, strength, fighting style, and techniques. But they all use the main technique is punch and kick. These moves will be combined with suitable movement methods. There is also a technique to attack the opponent’s spirit that is mocking tactics. It will make the opponent’s mental measure less. In addition to the main mission, the game also provides extra rounds. Winning these rounds, players will learn a new attack called the super attack. When you’re almost out of the blood and about to lose to a place where you can perform a desperate attack to get it to eat, then fall to 0. The game has relatively nice graphics, especially the feature of enlarging image details when two characters come close to each other is very appreciated.",https://romsfun.com/wp-content/uploads/2019/08/Art-Of-Fighting.jpg,https://romsfun.com/wp-content/uploads/2019/08/Art-Of-Fighting3.png|https://romsfun.com/wp-content/uploads/2019/08/Art-Of-Fighting2.png|https://romsfun.com/wp-content/uploads/2019/08/Art-Of-Fighting1.png,Action,1993,SNK,EU,1.21MB,"1,283",1,5,https://romsfun.com/download/art-of-fighting-8652,,
